CAMPUS,C20GR12N,C20GR12R,C30GR12N,C30GR12R,C40GR12N,C40GR12R,CA0GH12N,CA0GH12R,CA0GM12N,CA0GM12R,CA0GR12N,CA0GR12R,CB0GR12N,CB0GR12R,CH0GR12N,CH0GR12R,CI0GR12N,CI0GR12R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR12N,CS0GR12R,CW0GR12N,CW0GR12R
"001902001",0,0,0,0,0,0,30,81.1,7,18.9,37,100,5,13.5,1,2.7,0,0,37,16.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,206,2,1,3,1.5,16,7.8,5,2.3,60,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,24.8,66,32,39,18.9,50,24.3,0,0,23,11.2,0,0,0,0,12,5.8,0,0,3,1.5,146,70.9,0,0,68,33,29,14.1,9,4.4,145,70.4,167,81.1,3,8.1,31,83.8
"001902041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,22,13.3,.,.,.,.,.,0,0,2.4,.,.,.,.,.,.,0,0,0,.,146,1,0.7,0,0,9,6.2,0,0,53,36.3,0,0,0,0,0,0,0,0,0,0,43,29.5,50,34.2,53,36.3,0,0,0,0,0,0,0,0,0,0,17,11.6,0,0,0,0,5,3.4,0,0,0,0,93,63.7,0,0,38,26,22,15.1,7,4.8,35,24,124,84.9,0,.,0,.
"001902103",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,34,16,3.1,5.4,10,0,0,.,.,.,2.9,50,0,0,0,0,.,.,.,0,243,1,0.4,2,0.8,9,3.7,0,0,114,46.9,42,17.3,39,16,36,14.8,42,17.3,29,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.6,13,5.3,40,16.5,11,4.5,28,11.5,0,0,2,0.8,129,53.1,0,0,56,23,22,9.1,14,5.8,0,0,191,78.6,0,.,0,.
"001903001",0,0,0,0,0,0,54,73,20,27,74,100,3,4.1,3,4.1,0,0,59,15.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,349,2,0.6,0,0,12,3.4,4,1.1,129,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28.1,76,21.8,96,27.5,79,22.6,0,0,24,6.9,0,0,0,0,23,6.6,1,0.3,0,0,220,63,0,0,122,35,34,9.7,13,3.7,277,79.4,298,85.4,10,13.5,68,91.9
"001903041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,45,13.8,.,.,.,.,.,7.8,2.2,0,.,.,.,.,.,.,0,0,0,.,284,3,1.1,0,0,13,4.6,1,0.3,137,48.2,0,0,0,0,0,0,0,0,0,0,92,32.4,91,32,101,35.6,0,0,0,0,0,0,0,0,0,0,14,4.9,0,0,0,0,25,8.8,1,0.4,0,0,147,51.8,0,0,96,33.8,28,9.9,7,2.5,38,13.4,235,82.7,0,.,0,.
"001903101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,33,17.7,4.2,1.3,.,.,.,.,.,.,6.2,0,11.1,.,.,.,.,.,.,20,327,2,0.6,11,3.4,11,3.4,0,0,235,71.9,80,24.5,82,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,5,1.5,59,18,105,32.1,41,12.5,0,0,11,3.4,92,28.1,0,0,54,16.5,25,7.6,15,4.6,0,0,258,78.9,0,.,0,.
"001903102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,42,13.2,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,.,.,.,276,3,1.1,5,1.8,18,6.5,0,0,135,48.9,0,0,0,0,80,29,91,33,105,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.3,0,0,0,0,23,8.3,0,0,5,1.8,141,51.1,2,0.7,72,26.1,26,9.4,12,4.3,0,0,218,79,0,.,0,.
"001904001",1,1.8,1,1.8,0,0,50,89.3,6,10.7,56,100,9,16.1,4,7.1,0,0,35,15.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210,2,1,0,0,29,13.8,1,0.4,114,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25.7,46,21.9,61,29,49,23.3,0,0,13,6.2,0,0,0,0,20,9.5,1,0.5,0,0,96,45.7,0,0,77,36.7,34,16.2,13,6.2,207,98.6,145,69,6,10.7,41,73.2
"001904041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,27,14.1,.,.,.,.,.,0,0,2,.,.,.,.,.,.,0,0,0,.,169,0,0,3,1.8,13,7.7,0,0,93,55,0,0,0,0,0,0,0,0,0,0,52,30.8,58,34.3,59,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9.5,1,0.6,3,1.8,76,45,0,0,48,28.4,10,5.9,3,1.8,57,33.7,136,80.5,0,.,0,.
"001904102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,70,21.7,1.7,0,4.3,0,0,.,.,.,3.6,0,0,0,0,0,.,.,.,0,372,0,0,11,3,37,9.9,0,0,236,63.4,58,15.6,64,17.2,53,14.2,53,14.2,50,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,13,3.5,55,14.8,37,9.9,43,11.6,0,0,11,3,136,36.6,0,0,113,30.4,37,9.9,16,4.3,0,0,276,74.2,0,.,0,.
"001906002",0,0,0,0,0,0,14,77.8,4,22.2,18,100,4,22.2,2,11.1,0,0,19,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124,1,0.8,3,2.4,8,6.5,0,0,47,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23.4,36,29,39,31.5,20,16.1,0,0,8,6.5,0,0,0,0,8,6.5,0,0,3,2.4,77,62.1,0,0,48,38.7,15,12.1,2,1.6,111,89.5,105,84.7,1,5.6,12,66.7
"001906102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,33,12,0,0,0,0,0,7.1,0,0,7.1,0,0,0,33.3,0,0,0,0,0,282,1,0.4,1,0.4,16,5.7,0,0,123,43.6,31,11,31,11,33,11.7,26,9.2,38,13.5,37,13.1,33,11.7,25,8.9,0,0,0,0,0,0,0,0,1,0.4,19,6.7,27,9.6,0,0,31,11,0,0,1,0.4,159,56.4,0,0,120,42.6,30,10.6,4,1.4,44,15.6,230,81.6,0,.,0,.
"001907001",2,1.4,2,1.4,1,0.7,124,89.2,15,10.8,139,100,35,25.2,62,44.6,0,0,240,25.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,850,11,1.3,21,2.5,246,28.9,72,7.5,542,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,27.9,213,25.1,200,23.5,200,23.5,0,0,40,4.7,0,0,0,0,300,35.3,3,0.4,24,2.8,308,36.2,0,0,514,60.5,74,8.7,5,0.6,785,92.4,285,33.5,13,9.4,37,26.6
"001907041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,122,23.1,.,.,.,.,.,.,0.5,1.1,.,.,.,.,.,.,.,9.1,0,.,443,1,0.2,15,3.4,115,26,38,7.2,322,72.7,0,0,0,0,0,0,0,0,0,0,0,0,208,47,235,53,0,0,0,0,0,0,0,0,0,0,18,4.1,0,0,0,0,176,39.7,3,0.7,16,3.6,121,27.3,0,0,246,55.5,38,8.6,5,1.1,301,67.9,143,32.3,0,.,0,.
"001907101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,51,16.8,3.8,.,.,.,.,.,.,.,3.7,13.6,.,.,.,.,.,.,.,5.3,575,5,0.9,127,22.1,156,27.1,0,0,465,80.9,272,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,303,52.7,0,0,204,35.5,8,1.4,143,24.9,110,19.1,1,0.2,406,70.6,40,7,16,2.8,0,0,185,32.2,0,.,0,.
"001907102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,197,3,1.5,53,26.9,49,24.9,0,0,193,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,18.8,0,0,0,0,160,81.2,101,51.3,0,0,66,33.5,4,2,0,0,68,34.5,15,7.6,8,4.1,0,0,36,18.3,0,.,0,.
"001907107",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,94,16.6,.,5.2,4.1,.,.,.,.,.,.,.,3.8,0,.,.,.,.,.,.,515,6,1.2,131,25.4,132,25.6,0,0,412,80,0,0,267,51.8,248,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.9,0,0,0,0,217,42.1,0,0,131,25.4,103,20,1,0.2,337,65.4,41,8,14,2.7,0,0,145,28.2,0,.,0,.
"001907110",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,118,14.9,.,.,.,2.6,0.9,3.6,.,.,.,.,.,.,0,0,0,.,.,.,708,7,1,53,7.5,226,31.9,25,3.2,568,80.2,0,0,0,0,0,0,236,33.3,235,33.2,237,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.4,0,0,0,0,274,38.7,1,0.1,54,7.6,140,19.8,0,0,367,51.8,44,6.2,16,2.3,0,0,184,26,0,.,0,.
"001908002",2,2,0,0,0,0,78,76.5,24,23.5,102,100,20,19.6,13,12.7,0,0,96,19.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,429,5,1.2,1,0.2,81,18.9,19,3.8,208,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,30.5,130,30.3,82,19.1,86,20,0,0,23,5.4,0,0,0,0,61,14.2,1,0.2,1,0.2,221,51.5,2,0.5,182,42.4,40,9.3,17,4,302,70.4,262,61.1,25,24.5,67,65.7
"001908041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,53,19.1,.,.,.,.,.,.,0,3.5,.,.,.,.,.,.,.,0,0,.,241,1,0.4,3,1.2,46,19.1,20,7.2,142,58.9,0,0,0,0,0,0,0,0,0,0,0,0,130,53.9,111,46.1,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,39,16.2,0,0,3,1.2,99,41.1,0,0,66,27.4,30,12.4,13,5.4,0,0,142,58.9,0,.,0,.
"001908101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,93,15.4,.,.,0,0,1.8,0.9,.,.,.,.,.,0,0,5.9,0,.,.,.,515,3,0.6,30,5.8,75,14.6,0,0,348,67.6,0,0,0,0,134,26,126,24.5,138,26.8,117,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.7,0,0,0,0,129,25,2,0.4,35,6.8,167,32.4,0,0,222,43.1,48,9.3,24,4.7,0,0,282,54.8,0,.,0,.
"001908102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,71,22.2,9,4.8,.,.,.,.,.,.,5.5,0,7.7,.,.,.,.,.,.,0,434,1,0.2,39,9,66,15.2,0,0,304,70,137,31.6,130,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.4,0,0,115,26.5,46,10.6,112,25.8,3,0.7,41,9.4,130,30,0,0,248,57.1,33,7.6,20,4.6,0,0,232,53.5,0,.,0,.
"001909001",1,3.6,0,0,0,0,20,71.4,8,28.6,28,100,0,0,1,3.6,1,3.6,39,16.5,.,.,.,.,.,0,3.8,0,.,.,.,.,.,.,0,0,0,.,213,0,0,2,0.9,2,0.9,2,0.8,90,42.3,0,0,0,0,0,0,0,0,0,0,30,14.1,33,15.5,28,13.1,34,16,32,15,29,13.6,27,12.7,0,0,13,6.1,0,0,0,0,13,6.1,1,0.5,2,0.9,123,57.7,0,0,42,19.7,28,13.1,6,2.8,167,78.4,191,89.7,6,21.4,25,89.3
"001909101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,34,19.1,5.9,4,9.5,0,6.7,.,.,.,0,33.3,50,20,0,0,.,.,.,50,226,0,0,0,0,3,1.3,1,0.4,108,47.8,27,11.9,33,14.6,32,14.2,32,14.2,39,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,8,3.5,34,15,28,12.4,10,4.4,0,0,0,0,118,52.2,0,0,34,15,20,8.8,12,5.3,0,0,201,88.9,0,.,0,.
"002901001",4,2.5,2,1.2,0,0,141,87.6,20,12.4,161,100,0,0,91,56.5,0,0,183,18.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,903,3,0.3,17,1.9,19,2.1,17,1.8,244,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,29.8,252,27.9,219,24.3,163,18.1,0,0,56,6.2,0,0,0,0,553,61.2,3,0.3,30,3.3,659,73,0,0,375,41.5,90,10,19,2.1,536,59.4,306,33.9,20,12.4,64,39.8
"002901002",0,0,0,0,0,0,19,25,57,75,76,100,2,2.6,39,51.3,0,0,117,95.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,0,0,0,0,1,2.8,2,1.6,14,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0,23,63.9,12,33.3,0,0,0,0,0,0,0,0,27,75,0,0,0,0,22,61.1,0,0,32,88.9,3,8.3,0,0,18,50,8,22.2,2,2.6,35,46.1
"002901041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,95,12.6,.,.,.,.,.,0.9,0.5,0.4,.,.,.,.,.,.,11.1,0,0,.,777,3,0.4,26,3.3,19,2.4,12,1.6,299,38.5,0,0,0,0,0,0,0,0,0,0,294,37.8,246,31.7,237,30.5,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,489,62.9,1,0.1,48,6.2,478,61.5,0,0,283,36.4,42,5.4,10,1.3,0,0,255,32.8,0,.,0,.
"002901101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,104,16.9,.,0.4,1.2,.,.,.,.,.,.,.,5.9,0,.,.,.,.,.,.,586,1,0.2,143,24.4,11,1.9,0,0,281,48,0,0,289,49.3,297,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.9,0,0,0,0,408,69.6,2,0.3,109,18.6,305,52,0,0,191,32.6,33,5.6,7,1.2,0,0,157,26.8,0,.,0,.
"002901104",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,85,14.9,.,.,.,0,0,.,.,.,.,.,.,.,0,0,.,.,.,.,579,1,0.2,114,19.7,9,1.6,0,0,275,47.5,0,0,0,0,0,0,308,53.2,271,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,384,66.3,2,0.3,85,14.7,304,52.5,0,0,168,29,46,7.9,11,1.9,0,0,172,29.7,0,.,0,.
"002901105",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,55,16.8,4.5,.,.,.,.,.,.,.,1.2,0,.,.,.,.,.,.,.,15.8,736,5,0.7,186,25.3,6,0.8,0,0,376,51.1,307,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,3,0.4,308,41.8,117,15.9,502,68.2,3,0.4,126,17.1,360,48.9,0,0,149,20.2,36,4.9,6,0.8,0,0,214,29.1,0,.,0,.
"003801001",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,19,11,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,0,0,.,195,4,2.1,0,0,31,15.9,0,0,74,37.9,0,0,0,0,0,0,0,0,0,0,0,0,35,17.9,38,19.5,37,19,39,20,26,13.3,20,10.3,0,0,0,0,0,0,0,0,26,13.3,0,0,0,0,121,62.1,2,1,14,7.2,15,7.7,2,1,83,42.6,130,66.7,0,.,0,.
"003801103",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,28,8.6,4.8,0,0,0,0,0,.,.,6.7,16.7,0,0,0,0,0,.,.,33.3,440,11,2.5,0,0,78,17.7,0,0,246,55.9,54,12.3,55,12.5,57,13,60,13.6,61,13.9,61,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9.1,51,11.6,41,9.3,72,16.4,0,0,0,0,194,44.1,0,0,35,8,30,6.8,8,1.8,0,0,271,61.6,0,.,0,.
"003902001",7,5,0,0,0,0,121,87.1,18,12.9,139,100,4,2.9,21,15.1,1,0.7,89,11.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,755,10,1.3,4,0.5,31,4.1,27,3.5,334,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,27.4,193,25.6,195,25.8,160,21.2,0,0,38,5,0,0,0,0,151,20,2,0.3,5,0.7,421,55.8,0,0,196,26,59,7.8,18,2.4,594,78.7,543,71.9,12,8.6,106,76.3
"003902004",0,0,0,0,0,0,1,6.7,14,93.3,15,100,2,13.3,6,40,0,0,28,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.3,1,14.3,5,71.4,0,0,0,0,0,0,0,0,1,14.3,0,0,0,0,7,100,0,0,7,100,1,14.3,0,0,5,71.4,5,71.4,0,0,7,46.7
"003902041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,82,12,.,.,.,.,.,1.5,1.5,0.6,.,.,.,.,.,.,0,0,4.8,.,664,8,1.2,23,3.5,31,4.7,27,3.9,357,53.8,0,0,0,0,0,0,0,0,0,0,238,35.8,208,31.3,218,32.8,0,0,0,0,0,0,0,0,0,0,69,10.4,0,0,0,0,149,22.4,1,0.2,25,3.8,307,46.2,1,0.2,201,30.3,62,9.3,10,1.5,0,0,464,69.9,0,.,0,.
"003902101",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,74,16.3,7,3.9,.,.,.,.,.,.,6.8,14.3,6.7,.,.,.,.,.,.,42.1,712,5,0.7,94,13.2,49,6.9,0,0,465,65.3,199,27.9,199,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.6,5,0.7,217,30.5,93,13.1,204,28.7,7,1,96,13.5,247,34.7,0,0,363,51,39,5.5,4,0.6,0,0,443,62.2,0,.,0,.
"003902102",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,90,13.5,.,.,2.8,3.3,1,.,.,.,.,.,.,0,7.1,0,.,.,.,.,588,6,1,48,8.2,44,7.5,3,0.4,334,56.8,0,0,0,0,199,33.8,187,31.8,202,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8.3,0,0,0,0,124,21.1,1,0.2,51,8.7,254,43.2,0,0,137,23.3,35,6,9,1.5,0,0,404,68.7,0,.,0,.
"003903001",9,1.9,12,2.6,1,0.2,390,84.2,73,15.8,463,100,137,29.6,153,33,1,0.2,369,15.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2205,37,1.7,177,8,613,27.8,200,8.3,1334,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,26.8,544,24.7,585,26.5,484,22,0,0,326,14.8,0,0,0,0,744,33.7,6,0.3,62,2.8,871,39.5,2,0.1,1007,45.7,330,15,38,1.7,1251,56.7,765,34.7,77,16.6,150,32.4
"003903004",1,2.9,0,0,0,0,1,2.9,33,97.1,34,100,17,50,7,20.6,1,2.9,85,97.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,0,0,1,2.4,8,19.5,0,0,22,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0,0,23,56.1,17,41.5,0,0,0,0,0,0,0,0,12,29.3,0,0,1,2.4,19,46.3,0,0,39,95.1,7,17.1,4,9.8,0,0,17,41.5,14,41.2,8,23.5
"003903044",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,205,10.8,.,.,.,.,.,0,0,0.8,.,.,.,.,.,.,0,2,0,.,1749,27,1.5,298,17,464,26.5,128,6.8,1289,73.7,0,0,0,0,0,0,0,0,0,0,582,33.3,586,33.5,581,33.2,0,0,0,0,0,0,0,0,0,0,181,10.3,0,0,0,0,682,39,2,0.1,193,11,460,26.3,3,0.2,673,38.5,249,14.2,35,2,303,17.3,536,30.6,0,.,0,.
"003903120",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,61,18.8,.,.,2.8,1.2,0,.,.,.,.,.,.,0,0,0,100,.,.,.,306,4,1.3,33,10.8,101,33,3,0.9,232,75.8,0,0,0,0,112,36.6,99,32.4,95,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,100,32.7,2,0.7,34,11.1,74,24.2,0,0,148,48.4,46,15,11,3.6,0,0,88,28.8,0,.,0,.
"003903121",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,69,14.8,.,.,6,0.7,0,.,.,.,.,.,.,0,10.5,0,.,.,.,.,435,17,3.9,27,6.2,148,34,6,1.3,264,60.7,0,0,0,0,168,38.6,122,28,145,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,48.7,0,0,0,0,91,20.9,1,0.2,28,6.4,171,39.3,0,0,153,35.2,43,9.9,7,1.6,0,0,171,39.3,0,.,0,.
"003903122",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,78,21.4,.,.,2.5,3.6,2.3,.,.,.,.,.,.,4.3,0,0,.,.,.,.,303,4,1.3,24,7.9,128,42.2,10,2.7,241,79.5,0,0,0,0,106,35,94,31,103,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7,0,0,0,0,91,30,0,0,24,7.9,62,20.5,0,0,192,63.4,51,16.8,14,4.6,0,0,66,21.8,0,.,0,.
"003903123",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,73,22.9,.,.,0,1.6,0,.,.,.,.,.,.,0,0,0,.,.,.,.,291,0,0,124,42.6,61,21,3,0.9,278,95.5,0,0,0,0,112,38.5,105,36.1,74,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,60.1,0,0,126,43.3,13,4.5,0,0,246,84.5,23,7.9,5,1.7,0,0,50,17.2,0,.,0,.
"003903124",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,57,15.6,9.4,6.6,.,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,370,13,3.5,30,8.1,127,34.3,0,0,232,62.7,158,42.7,155,41.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,54.6,57,15.4,0,0,75,20.3,3,0.8,30,8.1,138,37.3,2,0.5,176,47.6,13,3.5,4,1.1,0,0,146,39.5,0,.,0,.
"003903125",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,1.9,.,.,.,.,.,.,.,.,66.7,375,0,0,197,52.5,121,32.3,0,0,367,97.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,47.2,198,52.8,205,54.7,0,0,198,52.8,8,2.1,0,0,368,98.1,5,1.3,6,1.6,0,0,43,11.5,0,.,0,.
"003903126",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,268,4,1.5,102,38.1,105,39.2,0,0,260,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,100,139,51.9,0,0,108,40.3,8,3,0,0,268,100,1,0.4,1,0.4,0,0,19,7.1,0,.,0,.
"003903127",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,59,25.8,14.9,11.4,.,.,.,.,.,.,4.4,0,0,.,.,.,.,.,.,4.3,416,1,0.2,81,19.5,127,30.5,1,0.2,384,92.3,120,28.8,105,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,84,20.2,86,20.7,149,35.8,1,0.2,82,19.7,32,7.7,1,0.2,304,73.1,63,15.1,3,0.7,0,0,134,32.2,0,.,0,.
"003903128",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,70,28.7,6.4,8.8,.,.,.,.,.,.,9.8,0,0,.,.,.,.,.,.,20,400,4,1,55,13.8,126,31.5,0,0,337,84.3,121,30.3,107,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,32.5,42,10.5,143,35.8,0,0,58,14.5,63,15.8,3,0.8,293,73.3,17,4.3,13,3.3,0,0,111,27.8,0,.,0,.
"003903129",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,40,8.5,.,.,2.2,4.9,5.3,.,.,.,.,.,.,0,0,0,.,.,.,.,419,3,0.7,315,75.2,26,6.2,5,1.1,322,76.8,0,0,0,0,128,30.5,142,33.9,149,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,67.3,1,0.2,236,56.3,97,23.2,0,0,279,66.6,18,4.3,6,1.4,0,0,101,24.1,0,.,0,.
"003903130",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,76,28.7,13.8,7.4,.,.,.,.,.,.,1.9,16.7,11.1,.,.,.,.,.,.,20,393,2,0.5,38,9.7,166,42.2,3,0.6,328,83.5,123,31.3,89,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,113,28.8,66,16.8,123,31.3,0,0,39,9.9,65,16.5,0,0,291,74,20,5.1,16,4.1,0,0,86,21.9,0,.,0,.
"003903131",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,38,9.4,8.2,5.6,.,.,.,.,.,.,11.1,16.7,0,.,.,.,.,.,.,33.3,510,1,0.2,388,76.1,41,8,1,0.2,402,78.8,202,39.6,177,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,131,25.7,0,0,328,64.3,1,0.2,294,57.6,108,21.2,0,0,394,77.3,8,1.6,1,0.2,0,0,138,27.1,0,.,0,.
