CAMPUS,C20GR12N,C20GR12R,C30GR12N,C30GR12R,C40GR12N,C40GR12R,CA0GH12N,CA0GH12R,CA0GM12N,CA0GM12R,CA0GR12N,CA0GR12R,CB0GR12N,CB0GR12R,CH0GR12N,CH0GR12R,CI0GR12N,CI0GR12R,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETASIC,CPETASIP,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETTWOC,CPETTWOP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR12N,CS0GR12R,CW0GR12N,CW0GR12R
"246909002",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,483,100,.,.,.,.,.,0,0,12.5,.,.,.,.,.,.,.,33.3,0,.,99,4,4,3,3,26,26.3,36,7.5,57,57.6,0,0,0,0,0,0,0,0,0,0,3,3,8,8.1,19,19.2,19,19.2,20,20.2,13,13.1,17,17.2,0,0,1,1,0,0,0,0,40,40.4,0,0,3,3,42,42.4,0,0,99,100,15,15.2,2,2,22,22.2,27,27.3,0,.,0,.
"246909003",28,4.8,144,24.7,0,0,530,90.9,53,9.1,583,100,17,2.9,71,12.2,12,2.1,184,7.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2582,734,28.4,71,2.7,72,2.8,23,0.9,321,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,28,660,25.6,619,24,581,22.5,0,0,438,17,0,0,0,0,369,14.3,9,0.3,72,2.8,2261,87.6,4,0.2,455,17.6,125,4.8,116,4.5,1319,51.1,1278,49.5,29,5,311,53.3
"246909004",20,3.1,88,13.6,1,0.2,576,89,71,11,647,100,55,8.5,118,18.2,4,0.6,336,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2415,332,13.7,54,2.2,238,9.9,49,1.9,536,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,28.4,606,25.1,538,22.3,584,24.2,0,0,182,7.5,0,0,0,0,560,23.2,12,0.5,59,2.4,1879,77.8,6,0.2,682,28.2,188,7.8,89,3.7,1564,64.8,1178,48.8,41,6.3,361,55.8
"246909007",30,4,37,4.9,1,0.1,632,83.6,124,16.4,756,100,102,13.5,272,36,6,0.8,444,16.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2280,106,4.6,106,4.6,386,16.9,74,2.7,975,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,28.6,596,26.1,526,23.1,505,22.1,0,0,123,5.4,0,0,0,0,1018,44.6,14,0.6,108,4.7,1305,57.2,4,0.2,953,41.8,196,8.6,72,3.2,1602,70.3,680,29.8,50,6.6,308,40.7
"246909008",0,0,1,25,0,0,1,25,3,75,4,100,1,25,1,25,0,0,336,13.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2855,144,5,88,3.1,411,14.4,76,3.1,907,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,25,772,27,743,26,626,21.9,0,0,223,7.8,0,0,0,0,1019,35.7,12,0.4,89,3.1,1948,68.2,5,0.2,1044,36.6,187,6.5,115,4,2076,72.7,1149,40.2,0,0,1,25
"246909011",6,3.6,1,0.6,0,0,7,4.2,161,95.8,168,100,19,11.3,71,42.3,3,1.8,329,83.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,127,2,1.6,8,6.3,18,14.2,12,3,85,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.1,16,12.6,48,37.8,59,46.5,0,0,0,0,0,0,0,0,70,55.1,0,0,8,6.3,42,33.1,0,0,120,94.5,4,3.1,5,3.9,13,10.2,32,25.2,1,0.6,68,40.5
"246909012",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,49,98,.,.,.,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,13,0,0,0,0,3,23.1,40,80,5,38.5,0,0,0,0,0,0,0,0,1,7.7,0,0,0,0,0,0,5,38.5,4,30.8,2,15.4,1,7.7,0,0,1,7.7,0,0,0,0,5,38.5,0,0,0,0,8,61.5,0,0,13,100,2,15.4,2,15.4,0,0,3,23.1,0,.,0,.
"246909016",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,89,98.9,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,16,0,0,1,6.3,3,18.8,2,2.2,7,43.8,0,0,0,0,0,0,0,0,0,0,1,6.3,0,0,1,6.3,5,31.3,5,31.3,3,18.8,1,6.3,0,0,0,0,0,0,0,0,6,37.5,0,0,2,12.5,9,56.3,0,0,16,100,3,18.8,0,0,0,0,7,43.8,0,.,0,.
"246909041",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,187,22.2,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,783,12,1.5,125,16,111,14.2,22,2.6,548,70,0,0,0,0,0,0,0,0,0,0,265,33.8,261,33.3,257,32.8,0,0,0,0,0,0,0,0,0,0,61,7.8,0,0,0,0,453,57.9,5,0.6,127,16.2,235,30,0,0,333,42.5,100,12.8,30,3.8,120,15.3,172,22,0,.,0,.
"246909042",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,76,9.9,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,693,96,13.9,37,5.3,38,5.5,8,1,188,27.1,0,0,0,0,0,0,0,0,0,0,220,31.7,248,35.8,225,32.5,0,0,0,0,0,0,0,0,0,0,132,19,0,0,0,0,189,27.3,5,0.7,37,5.3,505,72.9,1,0.1,143,20.6,50,7.2,30,4.3,44,6.3,334,48.2,0,.,0,.
"246909043",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,144,12.7,.,.,.,.,.,0,0,0.3,.,.,.,.,.,.,0,0,0,.,1058,67,6.3,63,6,100,9.5,18,1.6,362,34.2,0,0,0,0,0,0,0,0,0,0,356,33.6,355,33.6,347,32.8,0,0,0,0,0,0,0,0,0,0,100,9.5,0,0,0,0,374,35.3,6,0.6,65,6.1,696,65.8,1,0.1,289,27.3,78,7.4,45,4.3,253,23.9,465,44,0,.,0,.
"246909044",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,71,5.4,.,.,.,.,.,0,0,0.3,.,.,.,.,.,.,0,0,0,.,1271,457,36,58,4.6,34,2.7,18,1.4,148,11.6,0,0,0,0,0,0,0,0,0,0,411,32.3,441,34.7,419,33,0,0,0,0,0,0,0,0,0,0,295,23.2,0,0,0,0,140,11,1,0.1,58,4.6,1123,88.4,0,0,150,11.8,70,5.5,55,4.3,236,18.6,584,45.9,0,.,0,.
"246909045",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,182,16.7,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,951,69,7.3,36,3.8,148,15.6,29,2.7,407,42.8,0,0,0,0,0,0,0,0,0,0,309,32.5,320,33.6,322,33.9,0,0,0,0,0,0,0,0,0,0,81,8.5,0,0,0,0,283,29.8,4,0.4,39,4.1,544,57.2,2,0.2,223,23.4,117,12.3,67,7,219,23,378,39.7,0,.,0,.
"246909046",0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,119,13.5,.,.,.,.,.,0,0.4,0,.,.,.,.,.,.,0,0,4.5,.,878,42,4.8,40,4.6,134,15.3,8,0.9,332,37.8,0,0,0,0,0,0,0,0,0,0,301,34.3,297,33.8,280,31.9,0,0,0,0,0,0,0,0,0,0,66,7.5,0,0,0,0,352,40.1,3,0.3,40,4.6,546,62.2,2,0.2,213,24.3,75,8.5,27,3.1,249,28.4,318,36.2,0,.,0,.
