DISTRICT,D20GR15N,D20GR15R,D30GR15N,D30GR15R,D40GR15N,D40GR15R,DA0GA15N,DA0GA15P,DA0GE15N,DA0GE15P,DA0GH15N,DA0GH15P,DA0GM15N,DA0GM15P,DA0GN15N,DA0GN15P,DA0GR15N,DA0GR15R,DB0GR15N,DB0GR15R,DE0GR15N,DE0GR15R,DH0GR15N,DH0GR15R,DI0GR15N,DI0GR15R,DL0GR15N,DL0GR15R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DR0GR15N,DR0GR15R,DS0GR15N,DS0GR15R,DW0GR15N,DW0GR15R
"048903",1,5,0,0,0,0,7,35,1,5,9,45,3,15,0,0,20,100,0,0,12,60,7,35,0,0,0,0,252,0,0,2,0.8,1,0.4,202,80.2,124,49.2,0,0,9,3.6,50,19.8,0,0,129,51.2,6,2.4,120,47.6,9,45,0,0,12,60
"049901",5,3.3,5,3.3,0,0,1,0.7,0,0,139,91.4,12,7.9,0,0,152,100,11,7.2,92,60.5,82,53.9,1,0.7,6,3.9,2855,19,0.7,176,6.2,66,2.1,2284,80,1655,58,18,0.6,625,21.9,571,20,4,0.1,1702,59.6,132,4.6,851,29.8,46,30.3,7,4.6,48,31.6
"049902",0,0,0,0,0,0,0,0,0,0,26,86.7,4,13.3,0,0,30,100,0,0,2,6.7,1,3.3,0,0,0,0,477,5,1,1,0.2,2,0.4,73,15.3,12,2.5,4,0.8,1,0.2,404,84.7,1,0.2,112,23.5,9,1.9,445,93.3,2,6.7,2,6.7,29,96.7
"049903",2,4.1,2,4.1,0,0,0,0,0,0,40,81.6,9,18.4,0,0,49,100,0,0,23,46.9,10,20.4,0,0,2,4.1,774,3,0.4,1,0.1,0,0,381,49.2,196,25.3,2,0.3,86,11.1,393,50.8,0,0,352,45.5,17,2.2,555,71.7,12,24.5,8,16.3,35,71.4
"049905",0,0,0,0,0,0,0,0,0,0,76,87.4,11,12.6,0,0,87,100,0,0,35,40.2,9,10.3,2,2.3,0,0,1131,1,0.1,10,0.9,16,1.3,475,42,139,12.3,13,1.1,28,2.5,656,58,0,0,236,20.9,20,1.8,948,83.8,41,47.1,10,11.5,76,87.4
"049906",2,4.9,0,0,0,0,0,0,0,0,36,87.8,5,12.2,0,0,41,100,0,0,11,26.8,2,4.9,0,0,0,0,482,3,0.6,1,0.2,1,0.2,162,33.6,58,12,7,1.5,7,1.5,320,66.4,0,0,148,30.7,11,2.3,402,83.4,6,14.6,2,4.9,37,90.2
"049907",1,2.5,0,0,0,0,0,0,1,2.5,36,90,3,7.5,0,0,40,100,0,0,1,2.5,0,0,0,0,0,0,490,9,1.8,1,0.2,1,0.2,57,11.6,16,3.3,3,0.6,0,0,433,88.4,0,0,107,21.8,6,1.2,455,92.9,9,22.5,1,2.5,39,97.5
"049908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,0,0,0,0,0,0,53,63.9,16,19.3,0,0,0,0,30,36.1,0,0,33,39.8,1,1.2,66,79.5,.,.,.,.,.,.
"049909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,0,0,2,2.7,0,0,48,65.8,10,13.7,3,4.1,0,0,25,34.2,0,0,38,52.1,1,1.4,57,78.1,.,.,.,.,.,.
"050901",1,5.6,0,0,0,0,0,0,0,0,17,94.4,1,5.6,0,0,18,100,1,5.6,10,55.6,4,22.2,0,0,0,0,237,0,0,0,0,1,0.3,148,62.4,62,26.2,2,0.8,7,3,89,37.6,0,0,13,5.5,0,0,173,73,3,16.7,0,0,12,66.7
"050902",9,4.8,1,0.5,0,0,0,0,0,0,147,79,39,21,0,0,186,100,6,3.2,67,36,33,17.7,0,0,1,0.5,2839,19,0.7,65,2.3,60,2,1468,51.7,619,21.8,19,0.7,111,3.9,1371,48.3,0,0,940,33.1,126,4.4,1991,70.1,40,21.5,22,11.8,137,73.7
"050904",0,0,0,0,0,0,0,0,0,0,10,83.3,2,16.7,0,0,12,100,0,0,4,33.3,3,25,0,0,0,0,165,0,0,0,0,2,1,95,57.6,50,30.3,0,0,10,6.1,70,42.4,0,0,105,63.6,5,3,110,66.7,5,41.7,1,8.3,9,75
"050909",0,0,0,0,0,0,0,0,0,0,12,92.3,1,7.7,0,0,13,100,0,0,4,30.8,0,0,0,0,0,0,219,0,0,1,0.5,0,0,87,39.7,35,16,0,0,2,0.9,132,60.3,0,0,3,1.4,4,1.8,179,81.7,1,7.7,1,7.7,13,100
"050910",57,10.4,9,1.6,14,2.6,0,0,0,0,451,82.6,95,17.4,0,0,546,100,114,20.9,202,37,107,19.6,2,0.4,5,0.9,7995,124,1.6,1470,18.4,103,1.2,4323,54.1,1944,24.3,45,0.6,301,3.8,3672,45.9,137,1.7,4070,50.9,732,9.2,3543,44.3,142,26,38,7,243,44.5
"051901",1,10,0,0,0,0,0,0,0,0,8,80,2,20,0,0,10,100,2,20,8,80,2,20,1,10,0,0,204,0,0,22,10.8,1,0.4,137,67.2,83,40.7,0,0,0,0,67,32.8,0,0,126,61.8,4,2,95,46.6,6,60,1,10,4,40
"052901",0,0,0,0,0,0,0,0,0,0,48,84.2,9,15.8,0,0,57,100,1,1.8,7,12.3,47,82.5,0,0,2,3.5,1146,1,0.1,25,2.2,5,0.4,485,42.3,870,75.9,2,0.2,198,17.3,661,57.7,0,0,488,42.6,5,0.4,243,21.2,22,38.6,2,3.5,9,15.8
"053001",0,0,0,0,0,0,0,0,0,0,36,85.7,2,4.8,4,9.5,42,100,0,0,18,42.9,35,83.3,0,0,2,4.8,826,2,0.2,5,0.6,18,1.9,421,51,619,74.9,9,1.1,117,14.2,405,49,0,0,477,57.7,2,0.2,189,22.9,17,40.5,2,4.8,7,16.7
"054901",0,0,0,0,0,0,0,0,0,0,13,76.5,1,5.9,3,17.6,17,100,2,11.8,10,58.8,12,70.6,0,0,0,0,387,0,0,20,5.2,2,0.5,288,74.4,276,71.3,0,0,4,1,99,25.6,0,0,122,31.5,0,0,91,23.5,11,64.7,4,23.5,3,17.6
"054902",0,0,0,0,0,0,0,0,0,0,6,75,2,25,0,0,8,100,1,12.5,7,87.5,6,75,0,0,0,0,298,0,0,14,4.7,15,4.3,233,78.2,242,81.2,0,0,23,7.7,65,21.8,0,0,180,60.4,0,0,42,14.1,8,100,1,12.5,1,12.5
"054903",0,0,0,0,0,0,4,11.1,0,0,30,83.3,2,5.6,0,0,36,100,0,0,26,72.2,24,66.7,0,0,0,0,581,1,0.2,4,0.7,4,0.6,479,82.4,445,76.6,0,0,7,1.2,102,17.6,0,0,334,57.5,2,0.3,129,22.2,20,55.6,2,5.6,12,33.3
"055901",1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,21,100,21,100,0,0,12,57.1,18,85.7,0,0,0,0,436,3,0.7,0,0,6,1.2,324,74.3,385,88.3,1,0.2,25,5.7,112,25.7,2,0.5,235,53.9,9,2.1,36,8.3,15,71.4,1,4.8,2,9.5
"056901",2,1.6,0,0,0,0,0,0,0,0,99,80.5,24,19.5,0,0,123,100,1,0.8,41,33.3,59,48,0,0,7,5.7,1753,13,0.7,19,1.1,11,0.6,969,55.3,964,55,5,0.3,167,9.5,784,44.7,0,0,620,35.4,22,1.3,730,41.6,62,50.4,8,6.5,61,49.6
"056902",0,0,0,0,0,0,0,0,0,0,5,55.6,4,44.4,0,0,9,100,0,0,5,55.6,6,66.7,0,0,2,22.2,175,0,0,4,2.3,0,0,116,66.3,84,48,2,1.1,27,15.4,59,33.7,0,0,86,49.1,0,0,85,48.6,7,77.8,0,0,3,33.3
"057802",0,0,0,0,0,0,0,0,0,0,47,95.9,2,4.1,0,0,49,100,6,12.2,40,81.6,41,83.7,0,0,14,28.6,646,4,0.6,159,24.6,0,0,500,77.4,454,70.3,1,0.2,298,46.1,146,22.6,0,0,497,76.9,8,1.2,20,3.1,33,67.3,3,6.1,2,4.1
"057803",2,1.8,58,51.8,0,0,0,0,0,0,109,97.3,3,2.7,0,0,112,100,4,3.6,12,10.7,24,21.4,0,0,2,1.8,13959,1124,8.1,2573,18.4,0,0,10402,74.5,9376,67.2,24,0.2,4447,31.9,3557,25.5,4,0,8479,60.7,240,1.7,618,4.4,9,8,4,3.6,24,21.4
"057804",7,0.4,9,0.5,0,0,0,0,0,0,1046,61.7,650,38.3,0,0,1696,100,496,29.2,1539,90.7,1122,66.2,3,0.2,249,14.7,4468,16,0.4,1317,29.5,0,0,4199,94,3005,67.3,4,0.1,765,17.1,269,6,1,0,4309,96.4,13,0.3,112,2.5,1353,79.8,89,5.2,59,3.5
"057805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,281,0,0,10,3.6,0,0,186,66.2,205,73,0,0,120,42.7,95,33.8,0,0,138,49.1,12,4.3,54,19.2,.,.,.,.,.,.
"057806",1,2.6,0,0,0,0,0,0,0,0,31,81.6,6,15.8,1,2.6,38,100,5,13.2,17,44.7,25,65.8,0,0,2,5.3,1833,21,1.1,387,21.1,0,0,1386,75.6,1130,61.6,5,0.3,475,25.9,447,24.4,4,0.2,1309,71.4,25,1.4,261,14.2,20,52.6,5,13.2,7,18.4
"057807",4,2.6,2,1.3,1,0.7,0,0,0,0,132,86.8,14,9.2,6,3.9,152,100,67,44.1,66,43.4,43,28.3,1,0.7,3,2,5364,40,0.7,2532,47.2,0,0,3052,56.9,1786,33.3,16,0.3,533,9.9,2312,43.1,3,0.1,2239,41.7,156,2.9,831,15.5,62,40.8,18,11.8,34,22.4
"057808",0,0,2,10.5,0,0,0,0,0,0,19,100,0,0,0,0,19,100,8,42.1,13,68.4,8,42.1,0,0,1,5.3,1985,1016,51.2,308,15.5,0,0,658,33.1,579,29.2,20,1,533,26.9,1327,66.9,0,0,580,29.2,26,1.3,36,1.8,3,15.8,2,10.5,1,5.3
"057809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,197,0,0,94,47.7,0,0,188,95.4,96,48.7,0,0,69,35,9,4.6,0,0,134,68,4,2,3,1.5,.,.,.,.,.,.
"057810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,604,0,0,466,77.2,0,0,589,97.5,136,22.5,0,0,79,13.1,15,2.5,0,0,508,84.1,0,0,2,0.3,.,.,.,.,.,.
"057811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,783,1,0.1,756,96.6,0,0,783,100,24,3.1,0,0,0,0,0,0,0,0,1,0.1,0,0,2,0.3,.,.,.,.,.,.
"057813",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2353,30,1.3,78,3.3,0,0,2148,91.3,2212,94,6,0.3,1442,61.3,205,8.7,0,0,1843,78.3,4,0.2,23,1,.,.,.,.,.,.
"057814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,486,2,0.4,220,45.3,0,0,486,100,224,46.1,3,0.6,71,14.6,0,0,0,0,486,100,2,0.4,35,7.2,.,.,.,.,.,.
"057816",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2161,3,0.1,2076,96.1,0,0,1796,83.1,63,2.9,1,0,20,0.9,365,16.9,6,0.3,570,26.4,4,0.2,8,0.4,.,.,.,.,.,.
"057817",0,0,0,0,0,0,0,0,0,0,25,61,16,39,0,0,41,100,40,97.6,39,95.1,1,2.4,0,0,1,2.4,1155,0,0,1083,93.8,0,0,1155,100,67,5.8,0,0,44,3.8,0,0,0,0,889,77,2,0.2,3,0.3,16,39,14,34.1,0,0
"057819",0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,3,100,0,0,2,66.7,2,66.7,0,0,1,33.3,195,1,0.5,36,18.5,0,0,187,95.9,142,72.8,0,0,105,53.8,8,4.1,0,0,111,56.9,3,1.5,13,6.7,1,33.3,1,33.3,1,33.3
"057827",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,766,0,0,295,38.5,0,0,685,89.4,463,60.4,1,0.1,259,33.8,81,10.6,0,0,487,63.6,1,0.1,6,0.8,.,.,.,.,.,.
"057828",11,3.5,7,2.2,2,0.6,0,0,0,0,56,17.6,250,78.6,12,3.8,318,100,62,19.5,155,48.7,99,31.1,3,0.9,17,5.3,1380,15,1.1,361,26.2,0,0,925,67,562,40.7,13,0.9,117,8.5,455,33,3,0.2,1326,96.1,32,2.3,394,28.6,218,68.6,33,10.4,134,42.1
"057829",1,1.2,0,0,0,0,0,0,0,0,69,81.2,15,17.6,1,1.2,85,100,6,7.1,80,94.1,73,85.9,0,0,2,2.4,940,1,0.1,30,3.2,0,0,854,90.9,863,91.8,0,0,371,39.5,86,9.1,0,0,603,64.1,15,1.6,31,3.3,63,74.1,9,10.6,5,5.9
"057830",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1118,1,0.1,91,8.1,0,0,1029,92,1004,89.8,1,0.1,420,37.6,89,8,1,0.1,640,57.2,4,0.4,16,1.4,.,.,.,.,.,.
"057831",0,0,0,0,0,0,0,0,0,0,32,86.5,5,13.5,0,0,37,100,37,100,29,78.4,0,0,0,0,0,0,747,0,0,719,96.3,0,0,517,69.2,16,2.1,2,0.3,3,0.4,230,30.8,0,0,355,47.5,5,0.7,5,0.7,16,43.2,4,10.8,0,0
"057832",0,0,1,4,0,0,0,0,0,0,14,56,11,44,0,0,25,100,10,40,18,72,14,56,0,0,0,0,132,1,0.8,41,31.1,0,0,121,91.7,63,47.7,2,1.5,5,3.8,11,8.3,0,0,82,62.1,5,3.8,20,15.2,21,84,4,16,0,0
"057833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,381,44,11.5,91,23.9,0,0,157,41.2,97,25.5,0,0,30,7.9,224,58.8,0,0,138,36.2,5,1.3,144,37.8,.,.,.,.,.,.
"057834",3,1.5,5,2.5,2,1,0,0,0,0,78,38.4,125,61.6,0,0,203,100,102,50.2,118,58.1,57,28.1,1,0.5,3,1.5,795,4,0.5,395,49.7,0,0,457,57.5,282,35.5,8,1,42,5.3,338,42.5,12,1.5,730,91.8,9,1.1,85,10.7,145,71.4,18,8.9,33,16.3
"057835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1526,8,0.5,114,7.5,0,0,1462,95.8,1382,90.6,0,0,899,58.9,64,4.2,1,0.1,903,59.2,1,0.1,20,1.3,.,.,.,.,.,.
"057836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,316,0,0,306,96.8,0,0,221,69.9,9,2.8,0,0,0,0,95,30.1,0,0,84,26.6,1,0.3,0,0,.,.,.,.,.,.
"057837",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1234,0,0,754,61.1,0,0,1107,89.7,437,35.4,0,0,243,19.7,127,10.3,0,0,275,22.3,8,0.6,35,2.8,.,.,.,.,.,.
"057839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1126,0,0,9,0.8,4,0.3,1011,89.8,1102,97.9,0,0,663,58.9,115,10.2,1,0.1,698,62,2,0.2,12,1.1,.,.,.,.,.,.
"057840",3,1.2,77,31.4,1,0.4,0,0,0,0,236,96.3,8,3.3,1,0.4,245,100,46,18.8,56,22.9,58,23.7,1,0.4,0,0,511,113,22.1,104,20.4,0,0,100,19.6,128,25,1,0.2,0,0,411,80.4,1,0.2,23,4.5,11,2.2,153,29.9,25,10.2,0,0,59,24.1
"057841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,520,0,0,45,8.7,0,0,498,95.8,414,79.6,3,0.6,250,48.1,22,4.2,0,0,405,77.9,6,1.2,52,10,.,.,.,.,.,.
"057844",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,873,301,34.5,214,24.5,0,0,429,49.1,52,6,1,0.1,201,23,444,50.9,0,0,318,36.4,19,2.2,286,32.8,.,.,.,.,.,.
"057845",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,429,23,5.4,43,10,0,0,119,27.7,116,27,0,0,12,2.8,310,72.3,2,0.5,84,19.6,11,2.6,234,54.5,.,.,.,.,.,.
"057846",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1187,29,2.4,259,21.8,0,0,791,66.6,717,60.4,0,0,339,28.6,396,33.4,0,0,739,62.3,18,1.5,164,13.8,.,.,.,.,.,.
"057847",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,725,11,1.5,217,29.9,0,0,220,30.3,238,32.8,0,0,16,2.2,505,69.7,1,0.1,25,3.4,36,5,222,30.6,.,.,.,.,.,.
"057848",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5030,365,7.3,798,15.9,1,0,2218,44.1,2527,50.2,25,0.5,1077,21.4,2812,55.9,8,0.2,1776,35.3,135,2.7,1172,23.3,.,.,.,.,.,.
"057849",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,143,0,0,111,77.6,0,.,129,90.2,22,15.4,1,0.7,12,8.4,14,9.8,0,0,94,65.7,3,2.1,6,4.2,.,.,.,.,.,.
"057903",23,1.4,160,9.7,2,0.1,0,0,0,0,1327,80.4,303,18.4,20,1.2,1650,100,250,15.2,859,52.1,874,53,4,0.2,82,5,25724,2672,10.4,4265,16.6,398,1.4,16672,64.8,14413,56,85,0.3,7000,27.2,9052,35.2,24,0.1,13466,52.3,607,2.4,3658,14.2,744,45.1,96,5.8,337,20.4
"057904",15,2.4,9,1.5,3,0.5,6,1,0,0,515,84,42,6.9,50,8.2,613,100,415,67.7,311,50.7,116,18.9,3,0.5,5,0.8,8018,103,1.3,5381,67.1,175,2,5130,64,1820,22.7,22,0.3,559,7,2888,36,7,0.1,3796,47.3,215,2.7,470,5.9,323,52.7,42,6.9,52,8.5
"057905",30,0.4,112,1.5,17,0.2,0,0,0,0,6670,88.9,807,10.8,28,0.4,7505,100,1873,25,6011,80.1,4941,65.8,46,0.6,1090,14.5,158495,2145,1.4,35834,22.6,2289,1.3,139116,87.8,111165,70.1,526,0.3,67996,42.9,19379,12.2,108,0.1,103370,65.2,881,0.6,7836,4.9,4509,60.1,551,7.3,486,6.5
"057906",3,0.4,5,0.7,0,0,0,0,0,0,484,71.5,184,27.2,9,1.3,677,100,543,80.2,339,50.1,84,12.4,1,0.1,22,3.2,9716,27,0.3,7448,76.7,297,2.7,6978,71.8,1793,18.5,17,0.2,716,7.4,2738,28.2,7,0.1,4820,49.6,153,1.6,271,2.8,292,43.1,42,6.2,41,6.1
"057907",4,0.5,20,2.4,0,0,0,0,0,0,753,88.5,89,10.5,9,1.1,851,100,406,47.7,552,64.9,362,42.5,1,0.1,26,3.1,12761,200,1.6,5112,40.1,496,3.5,9595,75.2,6615,51.8,100,0.8,2310,18.1,3166,24.8,20,0.2,7948,62.3,147,1.2,567,4.4,613,72,77,9,58,6.8
"057909",74,1.9,366,9.3,9,0.2,0,0,0,0,3312,84.1,551,14,75,1.9,3938,100,705,17.9,1839,46.7,1734,44,23,0.6,149,3.8,57418,4805,8.4,10093,17.6,674,1.1,37684,65.6,28579,49.8,996,1.7,15085,26.3,19734,34.4,44,0.1,28969,50.5,1273,2.2,11628,20.3,2417,61.4,253,6.4,1027,26.1
"057910",26,1.5,80,4.6,2,0.1,0,0,0,0,1450,83.6,284,16.4,0,0,1734,100,295,17,1083,62.5,1112,64.1,7,0.4,240,13.8,29309,913,3.1,5348,18.2,575,1.9,21497,73.3,18835,64.3,111,0.4,8229,28.1,7812,26.7,37,0.1,20990,71.6,506,1.7,3559,12.1,992,57.2,121,7,212,12.2
"057911",5,0.9,21,3.9,1,0.2,0,0,0,0,520,97.4,14,2.6,0,0,534,100,1,0.2,0,0,31,5.8,2,0.4,4,0.7,7054,396,5.6,43,0.6,28,0.4,0,0,342,4.8,18,0.3,51,0.7,7054,100,9,0.1,804,11.4,143,2,6103,86.5,66,12.4,20,3.7,473,88.6
"057912",25,1.2,93,4.4,3,0.1,0,0,0,0,1629,76.2,508,23.8,0,0,2137,100,282,13.2,1314,61.5,1452,67.9,14,0.7,226,10.6,34872,1160,3.3,4504,12.9,557,1.5,27557,79,25151,72.1,516,1.5,13703,39.3,7315,21,64,0.2,25924,74.3,366,1,3111,8.9,1376,64.4,142,6.6,268,12.5
"057913",0,0,0,0,1,0.3,0,0,0,0,329,90.4,35,9.6,0,0,364,100,310,85.2,271,74.5,51,14,0,0,3,0.8,7315,10,0.1,5612,76.7,288,3.5,6315,86.3,1414,19.3,53,0.7,531,7.3,1000,13.7,3,0,4355,59.5,72,1,151,2.1,111,30.5,40,11,2,0.5
"057914",38,1.5,48,1.9,4,0.2,0,0,0,0,2129,83,434,16.9,3,0.1,2566,100,726,28.3,1459,56.9,1232,48,11,0.4,112,4.4,40718,631,1.5,10252,25.2,935,2.2,30614,75.2,22623,55.6,191,0.5,9219,22.6,10104,24.8,52,0.1,22354,54.9,836,2.1,6133,15.1,1112,43.3,220,8.6,507,19.8
"057916",47,2.2,168,7.9,3,0.1,0,0,0,0,1649,78,462,21.9,3,0.1,2114,100,466,22,841,39.8,648,30.7,5,0.2,74,3.5,38671,2712,7,8138,21,336,0.8,21813,56.4,15290,39.5,160,0.4,9941,25.7,16858,43.6,29,0.1,19674,50.9,1039,2.7,11303,29.2,782,37,159,7.5,777,36.8
"057919",2,1.8,28,25.5,0,0,0,0,0,0,101,91.8,9,8.2,0,0,110,100,7,6.4,8,7.3,8,7.3,0,0,0,0,1633,371,22.7,171,10.5,4,0.3,262,16,160,9.8,3,0.2,38,2.3,1371,84,1,0.1,334,20.5,66,4,861,52.7,6,5.5,10,9.1,65,59.1
"057922",31,3.6,194,22.7,0,0,0,0,0,0,833,97.7,20,2.3,0,0,853,100,37,4.3,91,10.7,107,12.5,4,0.5,9,1.1,11851,4832,40.8,543,4.6,36,0.3,1048,8.8,1560,13.2,48,0.4,1247,10.5,10803,91.2,14,0.1,3051,25.7,314,2.6,4540,38.3,174,20.4,29,3.4,480,56.3
"058902",0,0,0,0,0,0,5,100,0,0,0,0,0,0,0,0,5,100,0,0,4,80,4,80,0,0,0,0,176,0,0,0,0,1,0.5,87,49.4,91,51.7,2,1.1,11,6.3,89,50.6,0,0,66,37.5,0,0,83,47.2,1,20,0,0,1,20
"058905",0,0,0,0,0,0,0,0,0,0,12,100,0,0,0,0,12,100,0,0,4,33.3,4,33.3,0,0,0,0,267,7,2.6,3,1.1,0,0,84,31.5,91,34.1,1,0.4,16,6,183,68.5,0,0,50,18.7,3,1.1,162,60.7,1,8.3,0,0,8,66.7
"058906",0,0,1,1,0,0,20,19,2,1.9,63,60,14,13.3,6,5.7,105,100,6,5.7,55,52.4,74,70.5,0,0,2,1.9,2034,9,0.4,71,3.5,79,3.5,1674,82.3,1663,81.8,5,0.2,109,5.4,360,17.7,3,0.1,1370,67.4,15,0.7,268,13.2,56,53.3,10,9.5,24,22.9
"058909",0,0,0,0,0,0,0,0,0,0,5,83.3,1,16.7,0,0,6,100,0,0,2,33.3,2,33.3,0,0,0,0,255,2,0.8,0,0,1,0.4,144,56.5,119,46.7,3,1.2,32,12.5,111,43.5,0,0,100,39.2,2,0.8,129,50.6,1,16.7,0,0,4,66.7
"059901",1,0.4,0,0,0,0,0,0,0,0,156,64.2,87,35.8,0,0,243,100,0,0,166,68.3,202,83.1,0,0,5,2.1,4244,14,0.3,25,0.6,108,2.4,3500,82.5,3705,87.3,9,0.2,755,17.8,744,17.5,2,0,2789,65.7,18,0.4,471,11.1,165,67.9,18,7.4,40,16.5
"059902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,138,0,0,0,0,0,0,86,62.3,106,76.8,0,0,10,7.2,52,37.7,0,0,54,39.1,0,0,32,23.2,.,.,.,.,.,.
"060902",2,2.9,0,0,0,0,0,0,0,0,34,48.6,36,51.4,0,0,70,100,10,14.3,35,50,2,2.9,2,2.9,0,0,801,4,0.5,76,9.5,13,1.4,464,57.9,84,10.5,9,1.1,17,2.1,337,42.1,0,0,255,31.8,28,3.5,600,74.9,26,37.1,9,12.9,54,77.1
"060914",2,15.4,0,0,0,0,0,0,0,0,11,84.6,1,7.7,1,7.7,13,100,3,23.1,10,76.9,1,7.7,1,7.7,0,0,172,6,3.5,54,31.4,0,0,143,83.1,8,4.7,1,0.6,8,4.7,29,16.9,0,0,65,37.8,7,4.1,96,55.8,7,53.8,1,7.7,6,46.2
"061802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,380,2,0.5,59,15.5,0,0,279,73.4,180,47.4,0,0,104,27.4,101,26.6,0,0,249,65.5,16,4.2,123,32.4,.,.,.,.,.,.
"061804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,595,227,38.2,37,6.2,0,0,20,3.4,74,12.4,1,0.2,46,7.7,575,96.6,0,0,58,9.7,20,3.4,236,39.7,.,.,.,.,.,.
"061901",28,1.8,36,2.3,1,0.1,0,0,0,0,1408,91,138,8.9,1,0.1,1547,100,204,13.2,492,31.8,444,28.7,8,0.5,108,7,27296,772,2.8,3683,13.5,369,1.3,11468,42,8219,30.1,197,0.7,4104,15,15828,58,41,0.2,9307,34.1,543,2,13841,50.7,617,39.9,115,7.4,826,53.4
"061902",93,2.5,405,10.7,2,0.1,1,0,0,0,3135,83,500,13.2,141,3.7,3777,100,371,9.8,804,21.3,894,23.7,20,0.5,157,4.2,53396,6966,13,5392,10.1,772,1.4,17421,32.6,15147,28.4,245,0.5,8290,15.5,35975,67.4,50,0.1,19150,35.9,1819,3.4,23777,44.5,857,22.7,250,6.6,1992,52.7
"061903",1,0.9,0,0,0,0,0,0,0,0,103,91.2,10,8.8,0,0,113,100,4,3.5,40,35.4,32,28.3,1,0.9,6,5.3,1392,9,0.6,36,2.6,21,1.4,768,55.2,596,42.8,13,0.9,316,22.7,624,44.8,4,0.3,770,55.3,26,1.9,708,50.9,42,37.2,7,6.2,75,66.4
"061905",2,1.5,1,0.7,0,0,0,0,0,0,128,94.1,8,5.9,0,0,136,100,1,0.7,33,24.3,21,15.4,2,1.5,1,0.7,2055,8,0.4,51,2.5,29,1.3,733,35.7,541,26.3,9,0.4,189,9.2,1322,64.3,1,0,922,44.9,50,2.4,1395,67.9,31,22.8,6,4.4,109,80.1
