DISTRICT,D20GR15N,D20GR15R,D30GR15N,D30GR15R,D40GR15N,D40GR15R,DA0GA15N,DA0GA15P,DA0GE15N,DA0GE15P,DA0GH15N,DA0GH15P,DA0GM15N,DA0GM15P,DA0GN15N,DA0GN15P,DA0GR15N,DA0GR15R,DB0GR15N,DB0GR15R,DE0GR15N,DE0GR15R,DH0GR15N,DH0GR15R,DI0GR15N,DI0GR15R,DL0GR15N,DL0GR15R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DR0GR15N,DR0GR15R,DS0GR15N,DS0GR15R,DW0GR15N,DW0GR15R
"031911",0,0,0,0,0,0,0,0,0,0,123,89.8,14,10.2,0,0,137,100,0,0,109,79.6,133,97.1,0,0,3,2.2,2138,0,0,3,0.1,55,2.3,1860,87,2046,95.7,2,0.1,289,13.5,278,13,0,0,1057,49.4,1,0,86,4,48,35,8,5.8,4,2.9
"031912",0,0,0,0,0,0,0,0,0,0,587,86.3,93,13.7,0,0,680,100,0,0,465,68.4,671,98.7,0,0,40,5.9,10885,3,0,6,0.1,256,2.1,8846,81.3,10772,99,1,0,2546,23.4,2039,18.7,0,0,6286,57.7,16,0.1,87,0.8,356,52.4,29,4.3,9,1.3
"031913",0,0,0,0,0,0,0,0,0,0,42,97.7,1,2.3,0,0,43,100,0,0,39,90.7,43,100,0,0,5,11.6,692,0,0,1,0.1,15,1.9,667,96.4,684,98.8,1,0.1,272,39.3,25,3.6,0,0,493,71.2,0,0,6,0.9,32,74.4,1,2.3,0,0
"031914",0,0,0,0,0,0,0,0,0,0,62,80.5,15,19.5,0,0,77,100,0,0,70,90.9,75,97.4,0,0,2,2.6,1131,0,0,1,0.1,46,3.6,974,86.1,1114,98.5,0,0,189,16.7,157,13.9,0,0,712,63,1,0.1,15,1.3,45,58.4,8,10.4,2,2.6
"031916",7,1.1,63,10.1,0,0,0,0,0,0,600,95.8,26,4.2,0,0,626,100,7,1.1,386,61.7,521,83.2,1,0.2,5,0.8,3589,356,9.9,35,1,45,1.3,1945,54.2,2974,82.9,0,0,98,2.7,1644,45.8,0,0,747,20.8,36,1,188,5.2,172,27.5,3,0.5,27,4.3
"032902",3,1.9,4,2.6,0,0,18,11.7,0,0,116,75.3,18,11.7,2,1.3,154,100,28,18.2,117,76,61,39.6,1,0.6,8,5.2,2468,24,1,433,17.5,39,1.5,1909,77.4,968,39.2,13,0.5,432,17.5,559,22.6,1,0,1255,50.9,63,2.6,966,39.1,93,60.4,17,11,57,37
"033901",0,0,0,0,0,0,0,0,0,0,11,100,0,0,0,0,11,100,0,0,2,18.2,2,18.2,0,0,0,0,148,0,0,2,1.4,0,0,47,31.8,19,12.8,0,0,2,1.4,101,68.2,0,0,38,25.7,0,0,127,85.8,2,18.2,0,0,9,81.8
"033902",0,0,0,0,0,0,0,0,0,0,33,70.2,12,25.5,2,4.3,47,100,0,0,12,25.5,10,21.3,0,0,0,0,650,1,0.2,10,1.5,0,0,153,23.5,59,9.1,7,1.1,4,0.6,497,76.5,1,0.2,134,20.6,8,1.2,564,86.8,20,42.6,7,14.9,37,78.7
"033904",0,0,0,0,0,0,0,0,0,0,19,90.5,2,9.5,0,0,21,100,0,0,5,23.8,2,9.5,0,0,0,0,376,0,0,0,0,3,0.8,165,43.9,42,11.2,1,0.3,1,0.3,211,56.1,0,0,87,23.1,2,0.5,331,88,5,23.8,0,0,19,90.5
"034901",5,3.8,0,0,0,0,0,0,0,0,93,70.5,39,29.5,0,0,132,100,47,35.6,68,51.5,7,5.3,0,0,0,0,1754,9,0.5,586,33.4,95,4.9,1141,65.1,136,7.8,6,0.3,39,2.2,613,34.9,2,0.1,740,42.2,58,3.3,957,54.6,42,31.8,15,11.4,73,55.3
