CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057829001","Z","A+ ACADEMY","Y","DALLAS","057","R","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","ACVJEWMNS","ABBOTT SCHOOL","N","HILL","109","E","ABBOTT ISD","PK - 12","B"," "," ","12"
"095901003"," ","ABERNATHY DAEP","N","HALE","095","X","ABERNATHY ISD","09 - 11","S"," "," ","17"
"095901101","NY","ABERNATHY EL","N","HALE","095","R","ABERNATHY ISD","PK - 05","E"," "," ","17"
"095901001","ARUVJ","ABERNATHY H S","N","HALE","095","R","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","AWNSY","ABERNATHY J H","N","HALE","095","R","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001","S","ABILENE H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901010"," ","ACADEMY FOR TECHNOLOGY ENGINEERING","N","TAYLOR","221","R","ABILENE ISD","09 - 09","S"," "," ","14"
"221901142"," ","ACADIA ABILENE BEHAVIORAL HEALTH","N","TAYLOR","221","X","ABILENE ISD","05 - 11","B"," "," ","14"
"221901102","NY","AUSTIN EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","EM","BASSETTI EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103","N","BONHAM EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","EN","BOWIE EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901047","S","CLACK MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106"," ","COLLEGE HEIGHTS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002"," ","COOPER H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901048"," ","CRAIG MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901208"," ","DAY NURSERY OF ABILENE","N","TAYLOR","221","X","ABILENE ISD","PK - PK","E"," "," ","14"
"221901108","EWMNX","DYESS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901110","A","FANNIN EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901112","N","JACKSON EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901113","NY","JOHNSTON EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901008","AE","JUVENILE DETENTION CENTER","N","TAYLOR","221","1","ABILENE ISD","05 - 10","B"," "," ","14"
"221901116","Y","LEE EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901117"," ","LOCUST ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"221901118","N","LONG EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901044","EN","MADISON MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901045","S","MANN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901152"," ","ORTIZ EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901120"," ","REAGAN EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901124"," ","SAM HOUSTON","N","TAYLOR","221","X","ABILENE ISD","KG - 12","B"," "," ","14"
"221901007"," ","TAYLOR COUNTY LEARNING CENTER","N","TAYLOR","221","X","ABILENE ISD","06 - 11","B"," "," ","14"
"221901121","N","TAYLOR EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901151","NZ","THOMAS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901006"," ","TRAVIS OPPORTUNITY CTR","N","TAYLOR","221","X","ABILENE ISD","07 - 12","S"," "," ","14"
"221901150","EWNY","WARD EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901003"," ","WOODSON CENTER FOR EXCELLENCE","N","TAYLOR","221","1","ABILENE ISD","09 - 12","S"," "," ","14"
"221901125"," ","WOODSON ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"014901101"," ","ACADEMY EL","N","BELL","014","R","ACADEMY ISD","PK - 04","E"," "," ","12"
"014901001","UVJNS","ACADEMY H S","N","BELL","014","E","ACADEMY ISD","09 - 12","S"," "," ","12"
"014901041","AWS","ACADEMY J H","N","BELL","014","R","ACADEMY ISD","05 - 08","M"," "," ","12"
"101810002"," ","ACADEMY OF ACCELERATED LEARNING","Y","HARRIS","101","A","ACADEMY OF ACCELERATED LEARNING IN","PK - 05","E"," "," ","04"
"015816001","A","ACADEMY OF CAREERS AND TECHNOLOGIE","Y","BEXAR","015","1","ACADEMY OF CAREERS AND TECHNOLOGIE","09 - 12","S"," "," ","20"
"057810101"," ","ACADEMY OF DALLAS","Y","DALLAS","057","A","ACADEMY OF DALLAS","PK - 08","E"," "," ","10"
"101849041"," ","ACCELERATED INT CHARTER SCHOOL","Y","HARRIS","101","X","ACCELERATED INTERMEDIATE ACADEMY","07 - 08","M"," "," ","04"
"101849101","Y","ACCELERATED INTERDISCIPLINARY ACAD","Y","HARRIS","101","R","ACCELERATED INTERMEDIATE ACADEMY","PK - 06","E"," "," ","04"
"180903001","UWS","ADRIAN SCHOOL","N","OLDHAM","180","E","ADRIAN ISD","PK - 12","B"," "," ","16"
"057806101","RZ","ADVANTAGE ACADEMY","Y","DALLAS","057","A","ADVANTAGE ACADEMY","KG - 12","B"," "," ","10"
"178901101","AN","AGUA DULCE ELEMENTARY SCHOOL","N","NUECES","178","A","AGUA DULCE ISD","PK - 05","E"," "," ","02"
"178901001","RVW","AGUA DULCE H S","N","NUECES","178","A","AGUA DULCE ISD","06 - 12","B"," "," ","02"
"015901001","PCJS","ALAMO HEIGHTS H S","N","BEXAR","015","R","ALAMO HEIGHTS ISD","09 - 12","S"," "," ","20"
"015901041","WX","ALAMO HEIGHTS J H","N","BEXAR","015","R","ALAMO HEIGHTS ISD","06 - 08","M"," "," ","20"
"015901002"," ","BEXAR CO J J A E P","N","BEXAR","015","X","ALAMO HEIGHTS ISD","07 - 11","S"," "," ","20"
"015901101"," ","CAMBRIDGE EL","N","BEXAR","015","A","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"015901102"," ","HOWARD EL","N","BEXAR","015","X","ALAMO HEIGHTS ISD","EE - KG","E"," "," ","20"
"015901104","EMNY","WOODRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"250906101","Y","ALBA-GOLDEN EL","N","WOOD","250","R","ALBA-GOLDEN ISD","PK - 05","E"," "," ","07"
"250906001","J","ALBA-GOLDEN H S","N","WOOD","250","A","ALBA-GOLDEN ISD","06 - 12","B"," "," ","07"
"250906002"," ","ALTER SCHOOL","N","WOOD","250","1","ALBA-GOLDEN ISD","11 - 11","S"," "," ","07"
"209901001"," ","ALBANY JR-SR H S","N","SHACKELFORD","209","L","ALBANY ISD","07 - 12","S"," "," ","14"
"209901101","EWMN","NANCY SMITH EL","N","SHACKELFORD","209","E","ALBANY ISD","EE - 06","E"," "," ","14"
"101902001","S","ALDINE H S","N","HARRIS","101","A","ALDINE ISD","09 - 12","S"," "," ","04"
"101902099"," ","ALDINE J J A E P","N","HARRIS","101","X","ALDINE ISD","06 - 12","B"," "," ","04"
"101902041","SZ","ALDINE MIDDLE","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902081"," ","ALDINE NINTH GRADE SCHOOL","N","HARRIS","101","E","ALDINE ISD","09 - 09","S"," "," ","04"
"101902101"," ","ANDERSON ACADEMY","N","HARRIS","101","E","ALDINE ISD","01 - 03","E"," "," ","04"
"101902102","AX","BETHUNE ACADEMY","N","HARRIS","101","E","ALDINE ISD","03 - 04","E"," "," ","04"
"101902126","AWX","BLACK EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902131","AEMX","BUSSEY ELEMENTARY","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902128","Z","CALVERT EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902066","Z","CARAWAY INT","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902122","AX","CARMICHAEL EL","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902103","AMX","CARROLL ACADEMY","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902107"," ","CARTER ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902002","ARUVJS","CARVER H S FOR APPLIED TECH/ENGINE","N","HARRIS","101","E","ALDINE ISD","09 - 12","S"," "," ","04"
"101902123","X","CONLEY ELEMENTARY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902155"," ","DE SANTIAGO EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902042","AE","DREW ACADEMY","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902124"," ","DUNN EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902061","Y","ECKERT INT","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902004","S","EISENHOWER H S","N","HARRIS","101","A","ALDINE ISD","09 - 12","S"," "," ","04"
"101902084"," ","EISENHOWER NINTH GRADE SCHOOL","N","HARRIS","101","R","ALDINE ISD","09 - 09","S"," "," ","04"
"101902121","X","ERMEL EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902063","ANZ","ESCAMILLA INT","N","HARRIS","101","E","ALDINE ISD","05 - 06","M"," "," ","04"
"101902105","X","FRANCIS EL","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902163"," ","GARCIA-LEZA EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902106","MX","GOODMAN EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902048","AWSX","GRANTHAM ACADEMY","N","HARRIS","101","E","ALDINE ISD","07 - 08","M"," "," ","04"
"101902125","X","GRAY EL","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902007"," ","HALL ACADEMY","N","HARRIS","101","1","ALDINE ISD","09 - 12","S"," "," ","04"
"101902006"," ","HALL H S","N","HARRIS","101","1","ALDINE ISD","09 - 12","S"," "," ","04"
"101902043","WSZ","HAMBRICK MIDDLE","N","HARRIS","101","E","ALDINE ISD","07 - 08","M"," "," ","04"
"101902129","E","HARRIS ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902069","Y","HILL INT","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902153"," ","HINOJOSA EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902046"," ","HOFFMAN MIDDLE","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902062","AMNY","HOUSTON ACADEMY","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902116","EM","JOHNSON EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902165"," ","JONES EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - KG","E"," "," ","04"
"101902134","X","JONES EL","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902151"," ","KEEBLE EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902164"," ","KUJAWA EC/PRE-K CENTER","N","HARRIS","101","X","ALDINE ISD","EE - PK","E"," "," ","04"
"101902130","X","KUJAWA EL","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902108"," ","LANE SCHOOL","N","HARRIS","101","X","ALDINE ISD","EE - 12","B"," "," ","04"
"101902003","JS","MACARTHUR H S","N","HARRIS","101","R","ALDINE ISD","09 - 12","S"," "," ","04"
"101902083"," ","MACARTHUR NINTH GRADE SCHOOL","N","HARRIS","101","E","ALDINE ISD","09 - 09","S"," "," ","04"
"101902120","EMX","MAGRILL EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902070","AY","MARCELLA INT","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902109","AEM","MENDEL ELEMENTARY","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902005","S","NIMITZ H S","N","HARRIS","101","A","ALDINE ISD","09 - 12","S"," "," ","04"
"101902085"," ","NIMITZ NINTH GRADE SCHOOL","N","HARRIS","101","R","ALDINE ISD","09 - 09","S"," "," ","04"
"101902115","AEM","ODOM EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902111","WM","OLESON EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902112","EM","ORANGE GROVE EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902065","Y","PARKER INT","N","HARRIS","101","A","ALDINE ISD","05 - 06","M"," "," ","04"
"101902051","SZ","PLUMMER MIDDLE SCHOOL","N","HARRIS","101","E","ALDINE ISD","07 - 08","M"," "," ","04"
"101902113","EMX","RAYMOND ACADEMY","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902104"," ","REECE ACADEMY","N","HARRIS","101","X","ALDINE ISD","PK - KG","E"," "," ","04"
"101902068","ANY","REED ACADEMY","N","HARRIS","101","R","ALDINE ISD","05 - 06","M"," "," ","04"
"101902118","EMZ","SAMMONS EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902047","S","SHOTWELL MIDDLE","N","HARRIS","101","R","ALDINE ISD","07 - 08","M"," "," ","04"
"101902114"," ","SMITH ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902132","Z","SPENCE EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902064","AMZ","STEHLIK INT","N","HARRIS","101","E","ALDINE ISD","05 - 06","M"," "," ","04"
"101902119","EMX","STEPHENS EL","N","HARRIS","101","E","ALDINE ISD","KG - 04","E"," "," ","04"
"101902127"," ","STOVALL ACADEMY","N","HARRIS","101","R","ALDINE ISD","KG - 04","E"," "," ","04"
"101902044","SX","STOVALL MIDDLE","N","HARRIS","101","E","ALDINE ISD","07 - 08","M"," "," ","04"
