CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"057829001","V","A+ ACADEMY","Y","DALLAS","057","A","A+ ACADEMY","PK - 12","B"," "," ","10"
"109901001","AUVES","ABBOTT SCHOOL","N","HILL","109","R","ABBOTT ISD","PK - 12","B"," "," ","12"
"095901003"," ","ABERNATHY DAEP","N","HALE","095","X","ABERNATHY ISD","08 - 08","M"," "," ","17"
"095901101","WN","ABERNATHY EL","N","HALE","095","R","ABERNATHY ISD","PK - 05","E"," "," ","17"
"095901001","UV","ABERNATHY H S","N","HALE","095","A","ABERNATHY ISD","09 - 12","S"," "," ","17"
"095901041","AWX","ABERNATHY J H","N","HALE","095","R","ABERNATHY ISD","06 - 08","M"," "," ","17"
"221901001","PX","ABILENE H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901142"," ","ABILENE PSYCHIATRIC INSTITUTE","N","TAYLOR","221","X","ABILENE ISD","08 - 12","S"," "," ","14"
"221901129"," ","ABILENE STATE SCH","N","TAYLOR","221","X","ABILENE ISD","03 - 12","B"," "," ","14"
"221901102","AEWMN","AUSTIN EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901153","EWMN","BASSETTI EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901103","EWM","BONHAM EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901104","EN","BOWIE EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901048","SZ","BYRON CRAIG MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901047","EWS","CLACK MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901106","MN","COLLEGE HEIGHTS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901002"," ","COOPER H S","N","TAYLOR","221","A","ABILENE ISD","09 - 12","S"," "," ","14"
"221901208"," ","DAY NURSERY OF ABILENE","N","TAYLOR","221","X","ABILENE ISD","PK - PK","E"," "," ","14"
"221901108","EWMNY","DYESS EL","N","TAYLOR","221","E","ABILENE ISD","KG - 05","E"," "," ","14"
"221901110","AEMN","FANNIN EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901200"," ","HARMONY FAMILY SERVICES","N","TAYLOR","221","X","ABILENE ISD","03 - 11","B"," "," ","14"
"221901124"," ","HOUSTON STUDENT ACH CTR","N","TAYLOR","221","X","ABILENE ISD","KG - 09","B"," "," ","14"
"221901112","EMN","JACKSON EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901113","N","JOHNSTON EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901008","A","JUVENILE DETENTION CENTER","N","TAYLOR","221","1","ABILENE ISD","06 - 11","B"," "," ","14"
"221901116"," ","LEE EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901117"," ","LOCUST ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"221901118","EWMN","LONG EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901044","EWS","MADISON MIDDLE","N","TAYLOR","221","R","ABILENE ISD","06 - 08","M"," "," ","14"
"221901045","EWS","MANN MIDDLE","N","TAYLOR","221","A","ABILENE ISD","06 - 08","M"," "," ","14"
"221901152","W","ORTIZ EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901120"," ","REAGAN EL","N","TAYLOR","221","A","ABILENE ISD","KG - 05","E"," "," ","14"
"221901007"," ","TAYLOR COUNTY LEARNING CENTER","N","TAYLOR","221","X","ABILENE ISD","06 - 11","B"," "," ","14"
"221901121","EWN","TAYLOR EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901151","N","THOMAS EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901006"," ","TRAVIS OPPORTUNITY CTR","N","TAYLOR","221","X","ABILENE ISD","06 - 10","B"," "," ","14"
"221901150","EWMN","WARD EL","N","TAYLOR","221","R","ABILENE ISD","KG - 05","E"," "," ","14"
"221901003"," ","WOODSON CENTER FOR EXCELLENCE","N","TAYLOR","221","1","ABILENE ISD","09 - 12","S"," "," ","14"
"221901125"," ","WOODSON ECC","N","TAYLOR","221","X","ABILENE ISD","EE - PK","E"," "," ","14"
"014901101","X","ACADEMY EL","N","BELL","014","E","ACADEMY ISD","EE - 04","E"," "," ","12"
"014901001","PUVSX","ACADEMY H S","N","BELL","014","A","ACADEMY ISD","09 - 12","S"," "," ","12"
"014901041","AEWMNSY","ACADEMY J H","N","BELL","014","R","ACADEMY ISD","05 - 08","M"," "," ","12"
"101810002"," ","ACADEMY OF ACCELERATED LEARNING","Y","HARRIS","101","A","ACADEMY OF ACCELERATED LEARNING IN","PK - 05","E"," "," ","04"
"123801101"," ","ACADEMY OF BEAUMONT","Y","JEFFERSON","123","L","ACADEMY OF BEAUMONT","PK - 08","E"," "," ","05"
"015816001"," ","ACADEMY OF CAREERS AND TECHNOLOGI","Y","BEXAR","015","1","ACADEMY OF CAREERS AND TECHNOLOGIE","09 - 12","S"," "," ","20"
"057810101","NX","ACADEMY OF DALLAS","Y","DALLAS","057","A","ACADEMY OF DALLAS","PK - 08","E"," "," ","10"
"101849101"," ","ACCELERATED INTERDISCIPLINARY ACA","Y","HARRIS","101","R","ACCELERATED INTERMEDIATE ACADEMY","PK - 05","E"," "," ","04"
"101849102","MN","ACCELERATED INTERDISCIPLINARY ACA","Y","HARRIS","101","R","ACCELERATED INTERMEDIATE ACADEMY","PK - 05","E"," "," ","04"
"101849041","SZ","ACCELERATED INTERMEDIATE CHARTER","Y","HARRIS","101","A","ACCELERATED INTERMEDIATE ACADEMY","06 - 08","M"," "," ","04"
"180903001","REWMSX","ADRIAN SCHOOL","N","OLDHAM","180","R","ADRIAN ISD","PK - 12","B"," "," ","16"
"178901101","Z","AGUA DULCE ELEMENTARY SCHOOL","N","NUECES","178","A","AGUA DULCE ISD","PK - 05","E"," "," ","02"
"178901001","DRW","AGUA DULCE H S","N","NUECES","178","A","AGUA DULCE ISD","06 - 12","B"," "," ","02"
"015901001","PVSX","ALAMO HEIGHTS H S","N","BEXAR","015","R","ALAMO HEIGHTS ISD","09 - 12","S"," "," ","20"
"015901041","EW","ALAMO HEIGHTS J H","N","BEXAR","015","A","ALAMO HEIGHTS ISD","06 - 08","M"," "," ","20"
"015901101","EWN","CAMBRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"015901102"," ","HOWARD EL","N","BEXAR","015","X","ALAMO HEIGHTS ISD","EE - KG","E"," "," ","20"
"015901104","AWMNY","WOODRIDGE EL","N","BEXAR","015","R","ALAMO HEIGHTS ISD","01 - 05","E"," "," ","20"
"250906101","W","ALBA-GOLDEN EL","N","WOOD","250","R","ALBA-GOLDEN ISD","PK - 05","E"," "," ","07"
