DISTRICT,DA0GR07N,DA0GR07P,DB0GR07N,DB0GR07P,DH0GR07N,DH0GR07P,DI0GR07N,DI0GR07P,DP0GR07N,DP0GR07P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETWHIC,DPETWHIP,DS0GR07N,DS0GR07P,DW0GR07N,DW0GR07P
"022004",13,100,0,0,10,76.9,0,0,0,0,146,68,46.6,0,0,5,2.7,114,78.1,107,73.3,2,1.4,68,46.6,0,0,90,61.6,37,25.3,1,7.7,3,23.1
"022901",68,100,1,1.5,47,69.1,0,0,2,2.9,982,67,6.8,14,1.4,58,5.4,501,51,633,64.5,7,0.7,76,7.7,8,0.8,655,66.7,320,32.6,11,16.2,18,26.5
"022902",6,100,0,0,5,83.3,0,0,0,0,56,1,1.8,0,0,0,0,37,66.1,42,75,0,0,1,1.8,0,0,11,19.6,14,25,1,16.7,1,16.7
"022903",0,.,0,.,0,.,0,.,0,.,26,1,3.8,0,0,0,0,3,11.5,7,26.9,0,0,1,3.8,0,0,7,26.9,19,73.1,0,.,0,.
"023902",20,100,0,0,8,40,0,0,0,0,190,16,8.4,3,1.6,0,0,88,46.3,64,33.7,0,0,16,8.4,0,0,55,28.9,123,64.7,4,20,12,60
"024801",0,.,0,.,0,.,0,.,0,.,61,11,18,0,0,0,0,46,75.4,59,96.7,0,0,10,16.4,0,0,30,49.2,2,3.3,0,.,0,.
"024901",94,100,0,0,90,95.7,0,0,0,0,1529,51,3.3,1,0.1,65,3.8,1396,91.3,1476,96.5,0,0,60,3.9,2,0.1,837,54.7,50,3.3,13,13.8,4,4.3
"025901",69,100,7,10.1,9,13,0,0,0,0,1127,20,1.8,69,6.1,23,1.8,558,49.5,175,15.5,8,0.7,21,1.9,0,0,420,37.3,875,77.6,10,14.5,53,76.8
"025902",216,100,10,4.6,53,24.5,0,0,0,0,3479,61,1.8,252,7.2,117,2.9,2135,61.4,1220,35.1,5,0.1,66,1.9,15,0.4,1461,42,1987,57.1,29,13.4,153,70.8
"025904",21,100,0,0,4,19,1,4.8,0,0,221,5,2.3,2,0.9,2,0.8,139,62.9,50,22.6,1,0.5,5,2.3,0,0,71,32.1,168,76,1,4.8,16,76.2
"025905",16,100,1,6.3,0,0,0,0,0,0,261,1,0.4,0,0,1,0.3,127,48.7,35,13.4,1,0.4,1,0.4,0,0,84,32.2,225,86.2,1,6.3,15,93.8
"025906",13,100,0,0,4,30.8,0,0,0,0,196,0,0,5,2.6,0,0,106,54.1,11,5.6,0,0,0,0,0,0,38,19.4,180,91.8,3,23.1,9,69.2
"025908",17,100,0,0,0,0,1,5.9,0,0,164,0,0,4,2.4,1,0.5,100,61,31,18.9,2,1.2,0,0,0,0,87,53,127,77.4,4,23.5,16,94.1
"025909",93,100,1,1.1,8,8.6,1,1.1,0,0,1362,20,1.5,25,1.8,12,0.8,572,42,234,17.2,13,1,20,1.5,14,1,507,37.2,1076,79,17,18.3,83,89.2
"026901",107,100,10,9.3,20,18.7,1,0.9,0,0,1873,152,8.1,205,10.9,32,1.6,882,47.1,502,26.8,3,0.2,160,8.5,8,0.4,704,37.6,1155,61.7,13,12.1,76,71
"026902",40,100,9,22.5,5,12.5,0,0,0,0,509,14,2.8,148,29.1,14,2.3,295,58,102,20,5,1,14,2.8,0,0,270,53,254,49.9,9,22.5,26,65
"026903",33,100,12,36.4,4,12.1,0,0,0,0,503,12,2.4,157,31.2,13,2.3,307,61,113,22.5,1,0.2,15,3,0,0,228,45.3,232,46.1,13,39.4,17,51.5
"027903",225,100,4,1.8,36,16,2,0.9,1,0.4,3348,197,5.9,53,1.6,60,1.7,1553,46.4,721,21.5,13,0.4,200,6,18,0.5,1260,37.6,2543,76,41,18.2,182,80.9
"027904",244,100,4,1.6,62,25.4,1,0.4,0,0,3969,420,10.6,111,2.8,105,2.4,2038,51.3,1363,34.3,20,0.5,431,10.9,23,0.6,1663,41.9,2452,61.8,33,13.5,177,72.5
"028902",252,100,23,9.1,98,38.9,1,0.4,2,0.8,4431,295,6.7,295,6.7,166,3.4,2560,57.8,2596,58.6,10,0.2,310,7,31,0.7,2134,48.2,1499,33.8,28,11.1,128,50.8
"028903",78,100,10,12.8,41,52.6,0,0,0,0,1505,147,9.8,123,8.2,40,2.2,931,61.9,817,54.3,3,0.2,163,10.8,7,0.5,846,56.2,555,36.9,4,5.1,27,34.6
"028906",12,100,1,8.3,5,41.7,0,0,0,0,239,8,3.3,16,6.7,7,2.6,144,60.3,111,46.4,0,0,8,3.3,1,0.4,60,25.1,111,46.4,0,0,6,50
"029901",266,100,6,2.3,122,45.9,0,0,18,6.8,4260,304,7.1,119,2.8,198,4.2,2379,55.8,2394,56.2,5,0.1,342,8,166,3.9,1918,45,1576,37,24,9,120,45.1
"030901",25,100,0,0,1,4,1,4,0,0,366,2,0.5,1,0.3,3,0.7,204,55.7,21,5.7,1,0.3,2,0.5,0,0,127,34.7,343,93.7,5,20,23,92
"030902",133,100,2,1.5,11,8.3,1,0.8,0,0,1515,7,0.5,21,1.4,29,1.8,638,42.1,117,7.7,7,0.5,7,0.5,4,0.3,544,35.9,1366,90.2,17,12.8,119,89.5
"030903",29,100,0,0,2,6.9,0,0,1,3.4,303,2,0.7,0,0,1,0.3,172,56.8,48,15.8,0,0,2,0.7,2,0.7,97,32,253,83.5,4,13.8,26,89.7
"030906",38,100,0,0,6,15.8,0,0,0,0,405,5,1.2,4,1,6,1.2,203,50.1,48,11.9,1,0.2,8,2,1,0.2,142,35.1,351,86.7,6,15.8,32,84.2
"031901",1958,100,1,0.1,1901,97.1,0,0,10,0.5,48796,18987,38.9,82,0.2,1016,2,46116,94.5,47801,98,16,0,20685,42.4,170,0.3,33506,68.7,727,1.5,177,9,46,2.3
"031903",880,100,6,0.7,718,81.6,0,0,4,0.5,17838,2194,12.3,126,0.7,985,5.1,13460,75.5,16012,89.8,11,0.1,2342,13.1,150,0.8,10345,58,1539,8.6,61,6.9,152,17.3
"031905",151,100,0,0,124,82.1,0,0,0,0,3354,431,12.9,9,0.3,65,1.9,2751,82,3117,92.9,4,0.1,480,14.3,3,0.1,1565,46.7,221,6.6,11,7.3,27,17.9
"031906",469,100,2,0.4,437,93.2,2,0.4,1,0.2,9103,2051,22.5,42,0.5,83,0.9,7497,82.4,8629,94.8,7,0.1,2462,27,23,0.3,4402,48.4,402,4.4,54,11.5,27,5.8
"031909",124,100,0,0,104,83.9,0,0,0,0,2603,726,27.9,18,0.7,118,4.2,2307,88.6,2244,86.2,1,0,856,32.9,6,0.2,1470,56.5,334,12.8,13,10.5,20,16.1
"031911",133,100,1,0.8,123,92.5,0,0,1,0.8,2346,344,14.7,2,0.1,31,1.3,1954,83.3,2250,95.9,1,0,396,16.9,1,0,1387,59.1,92,3.9,22,16.5,8,6
"031912",419,100,0,0,414,98.8,0,0,1,0.2,11001,2205,20,20,0.2,905,7.3,8957,81.4,10840,98.5,2,0,2754,25,6,0.1,7098,64.5,133,1.2,64,15.3,4,1
"031913",34,100,0,0,34,100,0,0,0,0,657,265,40.3,0,0,3,0.4,639,97.3,654,99.5,0,0,270,41.1,0,0,425,64.7,3,0.5,4,11.8,0,0
"031914",70,100,0,0,68,97.1,0,0,0,0,1188,155,13,3,0.3,9,0.7,1120,94.3,1161,97.7,0,0,221,18.6,0,0,827,69.6,24,2,11,15.7,2,2.9
"031916",352,100,3,0.9,267,75.9,2,0.6,31,8.8,2658,49,1.8,34,1.3,35,1.3,1326,49.9,2112,79.5,2,0.1,60,2.3,199,7.5,644,24.2,311,11.7,1,0.3,49,13.9
"032902",141,100,40,28.4,26,18.4,0,0,0,0,2409,326,13.5,456,18.9,82,3.1,1641,68.1,763,31.7,15,0.6,361,15,17,0.7,1379,57.2,1158,48.1,26,18.4,75,53.2
"033901",11,100,0,0,0,0,0,0,0,0,130,2,1.5,0,0,0,0,51,39.2,10,7.7,1,0.8,1,0.8,3,2.3,28,21.5,116,89.2,2,18.2,11,100
"033902",55,100,0,0,9,16.4,0,0,0,0,725,5,0.7,7,1,0,0,155,21.4,54,7.4,7,1,6,0.8,3,0.4,186,25.7,654,90.2,12,21.8,46,83.6
"033904",31,100,0,0,1,3.2,0,0,1,3.2,393,0,0,1,0.3,1,0.2,134,34.1,24,6.1,3,0.8,0,0,0,0,119,30.3,365,92.9,6,19.4,29,93.5
"034901",117,100,38,32.5,4,3.4,1,0.9,1,0.9,1920,29,1.5,640,33.3,58,2.8,1067,55.6,81,4.2,4,0.2,29,1.5,8,0.4,629,32.8,1187,61.8,17,14.5,73,62.4
"034902",17,100,2,11.8,1,5.9,1,5.9,0,0,137,0,0,28,20.4,0,0,102,74.5,14,10.2,1,0.7,0,0,0,0,68,49.6,94,68.6,5,29.4,13,76.5
"034903",57,100,7,12.3,4,7,1,1.8,0,0,1056,22,2.1,170,16.1,11,1,562,53.2,78,7.4,8,0.8,27,2.6,0,0,298,28.2,800,75.8,6,10.5,45,78.9
"034905",43,100,7,16.3,2,4.7,1,2.3,0,0,814,20,2.5,167,20.5,14,1.5,466,57.2,48,5.9,2,0.2,20,2.5,4,0.5,272,33.4,593,72.9,8,18.6,33,76.7
"034906",33,100,0,0,0,0,0,0,0,0,383,2,0.5,14,3.7,6,1.3,129,33.7,9,2.3,0,0,2,0.5,2,0.5,159,41.5,358,93.5,9,27.3,33,100
"034907",84,100,21,25,2,2.4,1,1.2,0,0,1069,0,0,197,18.4,57,4.7,559,52.3,17,1.6,13,1.2,0,0,1,0.1,485,45.4,841,78.7,18,21.4,60,71.4
"034908",0,.,0,.,0,.,0,.,0,.,31,0,0,10,32.3,0,0,27,87.1,2,6.5,0,0,0,0,0,0,19,61.3,19,61.3,0,.,0,.
"034909",17,100,0,0,3,17.6,0,0,0,0,277,0,0,12,4.3,15,5.4,156,56.3,3,1.1,0,0,0,0,0,0,141,50.9,262,94.6,5,29.4,14,82.4
"035901",59,100,2,3.4,46,78,0,0,0,0,1115,183,16.4,18,1.6,42,3.3,814,73,888,79.6,2,0.2,192,17.2,3,0.3,660,59.2,204,18.3,4,6.8,11,18.6
"035902",23,100,0,0,22,95.7,0,0,0,0,305,18,5.9,3,1,0,0,254,83.3,284,93.1,2,0.7,18,5.9,0,0,217,71.1,16,5.2,2,8.7,1,4.3
"035903",22,100,0,0,0,0,2,9.1,0,0,233,0,0,2,0.9,1,0.4,58,24.9,16,6.9,12,5.2,0,0,4,1.7,44,18.9,199,85.4,0,0,20,90.9
"036901",72,100,7,9.7,18,25,0,0,2,2.8,1415,117,8.3,293,20.7,30,1.9,711,50.2,335,23.7,3,0.2,117,8.3,18,1.3,641,45.3,766,54.1,8,11.1,45,62.5
"036902",208,100,3,1.4,19,9.1,1,0.5,0,0,3701,74,2,141,3.8,35,0.9,673,18.2,557,15,19,0.5,76,2.1,32,0.9,1094,29.6,2952,79.8,7,3.4,185,88.9
"036903",74,100,6,8.1,13,17.6,0,0,1,1.4,1256,173,13.8,140,11.1,19,1.4,586,46.7,306,24.4,0,0,174,13.9,11,0.9,508,40.4,799,63.6,5,6.8,54,73
"037901",37,100,11,29.7,2,5.4,0,0,0,0,683,96,14.1,210,30.7,8,1,479,70.1,160,23.4,0,0,100,14.6,1,0.1,323,47.3,312,45.7,7,18.9,24,64.9
"037904",227,100,51,22.5,40,17.6,2,0.9,1,0.4,4901,1039,21.2,1019,20.8,103,1.9,3593,73.3,1944,39.7,10,0.2,1089,22.2,27,0.6,2924,59.7,1901,38.8,47,20.7,133,58.6
"037907",100,100,13,13,10,10,0,0,0,0,2018,89,4.4,330,16.4,40,1.8,1044,51.7,232,11.5,9,0.4,89,4.4,9,0.4,933,46.2,1438,71.3,26,26,77,77
"037908",13,100,0,0,5,38.5,0,0,0,0,438,160,36.5,24,5.5,6,1.2,409,93.4,355,81.1,0,0,200,45.7,0,0,285,65.1,59,13.5,2,15.4,8,61.5
"037909",17,100,0,0,0,0,0,0,0,0,345,10,2.9,56,16.2,1,0.3,219,63.5,27,7.8,1,0.3,11,3.2,0,0,138,40,261,75.7,3,17.6,17,100
"038901",72,100,2,2.8,16,22.2,2,2.8,1,1.4,1127,32,2.8,87,7.7,21,1.6,588,52.2,369,32.7,14,1.2,32,2.8,7,0.6,355,31.5,650,57.7,12,16.7,51,70.8
"039901",10,100,0,0,2,20,0,0,0,0,105,0,0,1,1,0,0,51,48.6,6,5.7,3,2.9,0,0,0,0,36,34.3,95,90.5,0,0,8,80
"039902",67,100,2,3,0,0,1,1.5,0,0,980,1,0.1,5,0.5,46,4.2,292,29.8,59,6,19,1.9,1,0.1,1,0.1,310,31.6,896,91.4,12,17.9,64,95.5
"039903",40,100,1,2.5,3,7.5,0,0,1,2.5,470,4,0.9,2,0.4,4,0.8,239,50.9,32,6.8,11,2.3,4,0.9,4,0.9,160,34,421,89.6,4,10,35,87.5
"039904",16,100,0,0,0,0,0,0,0,0,180,0,0,0,0,2,1,57,31.7,1,0.6,1,0.6,0,0,0,0,63,35,178,98.9,3,18.8,16,100
"039905",13,100,0,0,2,15.4,0,0,0,0,102,0,0,0,0,0,0,24,23.5,9,8.8,0,0,0,0,0,0,37,36.3,93,91.2,4,30.8,11,84.6
"040901",28,100,2,7.1,19,67.9,0,0,0,0,459,70,15.3,24,5.2,28,4.9,388,84.5,334,72.8,0,0,70,15.3,0,0,214,46.6,101,22,7,25,7,25
"040902",37,100,0,0,8,21.6,0,0,0,0,342,22,6.4,8,2.3,3,0.8,186,54.4,109,31.9,6,1.8,22,6.4,0,0,132,38.6,219,64,5,13.5,29,78.4
"041901",16,100,0,0,2,12.5,0,0,0,0,345,20,5.8,0,0,4,0.4,155,44.9,89,25.8,0,0,20,5.8,0,0,142,41.2,256,74.2,2,12.5,14,87.5
"041902",22,100,0,0,4,18.2,0,0,0,0,254,8,3.1,1,0.4,4,1.3,132,52,72,28.3,1,0.4,8,3.1,0,0,79,31.1,180,70.9,4,18.2,18,81.8
"042901",73,100,3,4.1,18,24.7,0,0,1,1.4,988,32,3.2,34,3.4,19,1.7,577,58.4,237,24,4,0.4,32,3.2,7,0.7,403,40.8,706,71.5,11,15.1,51,69.9
"042903",18,100,1,5.6,8,44.4,0,0,0,0,281,7,2.5,17,6,2,0.6,197,70.1,75,26.7,3,1.1,7,2.5,0,0,109,38.8,186,66.2,2,11.1,9,50
"042905",12,100,0,0,1,8.3,0,0,0,0,156,8,5.1,0,0,0,0,102,65.4,33,21.2,0,0,8,5.1,0,0,43,27.6,123,78.8,1,8.3,11,91.7
"042906",11,100,1,9.1,4,36.4,0,0,0,0,91,0,0,3,3.3,2,1.6,60,65.9,20,22,0,0,0,0,0,0,40,44,68,74.7,3,27.3,6,54.5
"043901",1130,100,84,7.4,103,9.1,4,0.4,70,6.2,16991,1231,7.2,1834,10.8,167,1,2353,13.8,2094,12.3,112,0.7,1260,7.4,1805,10.6,4895,28.8,11146,65.6,93,8.2,869,76.9
"043902",92,100,3,3.3,10,10.9,0,0,3,3.3,2000,145,7.3,185,9.3,12,0.6,716,35.8,434,21.7,18,0.9,145,7.3,30,1.5,596,29.8,1333,66.7,11,12,76,82.6
"043903",100,100,4,4,14,14,1,1,0,0,1715,117,6.8,61,3.6,6,0.3,445,25.9,363,21.2,9,0.5,118,6.9,15,0.9,392,22.9,1267,73.9,13,13,81,81
"043904",63,100,4,6.3,11,17.5,0,0,0,0,1484,100,6.7,91,6.1,39,2.4,611,41.2,329,22.2,16,1.1,102,6.9,8,0.5,439,29.6,1040,70.1,5,7.9,48,76.2
"043905",876,100,95,10.8,140,16,11,1.3,71,8.1,27256,1380,5.1,3289,12.1,201,0.8,2880,10.6,3734,13.7,161,0.6,1528,5.6,2998,11,4597,16.9,17074,62.6,55,6.3,559,63.8
"043907",981,100,103,10.5,161,16.4,11,1.1,37,3.8,22276,1974,8.9,2694,12.1,224,1,5303,23.8,4914,22.1,109,0.5,2039,9.2,702,3.2,5505,24.7,13857,62.2,73,7.4,669,68.2
"043908",47,100,0,0,7,14.9,1,2.1,1,2.1,1131,55,4.9,51,4.5,12,1.1,264,23.3,194,17.2,14,1.2,55,4.9,11,1,255,22.5,861,76.1,7,14.9,38,80.9
"043910",3197,100,284,8.9,321,10,6,0.2,588,18.4,53439,6201,11.6,5654,10.6,492,0.9,8509,15.9,9200,17.2,218,0.4,6447,12.1,10238,19.2,6472,12.1,28129,52.6,270,8.4,1998,62.5
"043911",162,100,2,1.2,37,22.8,1,0.6,0,0,2658,265,10,105,4,53,1.8,1163,43.8,767,28.9,26,1,273,10.3,15,0.6,914,34.4,1745,65.7,21,13,122,75.3
"043912",105,100,4,3.8,10,9.5,0,0,2,1.9,2665,278,10.4,181,6.8,13,0.5,372,14,427,16,12,0.5,187,7,49,1.8,494,18.5,1996,74.9,11,10.5,89,84.8
"043914",470,100,57,12.1,64,13.6,7,1.5,16,3.4,10690,841,7.9,1479,13.8,113,1.1,2700,25.3,2063,19.3,99,0.9,869,8.1,701,6.6,3686,34.5,6348,59.4,49,10.4,326,69.4
"043917",57,100,0,0,4,7,1,1.8,0,0,643,23,3.6,14,2.2,13,1.8,204,31.7,73,11.4,10,1.6,23,3.6,0,0,142,22.1,546,84.9,7,12.3,52,91.2
"043918",96,100,2,2.1,7,7.3,2,2.1,0,0,1583,66,4.2,50,3.2,23,1.4,466,29.4,258,16.3,11,0.7,65,4.1,11,0.7,559,35.3,1253,79.2,17,17.7,85,88.5
"043919",0,.,0,.,0,.,0,.,0,.,2490,15,0.6,63,2.5,7,0.3,41,1.6,139,5.6,18,0.7,15,0.6,99,4,259,10.4,2171,87.2,0,.,0,.
"044902",27,100,4,14.8,5,18.5,0,0,0,0,565,52,9.2,28,5,4,0.7,325,57.5,227,40.2,3,0.5,52,9.2,0,0,243,43,307,54.3,3,11.1,18,66.7
"044904",9,100,0,0,2,22.2,0,0,0,0,95,0,0,10,10.5,0,0,58,61.1,26,27.4,1,1.1,0,0,0,0,30,31.6,58,61.1,0,0,7,77.8
"045902",123,100,7,5.7,27,22,1,0.8,3,2.4,1528,106,6.9,255,16.7,41,2.6,729,47.7,401,26.2,2,0.1,111,7.3,16,1,586,38.4,854,55.9,16,13,85,69.1
"045903",77,100,19,24.7,22,28.6,0,0,0,0,1282,106,8.3,269,21,44,3.1,861,67.2,612,47.7,2,0.2,112,8.7,0,0,658,51.3,399,31.1,21,27.3,36,46.8
"045905",50,100,7,14,9,18,0,0,0,0,561,69,12.3,96,17.1,0,0,274,48.8,167,29.8,0,0,70,12.5,2,0.4,244,43.5,296,52.8,10,20,34,68
"046802",0,.,0,.,0,.,0,.,0,.,218,47,21.6,31,14.2,0,0,218,100,104,47.7,0,0,47,21.6,0,0,218,100,83,38.1,0,.,0,.
"046901",371,100,5,1.3,124,33.4,0,0,3,0.8,7315,501,6.8,163,2.2,107,1.4,2806,38.4,3107,42.5,14,0.2,543,7.4,69,0.9,2828,38.7,3962,54.2,27,7.3,239,64.4
"046902",935,100,19,2,202,21.6,7,0.7,10,1.1,15138,658,4.3,340,2.2,324,2.1,4910,32.4,4380,28.9,43,0.3,685,4.5,174,1.1,4569,30.2,10201,67.4,92,9.8,697,74.5
"047901",104,100,1,1,33,31.7,0,0,1,1,1252,115,9.2,6,0.5,11,0.7,744,59.4,570,45.5,6,0.5,118,9.4,5,0.4,436,34.8,665,53.1,10,9.6,69,66.3
"047902",34,100,0,0,14,41.2,0,0,0,0,678,22,3.2,1,0.1,16,2,391,57.7,211,31.1,4,0.6,22,3.2,0,0,274,40.4,462,68.1,2,5.9,20,58.8
"047903",12,100,0,0,6,50,0,0,0,0,210,63,30,0,0,0,0,162,77.1,122,58.1,1,0.5,63,30,0,0,118,56.2,87,41.4,2,16.7,6,50
"047905",14,100,0,0,1,7.1,1,7.1,0,0,131,2,1.5,0,0,0,0,93,71,21,16,1,0.8,2,1.5,0,0,53,40.5,109,83.2,2,14.3,12,85.7
"048901",19,100,0,0,8,42.1,0,0,0,0,283,9,3.2,7,2.5,7,2.2,153,54.1,126,44.5,0,0,9,3.2,0,0,112,39.6,150,53,1,5.3,11,57.9
"048903",14,100,0,0,5,35.7,0,0,0,0,155,3,1.9,0,0,7,3.8,75,48.4,62,40,0,0,4,2.6,0,0,61,39.4,93,60,2,14.3,9,64.3
"049901",155,100,11,7.1,34,21.9,0,0,1,0.6,2804,499,17.8,266,9.5,60,1.8,1809,64.5,1182,42.2,15,0.5,508,18.1,25,0.9,1537,54.8,1316,46.9,23,14.8,109,70.3
"049902",34,100,0,0,2,5.9,0,0,0,0,526,3,0.6,0,0,1,0.2,82,15.6,24,4.6,5,1,3,0.6,2,0.4,133,25.3,495,94.1,5,14.7,32,94.1
"049903",32,100,1,3.1,4,12.5,0,0,0,0,682,31,4.5,0,0,8,1.1,214,31.4,80,11.7,5,0.7,31,4.5,8,1.2,243,35.6,589,86.4,5,15.6,27,84.4
"049905",72,100,0,0,3,4.2,2,2.8,2,2.8,1115,30,2.7,9,0.8,26,2.2,476,42.7,78,7,23,2.1,30,2.7,2,0.2,313,28.1,1003,90,5,6.9,65,90.3
"049906",35,100,0,0,1,2.9,0,0,0,0,419,5,1.2,1,0.2,1,0.2,100,23.9,33,7.9,0,0,5,1.2,2,0.5,115,27.4,383,91.4,3,8.6,34,97.1
"049907",48,100,0,0,2,4.2,0,0,2,4.2,525,0,0,0,0,0,0,25,4.8,9,1.7,0,0,0,0,8,1.5,72,13.7,508,96.8,4,8.3,44,91.7
"049908",0,.,0,.,0,.,0,.,0,.,52,0,0,0,0,0,0,40,76.9,6,11.5,0,0,0,0,0,0,22,42.3,46,88.5,0,.,0,.
"049909",0,.,0,.,0,.,0,.,0,.,73,3,4.1,0,0,1,1.4,37,50.7,14,19.2,0,0,3,4.1,0,0,21,28.8,59,80.8,0,.,0,.
"050901",35,100,0,0,2,5.7,1,2.9,0,0,298,19,6.4,2,0.7,2,0.6,147,49.3,52,17.4,3,1,21,7,0,0,90,30.2,241,80.9,4,11.4,32,91.4
"050902",184,100,10,5.4,22,12,1,0.5,4,2.2,2732,66,2.4,112,4.1,60,2,1106,40.5,410,15,7,0.3,78,2.9,21,0.8,822,30.1,2182,79.9,34,18.5,147,79.9
"050904",14,100,0,0,3,21.4,0,0,0,0,160,3,1.9,4,2.5,2,1,82,51.3,35,21.9,0,0,3,1.9,0,0,70,43.8,121,75.6,4,28.6,11,78.6
"050909",17,100,0,0,1,5.9,0,0,0,0,150,2,1.3,0,0,0,0,66,44,13,8.7,0,0,2,1.3,0,0,37,24.7,137,91.3,1,5.9,16,94.1
"050910",410,100,96,23.4,60,14.6,7,1.7,11,2.7,7871,104,1.3,2024,25.7,152,1.7,3353,42.6,1129,14.3,67,0.9,132,1.7,250,3.2,3811,48.4,4401,55.9,53,12.9,236,57.6
"051901",22,100,3,13.6,4,18.2,0,0,0,0,245,2,0.8,46,18.8,10,3.5,153,62.4,72,29.4,1,0.4,2,0.8,0,0,127,51.8,126,51.4,4,18.2,15,68.2
"052901",56,100,0,0,32,57.1,0,0,0,0,980,111,11.3,30,3.1,4,0.4,388,39.6,627,64,2,0.2,114,11.6,3,0.3,524,53.5,318,32.4,7,12.5,24,42.9
"053001",58,100,0,0,29,50,0,0,1,1.7,770,114,14.8,7,0.9,6,0.7,385,50,559,72.6,0,0,118,15.3,3,0.4,368,47.8,201,26.1,4,6.9,28,48.3
"054901",26,100,1,3.8,20,76.9,0,0,0,0,406,15,3.7,14,3.4,11,2.2,295,72.7,284,70,2,0.5,15,3.7,0,0,220,54.2,106,26.1,8,30.8,5,19.2
"054902",26,100,2,7.7,16,61.5,0,0,0,0,312,43,13.8,15,4.8,3,0.8,261,83.7,236,75.6,0,0,43,13.8,0,0,125,40.1,61,19.6,7,26.9,8,30.8
"054903",33,100,1,3,18,54.5,0,0,0,0,532,9,1.7,10,1.9,4,0.7,413,77.6,394,74.1,0,0,9,1.7,1,0.2,256,48.1,127,23.9,6,18.2,14,42.4
"055901",38,100,0,0,30,78.9,0,0,1,2.6,552,45,8.2,1,0.2,11,1.8,436,79,455,82.4,1,0.2,55,10,9,1.6,280,50.7,86,15.6,4,10.5,7,18.4
"056901",101,100,1,1,31,30.7,0,0,2,2,1643,144,8.8,26,1.6,23,1.3,950,57.8,671,40.8,3,0.2,145,8.8,16,1,576,35.1,927,56.4,12,11.9,67,66.3
"056902",4,100,0,0,1,25,0,0,0,0,161,19,11.8,1,0.6,2,1.2,83,51.6,48,29.8,2,1.2,22,13.7,1,0.6,63,39.1,109,67.7,0,0,3,75
"057802",21,100,7,33.3,13,61.9,0,0,0,0,319,79,24.8,86,27,0,0,239,74.9,221,69.3,0,0,101,31.7,1,0.3,248,77.7,11,3.4,8,38.1,1,4.8
"057803",74,100,10,13.5,8,10.8,1,1.4,31,41.9,1614,44,2.7,126,7.8,0,0,221,13.7,377,23.4,10,0.6,118,7.3,579,35.9,414,25.7,522,32.3,4,5.4,24,32.4
"057804",450,100,225,50,203,45.1,0,0,3,0.7,1825,306,16.8,881,48.3,0,0,1282,70.2,868,47.6,6,0.3,386,21.2,7,0.4,1816,99.5,63,3.5,78,17.3,19,4.2
"057805",0,.,0,.,0,.,0,.,0,.,177,86,48.6,10,5.6,0,0,106,59.9,128,72.3,0,0,91,51.4,5,2.8,92,52,34,19.2,0,.,0,.
"057806",21,100,1,4.8,2,9.5,0,0,0,0,1448,56,3.9,210,14.5,0,0,809,55.9,592,40.9,13,0.9,112,7.7,42,2.9,745,51.5,591,40.8,1,4.8,18,85.7
"057807",64,100,32,50,20,31.3,0,0,3,4.7,2829,158,5.6,1398,49.4,0,0,1183,41.8,615,21.7,5,0.2,161,5.7,37,1.3,689,24.4,774,27.4,8,12.5,9,14.1
"057808",8,100,7,87.5,0,0,0,0,1,12.5,1301,132,10.1,658,50.6,0,0,674,51.8,247,19,6,0.5,145,11.1,305,23.4,173,13.3,85,6.5,1,12.5,0,0
"057809",0,.,0,.,0,.,0,.,0,.,156,54,34.6,54,34.6,0,0,131,84,102,65.4,0,0,61,39.1,0,0,71,45.5,0,0,0,.,0,.
"057810",0,.,0,.,0,.,0,.,0,.,510,11,2.2,417,81.8,0,0,480,94.1,91,17.8,2,0.4,13,2.5,0,0,343,67.3,0,0,0,.,0,.
"057811",0,.,0,.,0,.,0,.,0,.,294,0,0,290,98.6,0,0,283,96.3,4,1.4,0,0,0,0,0,0,283,96.3,0,0,0,.,0,.
"057813",0,.,0,.,0,.,0,.,0,.,526,158,30,37,7,0,0,463,88,484,92,0,0,196,37.3,0,0,210,39.9,5,1,0,.,0,.
"057814",0,.,0,.,0,.,0,.,0,.,657,31,4.7,299,45.5,0,0,657,100,282,42.9,3,0.5,31,4.7,3,0.5,656,99.8,70,10.7,0,.,0,.
"057815",41,100,35,85.4,6,14.6,0,0,0,0,1233,326,26.4,744,60.3,0,0,1227,99.5,482,39.1,0,0,357,29,2,0.2,913,74,5,0.4,8,19.5,0,0
"057816",0,.,0,.,0,.,0,.,0,.,1170,9,0.8,1146,97.9,0,0,983,84,22,1.9,0,0,0,0,2,0.2,843,72.1,0,0,0,.,0,.
"057817",0,.,0,.,0,.,0,.,0,.,325,0,0,257,79.1,0,0,281,86.5,65,20,2,0.6,0,0,0,0,323,99.4,1,0.3,0,.,0,.
"057818",12,100,10,83.3,2,16.7,0,0,0,0,68,0,0,65,95.6,0,0,56,82.4,3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"057819",1,100,0,0,0,0,0,0,0,0,91,0,0,31,34.1,0,0,67,73.6,47,51.6,0,0,0,0,1,1.1,58,63.7,12,13.2,1,100,1,100
