DISTRICT,DA0GR07N,DA0GR07P,DB0GR07N,DB0GR07P,DH0GR07N,DH0GR07P,DI0GR07N,DI0GR07P,DP0GR07N,DP0GR07P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETWHIC,DPETWHIP,DS0GR07N,DS0GR07P,DW0GR07N,DW0GR07P
"010901",22,100,0,0,6,27.3,0,0,0,0,359,13,3.6,9,2.5,7,1.8,175,48.7,66,18.4,3,0.8,13,3.6,0,0,144,40.1,281,78.3,4,18.2,16,72.7
"010902",172,100,0,0,37,21.5,6,3.5,1,0.6,2526,97,3.8,12,0.5,52,1.9,1184,46.9,590,23.4,16,0.6,98,3.9,9,0.4,1052,41.6,1899,75.2,21,12.2,128,74.4
"011901",408,100,33,8.1,113,27.7,2,0.5,1,0.2,8521,951,11.2,815,9.6,310,3.4,4779,56.1,3517,41.3,47,0.6,1156,13.6,51,0.6,4509,52.9,4091,48,45,11,259,63.5
"011902",172,100,23,13.4,53,30.8,0,0,3,1.7,3703,652,17.6,557,15,173,4.3,2310,62.4,1821,49.2,12,0.3,670,18.1,23,0.6,2060,55.6,1290,34.8,15,8.7,93,54.1
"011904",99,100,1,1,12,12.1,0,0,0,0,1697,68,4,168,9.9,37,1.9,794,46.8,359,21.2,6,0.4,71,4.2,13,0.8,561,33.1,1151,67.8,10,10.1,86,86.9
"011905",0,.,0,.,0,.,0,.,0,.,189,33,17.5,3,1.6,0,0,115,60.8,64,33.9,0,0,33,17.5,0,0,120,63.5,122,64.6,0,.,0,.
"012901",51,100,2,3.9,6,11.8,0,0,0,0,580,4,0.7,19,3.3,7,1,264,45.5,93,16,4,0.7,4,0.7,3,0.5,184,31.7,461,79.5,2,3.9,43,84.3
"013801",0,.,0,.,0,.,0,.,0,.,299,0,0,7,2.3,0,0,232,77.6,226,75.6,0,0,0,0,5,1.7,143,47.8,61,20.4,0,.,0,.
"013901",207,100,6,2.9,130,62.8,2,1,4,1.9,3555,68,1.9,92,2.6,90,2.3,2455,69.1,2768,77.9,7,0.2,65,1.8,22,0.6,1780,50.1,666,18.7,17,8.2,65,31.4
"013902",0,.,0,.,0,.,0,.,0,.,139,5,3.6,4,2.9,0,0,92,66.2,76,54.7,0,0,6,4.3,0,0,64,46,59,42.4,0,.,0,.
"013903",20,100,0,0,6,30,0,0,0,0,415,3,0.7,2,0.5,6,1.3,277,66.7,243,58.6,1,0.2,7,1.7,0,0,202,48.7,169,40.7,3,15,14,70
"013905",61,100,3,4.9,33,54.1,0,0,0,0,758,23,3,18,2.4,10,1.2,457,60.3,455,60,5,0.7,26,3.4,0,0,389,51.3,280,36.9,6,9.8,25,41
"014801",57,100,21,36.8,11,19.3,2,3.5,1,1.8,161,0,0,70,43.5,0,0,76,47.2,45,28,1,0.6,0,0,5,3.1,141,87.6,40,24.8,3,5.3,22,38.6
"014802",30,100,17,56.7,6,20,0,0,0,0,59,0,0,26,44.1,0,0,39,66.1,10,16.9,1,1.7,0,0,1,1.7,59,100,21,35.6,5,16.7,7,23.3
"014803",3,100,3,100,0,0,0,0,0,0,142,3,2.1,50,35.2,0,0,99,69.7,35,24.6,0,0,3,2.1,0,0,109,76.8,57,40.1,0,0,0,0
"014804",0,.,0,.,0,.,0,.,0,.,66,0,0,12,18.2,0,0,66,100,14,21.2,0,0,0,0,0,0,66,100,40,60.6,0,.,0,.
"014901",71,100,0,0,6,8.5,0,0,0,0,1032,13,1.3,14,1.4,21,1.9,284,27.5,177,17.2,7,0.7,13,1.3,2,0.2,396,38.4,832,80.6,19,26.8,65,91.5
"014902",30,100,3,10,14,46.7,0,0,0,0,397,38,9.6,52,13.1,12,2.7,291,73.3,218,54.9,1,0.3,37,9.3,1,0.3,176,44.3,125,31.5,4,13.3,13,43.3
"014903",436,100,20,4.6,112,25.7,7,1.6,5,1.1,8292,582,7,587,7.1,138,1.6,3593,43.3,2402,29,97,1.2,618,7.5,102,1.2,3419,41.2,5104,61.6,73,16.7,292,67
"014905",30,100,1,3.3,6,20,0,0,0,0,571,18,3.2,34,6,5,0.8,279,48.9,150,26.3,1,0.2,18,3.2,3,0.5,152,26.6,383,67.1,5,16.7,23,76.7
"014906",1480,100,586,39.6,272,18.4,7,0.5,87,5.9,38117,1895,5,14642,38.4,1294,3.1,18595,48.8,7795,20.5,269,0.7,2752,7.2,1489,3.9,17360,45.5,13922,36.5,192,13,528,35.7
"014907",62,100,2,3.2,10,16.1,0,0,0,0,838,37,4.4,26,3.1,19,2.1,369,44,168,20,0,0,37,4.4,1,0.1,236,28.2,643,76.7,10,16.1,50,80.6
"014908",110,100,1,0.9,15,13.6,1,0.9,1,0.9,1230,65,5.3,9,0.7,22,1.7,305,24.8,214,17.4,13,1.1,67,5.4,15,1.2,332,27,979,79.6,14,12.7,92,83.6
"014909",477,100,132,27.7,125,26.2,1,0.2,6,1.3,8507,580,6.8,2482,29.2,435,4.7,5435,63.9,2894,34,34,0.4,620,7.3,136,1.6,4275,50.3,2961,34.8,78,16.4,213,44.7
"014910",100,100,1,1,17,17,0,0,1,1,1283,22,1.7,32,2.5,19,1.4,507,39.5,276,21.5,11,0.9,24,1.9,6,0.5,390,30.4,958,74.7,19,19,81,81
"015801",41,100,1,2.4,30,73.2,0,0,0,0,372,2,0.5,13,3.5,0,0,282,75.8,343,92.2,0,0,2,0.5,0,0,315,84.7,16,4.3,3,7.3,10,24.4
"015802",72,100,32,44.4,28,38.9,0,0,2,2.8,575,16,2.8,233,40.5,0,0,548,95.3,279,48.5,0,0,16,2.8,5,0.9,538,93.6,58,10.1,10,13.9,10,13.9
"015803",8,100,0,0,8,100,0,0,0,0,498,31,6.2,54,10.8,0,0,495,99.4,411,82.5,2,0.4,42,8.4,1,0.2,498,100,30,6,0,0,0,0
"015805",0,.,0,.,0,.,0,.,0,.,583,59,10.1,9,1.5,0,0,526,90.2,546,93.7,1,0.2,61,10.5,0,0,394,67.6,27,4.6,0,.,0,.
"015806",43,100,19,44.2,18,41.9,1,2.3,1,2.3,2658,103,3.9,1135,42.7,0,0,2091,78.7,1304,49.1,8,0.3,108,4.1,11,0.4,1511,56.8,200,7.5,10,23.3,4,9.3
"015807",153,100,35,22.9,91,59.5,0,0,2,1.3,920,10,1.1,205,22.3,65,2.6,530,57.6,563,61.2,5,0.5,14,1.5,7,0.8,861,93.6,140,15.2,9,5.9,25,16.3
"015808",12,100,1,8.3,4,33.3,0,0,0,0,257,22,8.6,60,23.3,0,0,257,100,128,49.8,1,0.4,22,8.6,0,0,257,100,68,26.5,6,50,7,58.3
"015809",0,.,0,.,0,.,0,.,0,.,504,59,11.7,42,8.3,0,0,484,96,452,89.7,0,0,66,13.1,3,0.6,201,39.9,7,1.4,0,.,0,.
"015811",0,.,0,.,0,.,0,.,0,.,149,72,48.3,0,0,0,0,124,83.2,149,100,0,0,74,49.7,0,0,90,60.4,0,0,0,.,0,.
"015812",26,100,2,7.7,24,92.3,0,0,0,0,118,0,0,1,0.8,0,0,78,66.1,110,93.2,0,0,0,0,0,0,115,97.5,7,5.9,8,30.8,0,0
"015813",0,.,0,.,0,.,0,.,0,.,7,0,0,3,42.9,0,0,1,14.3,4,57.1,0,0,0,0,0,0,1,14.3,0,0,0,.,0,.
"015814",13,100,1,7.7,10,76.9,0,0,0,0,161,0,0,7,4.3,0,0,100,62.1,145,90.1,0,0,0,0,0,0,148,91.9,9,5.6,2,15.4,2,15.4
"015815",17,100,2,11.8,12,70.6,0,0,0,0,632,30,4.7,92,14.6,0,0,479,75.8,445,70.4,1,0.2,35,5.5,5,0.8,510,80.7,89,14.1,2,11.8,3,17.6
"015816",3,100,1,33.3,2,66.7,0,0,0,0,161,7,4.3,4,2.5,0,0,109,67.7,142,88.2,0,0,7,4.3,0,0,161,100,15,9.3,1,33.3,0,0
"015817",88,100,1,1.1,84,95.5,0,0,0,0,399,13,3.3,4,1,0,0,307,76.9,377,94.5,0,0,16,4,0,0,390,97.7,18,4.5,28,31.8,3,3.4
"015819",22,100,13,59.1,1,4.5,1,4.5,0,0,945,43,4.6,405,42.9,0,0,616,65.2,270,28.6,2,0.2,44,4.7,9,1,747,79,259,27.4,1,4.5,7,31.8
"015820",17,100,0,0,11,64.7,0,0,0,0,275,0,0,8,2.9,0,0,255,92.7,230,83.6,0,0,0,0,1,0.4,266,96.7,36,13.1,0,0,6,35.3
"015822",23,100,3,13,14,60.9,0,0,0,0,535,27,5,47,8.8,1,0.2,402,75.1,431,80.6,0,0,27,5,0,0,307,57.4,57,10.7,5,21.7,6,26.1
"015823",25,100,2,8,22,88,0,0,0,0,89,0,0,0,0,0,0,76,85.4,87,97.8,0,0,0,0,0,0,88,98.9,2,2.2,3,12,1,4
"015824",0,.,0,.,0,.,0,.,0,.,284,12,4.2,42,14.8,0,0,126,44.4,177,62.3,0,0,12,4.2,3,1.1,26,9.2,62,21.8,0,.,0,.
"015825",0,.,0,.,0,.,0,.,0,.,127,4,3.1,10,7.9,0,0,108,85,103,81.1,0,0,3,2.4,0,0,38,29.9,14,11,0,.,0,.
"015826",0,.,0,.,0,.,0,.,0,.,353,71,20.1,3,0.8,0,0,353,100,345,97.7,0,0,78,22.1,0,0,79,22.4,5,1.4,0,.,0,.
"015827",0,.,0,.,0,.,0,.,0,.,405,1,0.2,35,8.6,0,0,127,31.4,209,51.6,2,0.5,1,0.2,33,8.1,32,7.9,126,31.1,0,.,0,.
"015828",0,.,0,.,0,.,0,.,0,.,371,14,3.8,20,5.4,0,0,183,49.3,258,69.5,0,0,14,3.8,27,7.3,31,8.4,66,17.8,0,.,0,.
"015830",0,.,0,.,0,.,0,.,0,.,451,6,1.3,20,4.4,0,0,231,51.2,361,80,2,0.4,16,3.5,5,1.1,95,21.1,63,14,0,.,0,.
"015901",305,100,5,1.6,64,21,1,0.3,2,0.7,4572,226,4.9,81,1.8,95,2,869,19,1496,32.7,10,0.2,246,5.4,95,2.1,961,21,2890,63.2,18,5.9,233,76.4
