CAMPUS,CPETECOP,CPETECOC,CPETBILC,CPETALLC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETBILP
187901001,51.6,195,0,378,80,0,2,6,290,76.7,0.5,1.6,21.2,0,0
187903001,61.7,79,0,128,1,0,49,15,63,49.2,38.3,11.7,0.8,0,0
187903101,61.6,114,26,185,2,2,57,36,88,47.6,30.8,19.5,1.1,1.1,14.1
187904001,50.4,170,9,337,0,1,126,57,153,45.4,37.4,16.9,0,0.3,2.7
187904041,67.7,128,11,189,0,0,46,48,95,50.3,24.3,25.4,0,0,5.8
187904103,69.4,238,42,343,0,0,90,96,157,45.8,26.2,28,0,0,12.2
187904104,63.2,206,61,326,1,0,89,98,138,42.3,27.3,30.1,0.3,0,18.7
187906001,43.6,44,2,101,0,0,21,10,70,69.3,20.8,9.9,0,0,2
187906101,70.8,80,6,113,2,0,31,16,64,56.6,27.4,14.2,1.8,0,5.3
187907002,22.4,254,16,1134,3,5,145,55,926,81.7,12.8,4.9,0.3,0.4,1.4
187907041,35.5,211,11,594,7,1,72,42,472,79.5,12.1,7.1,1.2,0.2,1.9
187907101,44.5,272,10,611,6,2,81,53,469,76.8,13.3,8.7,1,0.3,1.6
187907102,50,304,34,608,6,1,84,58,459,75.5,13.8,9.5,1,0.2,5.6
187907103,57.1,521,42,913,9,2,122,78,702,76.9,13.4,8.5,1,0.2,4.6
187910041,36.3,61,0,168,0,2,7,2,157,93.5,4.2,1.2,0,1.2,0
187910101,59.1,191,0,323,2,3,10,10,298,92.3,3.1,3.1,0.6,0.9,0
188901001,2.1,47,0,2228,2,32,93,121,1980,88.9,4.2,5.4,0.1,1.4,0
188901002,11.2,184,72,1646,7,9,30,806,794,48.2,1.8,49,0.4,0.5,4.4
188901003,0,0,0,4,0,0,0,0,4,100,0,0,0,0,0
188901004,16.6,274,119,1654,2,213,350,517,572,34.6,21.2,31.3,0.1,12.9,7.2
188901005,7.2,141,0,1968,16,11,157,252,1532,77.8,8,12.8,0.8,0.6,0
188901041,8.4,67,2,801,2,5,46,143,605,75.5,5.7,17.9,0.2,0.6,0.2
188901042,20.8,219,80,1055,4,7,25,658,361,34.2,2.4,62.4,0.4,0.7,7.6
188901043,3.4,25,0,737,0,6,30,54,647,87.8,4.1,7.3,0,0.8,0
188901044,11.2,73,0,649,2,3,15,119,510,78.6,2.3,18.3,0.3,0.5,0
188901045,16.9,166,0,985,6,11,157,161,650,66,15.9,16.3,0.6,1.1,0
188901046,25.1,157,5,625,4,13,185,212,211,33.8,29.6,33.9,0.6,2.1,0.8
188901047,22.8,209,117,915,1,150,121,369,274,29.9,13.2,40.3,0.1,16.4,12.8
188901048,1.6,15,0,916,1,19,31,57,808,88.2,3.4,6.2,0.1,2.1,0
188901101,8.9,45,0,505,1,5,22,88,389,77,4.4,17.4,0.2,1,0
188901102,1.1,4,1,357,0,5,6,20,326,91.3,1.7,5.6,0,1.4,0.3
188901103,29.8,139,0,466,2,1,45,110,308,66.1,9.7,23.6,0.4,0.2,0
188901104,19.9,73,0,366,5,2,34,35,290,79.2,9.3,9.6,1.4,0.5,0
188901105,22.7,154,210,677,2,247,67,204,157,23.2,9.9,30.1,0.3,36.5,31
188901106,45,159,40,353,7,3,70,182,91,25.8,19.8,51.6,2,0.8,11.3
188901107,35.4,259,278,732,1,18,65,466,182,24.9,8.9,63.7,0.1,2.5,38
188901108,35.2,125,109,355,0,0,7,298,50,14.1,2,83.9,0,0,30.7
188901109,45.3,174,0,384,0,2,229,60,93,24.2,59.6,15.6,0,0.5,0
188901111,29.6,101,70,341,1,3,4,231,102,29.9,1.2,67.7,0.3,0.9,20.5
188901112,19.6,97,0,494,3,2,22,94,373,75.5,4.5,19,0.6,0.4,0
188901113,28.9,116,2,402,4,0,16,118,264,65.7,4,29.4,1,0,0.5
188901114,19.6,81,1,413,0,2,1,165,245,59.3,0.2,40,0,0.5,0.2
188901115,44.4,124,50,279,0,19,81,111,68,24.4,29,39.8,0,6.8,17.9
188901119,13.1,56,0,427,4,2,7,146,268,62.8,1.6,34.2,0.9,0.5,0
188901120,8.7,32,0,369,2,6,6,34,321,87,1.6,9.2,0.5,1.6,0
188901121,5.5,24,1,434,1,4,24,33,372,85.7,5.5,7.6,0.2,0.9,0.2
188901122,24.2,86,0,355,1,3,9,43,299,84.2,2.5,12.1,0.3,0.8,0
188901123,9.9,37,0,372,0,2,9,35,326,87.6,2.4,9.4,0,0.5,0
188901124,31.8,189,201,594,1,2,76,413,102,17.2,12.8,69.5,0.2,0.3,33.8
188901125,32.2,197,209,611,2,4,21,519,65,10.6,3.4,84.9,0.3,0.7,34.2
188901126,45.8,329,5,719,2,3,155,224,335,46.6,21.6,31.2,0.3,0.4,0.7
188901127,5.2,26,0,497,4,4,11,69,409,82.3,2.2,13.9,0.8,0.8,0
188901128,23.4,93,0,398,3,0,19,74,302,75.9,4.8,18.6,0.8,0,0
188901130,35.3,163,87,462,5,1,39,263,154,33.3,8.4,56.9,1.1,0.2,18.8
188901131,7.6,36,0,474,1,3,20,43,407,85.9,4.2,9.1,0.2,0.6,0
188901132,40.8,283,28,694,1,10,154,290,239,34.4,22.2,41.8,0.1,1.4,4
188901133,32.6,144,0,442,1,0,70,86,285,64.5,15.8,19.5,0.2,0,0
188901134,40.8,127,0,311,0,0,73,119,119,38.3,23.5,38.3,0,0,0
188901135,13,48,0,368,0,3,14,54,297,80.7,3.8,14.7,0,0.8,0
188901137,8.7,2,0,23,0,0,2,8,13,56.5,8.7,34.8,0,0,0
188901138,10.9,21,1,192,0,1,31,39,121,63,16.1,20.3,0,0.5,0.5
