CAMPUS,CPETECOP,CPETECOC,CPETBILC,CPETALLC,CPETINDC,CPETPACC,CPETBLAC,CPETHISC,CPETWHIC,CPETWHIP,CPETBLAP,CPETHISP,CPETINDP,CPETPACP,CPETBILP
4901102,71.8,384,61,535,0,37,18,181,299,55.9,3.4,33.8,0,6.9,11.4
4901103,63.2,232,19,367,1,10,6,133,217,59.1,1.6,36.2,0.3,2.7,5.2
5901001,19.7,62,0,315,0,0,2,2,311,98.7,0.6,0.6,0,0,0
5901101,28,75,0,268,0,0,0,5,263,98.1,0,1.9,0,0,0
5902001,9.6,26,0,271,0,0,1,13,257,94.8,0.4,4.8,0,0,0
5902041,4.2,10,2,236,0,0,1,11,224,94.9,0.4,4.7,0,0,0.8
5902101,25.7,113,5,440,1,0,1,17,421,95.7,0.2,3.9,0.2,0,1.1
5903001,51.2,21,0,41,0,3,0,2,36,87.8,0,4.9,0,7.3,0
5903101,90.3,28,0,31,0,0,0,3,28,90.3,0,9.7,0,0,0
5904001,20.3,32,9,158,0,0,2,7,149,94.3,1.3,4.4,0,0,5.7
5904101,29.2,63,18,216,0,0,0,32,184,85.2,0,14.8,0,0,8.3
6902001,20.3,49,0,241,0,3,1,7,230,95.4,0.4,2.9,0,1.2,0
6902101,35,62,0,177,0,0,0,7,170,96,0,4,0,0,0
7901001,64.1,98,4,153,0,0,0,127,26,17,0,83,0,0,2.6
7901041,82.8,96,6,116,0,0,0,105,11,9.5,0,90.5,0,0,5.2
7901101,74.9,179,15,239,0,0,0,195,44,18.4,0,81.6,0,0,6.3
7902001,43.3,138,4,319,0,1,2,154,162,50.8,0.6,48.3,0,0.3,1.3
7902002,0,0,0,5,0,0,0,4,1,20,0,80,0,0,0
7902041,58.4,167,8,286,0,1,0,147,138,48.3,0,51.4,0,0.3,2.8
7902101,65.4,388,39,593,2,1,2,334,254,42.8,0.3,56.3,0.3,0.2,6.6
7904001,52.9,173,11,327,0,1,1,204,121,37,0.3,62.4,0,0.3,3.4
7904041,58.2,226,35,388,0,0,0,241,147,37.9,0,62.1,0,0,9
7904101,67.8,332,74,490,0,0,1,338,151,30.8,0.2,69,0,0,15.1
7905001,40.7,413,23,1015,2,6,11,527,469,46.2,1.1,51.9,0.2,0.6,2.3
7905003,75,9,0,12,0,0,0,11,1,8.3,0,91.7,0,0,0
7905041,56.1,444,22,791,1,0,6,453,331,41.8,0.8,57.3,0.1,0,2.8
7905101,83.3,20,0,24,0,0,0,18,6,25,0,75,0,0,0
7905102,78.9,135,18,171,0,0,0,121,50,29.2,0,70.8,0,0,10.5
7905103,58.5,457,28,781,0,1,4,444,332,42.5,0.5,56.9,0,0.1,3.6
7905104,62,392,22,632,0,1,6,360,265,41.9,0.9,57,0,0.2,3.5
7906001,52.7,240,0,455,0,0,0,365,90,19.8,0,80.2,0,0,0
7906002,52.2,12,0,23,0,0,0,21,2,8.7,0,91.3,0,0,0
7906041,73.2,259,1,354,0,0,0,281,73,20.6,0,79.4,0,0,0.3
7906101,78.8,601,50,763,2,0,0,621,140,18.3,0,81.4,0.3,0,6.6
8901001,9.6,54,3,562,0,1,55,42,464,82.6,9.8,7.5,0,0.2,0.5
8901041,23,125,9,544,0,1,76,51,416,76.5,14,9.4,0,0.2,1.7
8901101,33.2,169,42,509,1,1,97,82,328,64.4,19.1,16.1,0.2,0.2,8.3
8901102,32,82,3,256,1,0,38,27,190,74.2,14.8,10.5,0.4,0,1.2
8901105,26.6,47,8,177,0,0,21,16,140,79.1,11.9,9,0,0,4.5
8902001,20.4,127,19,622,0,0,92,117,413,66.4,14.8,18.8,0,0,3.1
8902041,32.6,111,8,341,0,1,50,86,204,59.8,14.7,25.2,0,0.3,2.3
8902102,49.2,348,71,708,0,2,108,211,387,54.7,15.3,29.8,0,0.3,10
8902103,44.1,218,18,494,0,1,71,130,292,59.1,14.4,26.3,0,0.2,3.6
8903001,34.8,92,4,264,1,0,33,64,166,62.9,12.5,24.2,0.4,0,1.5
8903041,35.6,80,3,225,2,0,34,51,138,61.3,15.1,22.7,0.9,0,1.3
8903101,60.2,127,4,211,0,0,63,49,99,46.9,29.9,23.2,0,0,1.9
8903102,34.8,71,4,204,0,0,7,62,135,66.2,3.4,30.4,0,0,2
9901001,38.4,142,10,370,0,2,10,184,174,47,2.7,49.7,0,0.5,2.7
9901041,55.9,208,23,372,0,1,7,201,163,43.8,1.9,54,0,0.3,6.2
9901101,64.7,240,43,371,0,1,8,216,146,39.4,2.2,58.2,0,0.3,11.6
9901103,75.6,291,67,385,0,0,8,255,122,31.7,2.1,66.2,0,0,17.4
9903001,62.8,71,2,113,0,0,0,58,55,48.7,0,51.3,0,0,1.8
10901001,48.8,176,3,361,0,0,2,41,318,88.1,0.6,11.4,0,0,0.8
10902001,17.2,92,2,535,1,0,1,86,447,83.6,0.2,16.1,0.2,0,0.4
10902041,33.7,174,2,517,1,0,2,97,417,80.7,0.4,18.8,0.2,0,0.4
10902101,48.5,311,24,641,1,0,2,123,515,80.3,0.3,19.2,0.2,0,3.7
10902102,30.4,124,0,408,0,0,1,36,371,90.9,0.2,8.8,0,0,0
11901001,30.7,401,26,1305,6,5,111,297,886,67.9,8.5,22.8,0.5,0.4,2
11901022,29.3,22,0,75,2,0,8,13,52,69.3,10.7,17.3,2.7,0,0
11901033,45.2,14,0,31,0,0,6,8,17,54.8,19.4,25.8,0,0,0
11901038,77.4,24,0,31,0,0,10,4,17,54.8,32.3,12.9,0,0,0
11901041,41.3,356,17,861,7,2,85,214,553,64.2,9.9,24.9,0.8,0.2,2
11901101,45.8,356,10,778,3,4,65,132,574,73.8,8.4,17,0.4,0.5,1.3
11901102,47.9,292,20,610,16,4,138,114,338,55.4,22.6,18.7,2.6,0.7,3.3
11901103,55.5,439,85,791,7,1,28,296,459,58,3.5,37.4,0.9,0.1,10.7
11901104,48.8,418,37,856,1,6,86,226,537,62.7,10,26.4,0.1,0.7,4.3
11902001,38,261,23,686,3,3,108,216,356,51.9,15.7,31.5,0.4,0.4,3.4
11902002,75.9,22,0,29,0,0,7,8,14,48.3,24.1,27.6,0,0,0
11902041,48.3,281,38,582,0,3,101,198,280,48.1,17.4,34,0,0.5,6.5
11902101,53,214,36,404,0,3,53,135,213,52.7,13.1,33.4,0,0.7,8.9
11902102,62.5,531,159,850,4,6,141,354,345,40.6,16.6,41.6,0.5,0.7,18.7
11904002,24.6,103,5,418,2,1,48,53,314,75.1,11.5,12.7,0.5,0.2,1.2
11904038,89.5,17,0,19,0,0,4,7,8,42.1,21.1,36.8,0,0,0
11904039,0,0,0,23,0,0,6,4,13,56.5,26.1,17.4,0,0,0
11904041,38,92,9,242,1,1,36,42,162,66.9,14.9,17.4,0.4,0.4,3.7
11904101,51,254,19,498,0,0,65,104,329,66.1,13.1,20.9,0,0,3.8
11904102,61.8,262,33,424,0,1,57,80,286,67.5,13.4,18.9,0,0.2,7.8
11905101,44.2,61,19,138,0,1,6,35,96,69.6,4.3,25.4,0,0.7,13.8
12901001,40.5,140,2,346,0,2,21,56,267,77.2,6.1,16.2,0,0.6,0.6
12901101,60,276,0,460,1,0,37,75,347,75.4,8,16.3,0.2,0,0
13901001,45,553,5,1229,2,10,36,795,386,31.4,2.9,64.7,0.2,0.8,0.4
13901002,84.6,33,0,39,0,0,1,29,9,23.1,2.6,74.4,0,0,0
13901041,59.5,449,8,754,0,4,24,506,220,29.2,3.2,67.1,0,0.5,1.1
13901101,73.3,324,6,442,1,1,16,317,107,24.2,3.6,71.7,0.2,0.2,1.4
13901102,74.4,340,9,457,1,3,17,296,140,30.6,3.7,64.8,0.2,0.7,2
13901104,71.8,268,10,373,0,2,12,288,71,19,3.2,77.2,0,0.5,2.7
13901105,83.5,304,9,364,0,1,22,267,74,20.3,6,73.4,0,0.3,2.5
13901106,69.9,452,8,647,0,3,23,434,187,28.9,3.6,67.1,0,0.5,1.2
13902101,55.1,65,8,118,0,0,2,74,42,35.6,1.7,62.7,0,0,6.8
13903001,54.9,140,2,255,0,1,1,105,148,58,0.4,41.2,0,0.4,0.8
13903101,64.5,142,2,220,0,0,0,88,132,60,0,40,0,0,0.9
13905001,35.6,72,2,202,0,0,2,101,99,49,1,50,0,0,1
13905041,55.8,106,14,190,0,0,1,105,84,44.2,0.5,55.3,0,0,7.4
13905101,67.2,209,25,311,0,0,2,184,125,40.2,0.6,59.2,0,0,8
14901001,16.8,45,0,268,0,1,1,22,244,91,0.4,8.2,0,0.4,0
14901041,26.3,87,0,331,1,1,3,37,289,87.3,0.9,11.2,0.3,0.3,0
14901101,32,117,2,366,1,1,3,43,318,86.9,0.8,11.7,0.3,0.3,0.5
14902001,40.6,89,5,219,0,1,33,69,116,53,15.1,31.5,0,0.5,2.3
14902101,66.8,231,10,346,1,0,72,139,134,38.7,20.8,40.2,0.3,0,2.9
14903001,13,214,21,1651,4,13,74,257,1303,78.9,4.5,15.6,0.2,0.8,1.3
14903041,31.6,317,35,1003,2,7,49,210,735,73.3,4.9,20.9,0.2,0.7,3.5
14903102,11.6,39,0,337,5,1,2,17,312,92.6,0.6,5,1.5,0.3,0
14903103,74.6,296,0,397,5,0,56,108,228,57.4,14.1,27.2,1.3,0,0
14903104,80,348,51,435,2,2,52,152,227,52.2,12,34.9,0.5,0.5,11.7
14903107,75.6,390,85,516,4,1,31,236,244,47.3,6,45.7,0.8,0.2,16.5
14903108,21.5,110,0,512,3,0,5,46,458,89.5,1,9,0.6,0,0
14903109,51.1,183,0,358,1,1,3,48,305,85.2,0.8,13.4,0.3,0.3,0
14903110,42.9,415,36,967,7,7,53,204,696,72,5.5,21.1,0.7,0.7,3.7
14903300,0,0,0,4,0,0,1,1,2,50,25,25,0,0,0
14905001,43,68,0,158,0,1,10,26,121,76.6,6.3,16.5,0,0.6,0
14905041,60,75,0,125,0,2,9,14,100,80,7.2,11.2,0,1.6,0
14905101,58.8,107,0,182,1,1,14,31,135,74.2,7.7,17,0.5,0.5,0
14906001,19.9,394,17,1978,5,113,654,308,898,45.4,33.1,15.6,0.3,5.7,0.9
14906002,15.2,299,32,1967,8,164,713,330,752,38.2,36.2,16.8,0.4,8.3,1.6
14906004,51,26,0,51,0,3,25,9,14,27.5,49,17.6,0,5.9,0
14906006,100,173,0,173,1,12,86,35,39,22.5,49.7,20.2,0.6,6.9,0
14906009,80,28,0,35,0,0,26,6,3,8.6,74.3,17.1,0,0,0
14906011,27.4,242,14,884,4,50,300,124,406,45.9,33.9,14,0.5,5.7,1.6
14906012,29.8,263,5,882,7,42,358,157,318,36.1,40.6,17.8,0.8,4.8,0.6
14906021,0,0,0,15,0,0,1,3,11,73.3,6.7,20,0,0,0
14906022,0,0,0,8,0,0,1,0,7,87.5,12.5,0,0,0,0
14906041,56,488,0,871,5,38,387,144,297,34.1,44.4,16.5,0.6,4.4,0
14906042,39.3,303,40,771,2,47,193,135,394,51.1,25,17.5,0.3,6.1,5.2
14906043,46.2,440,4,953,3,53,402,148,347,36.4,42.2,15.5,0.3,5.6,0.4
14906044,41.2,385,0,934,7,64,405,142,316,33.8,43.4,15.2,0.7,6.9,0
14906045,57,439,40,770,4,38,306,146,276,35.8,39.7,19,0.5,4.9,5.2
14906046,32.7,309,0,945,4,30,176,100,635,67.2,18.6,10.6,0.4,3.2,0
14906048,38.8,274,0,707,4,44,307,127,225,31.8,43.4,18,0.6,6.2,0
14906102,44.5,196,2,440,7,14,142,47,230,52.3,32.3,10.7,1.6,3.2,0.5
14906103,80.8,420,63,520,1,23,220,123,153,29.4,42.3,23.7,0.2,4.4,12.1
14906104,68.6,266,0,388,1,13,126,59,189,48.7,32.5,15.2,0.3,3.4,0
14906105,67.3,510,1,758,6,23,194,104,431,56.9,25.6,13.7,0.8,3,0.1
14906106,57,243,0,426,1,18,220,47,140,32.9,51.6,11,0.2,4.2,0
14906107,34.9,22,0,63,0,2,24,18,19,30.2,38.1,28.6,0,3.2,0
14906108,47.5,373,1,786,3,23,282,96,382,48.6,35.9,12.2,0.4,2.9,0.1
14906109,66,450,0,682,5,25,304,95,253,37.1,44.6,13.9,0.7,3.7,0
14906110,62.4,378,0,606,2,29,242,95,238,39.3,39.9,15.7,0.3,4.8,0
14906111,49.3,341,0,691,1,29,308,99,254,36.8,44.6,14.3,0.1,4.2,0
14906112,86.3,591,0,685,2,18,353,93,219,32,51.5,13.6,0.3,2.6,0
14906113,52.8,368,2,697,3,36,313,91,254,36.4,44.9,13.1,0.4,5.2,0.3
14906114,79.2,294,1,371,2,7,202,64,96,25.9,54.4,17.3,0.5,1.9,0.3
14906115,35.5,283,0,798,6,15,87,90,600,75.2,10.9,11.3,0.8,1.9,0
14906116,79.2,594,1,750,5,27,372,83,263,35.1,49.6,11.1,0.7,3.6,0.1
14906117,68.5,664,0,970,8,36,383,140,403,41.5,39.5,14.4,0.8,3.7,0
14906119,47.9,394,5,823,4,24,400,109,286,34.8,48.6,13.2,0.5,2.9,0.6
14906120,59.5,531,102,892,1,38,299,219,335,37.6,33.5,24.6,0.1,4.3,11.4
14906121,46.8,368,123,787,2,11,103,204,467,59.3,13.1,25.9,0.3,1.4,15.6
14906122,68.9,599,1,869,5,29,283,150,402,46.3,32.6,17.3,0.6,3.3,0.1
14906123,69.6,461,12,662,8,24,249,76,305,46.1,37.6,11.5,1.2,3.6,1.8
14906124,31.3,271,0,865,3,57,325,148,332,38.4,37.6,17.1,0.3,6.6,0
14906125,50,295,1,590,6,23,276,88,197,33.4,46.8,14.9,1,3.9,0.2
14906126,77.8,645,20,829,3,29,348,137,312,37.6,42,16.5,0.4,3.5,2.4
14907001,22.3,54,0,242,1,0,7,25,209,86.4,2.9,10.3,0.4,0,0
14907041,34,68,0,200,1,0,3,39,157,78.5,1.5,19.5,0.5,0,0
14907102,44.4,178,10,401,0,1,12,63,325,81,3,15.7,0,0.2,2.5
14908001,11.7,41,0,350,1,2,1,34,312,89.1,0.3,9.7,0.3,0.6,0
14908101,28.1,105,8,374,0,2,6,45,321,85.8,1.6,12,0,0.5,2.1
14909002,27.8,604,17,2173,8,32,520,387,1226,56.4,23.9,17.8,0.4,1.5,0.8
14909041,55.1,327,1,593,3,2,192,157,239,40.3,32.4,26.5,0.5,0.3,0.2
14909042,53,416,24,785,2,8,221,210,344,43.8,28.2,26.8,0.3,1,3.1
14909043,3.4,1,0,29,0,0,7,11,11,37.9,24.1,37.9,0,0,0
14909044,26.4,173,0,656,1,13,123,72,447,68.1,18.8,11,0.2,2,0
14909101,52,180,0,346,1,4,139,76,126,36.4,40.2,22,0.3,1.2,0
14909102,17.1,66,0,386,2,2,37,38,307,79.5,9.6,9.8,0.5,0.5,0
14909104,69.2,173,103,250,3,2,23,146,76,30.4,9.2,58.4,1.2,0.8,41.2
14909105,68.3,177,1,259,0,0,177,48,34,13.1,68.3,18.5,0,0,0.4
14909106,68.8,86,0,125,1,0,31,50,43,34.4,24.8,40,0.8,0,0
14909107,45.7,251,0,549,0,2,111,120,316,57.6,20.2,21.9,0,0.4,0
14909108,89.2,149,1,167,3,1,40,81,42,25.1,24,48.5,1.8,0.6,0.6
14909109,28.9,106,0,367,1,10,74,61,221,60.2,20.2,16.6,0.3,2.7,0
14909110,33.8,120,0,355,2,2,32,60,259,73,9,16.9,0.6,0.6,0
14909111,47.1,287,0,609,2,5,150,91,361,59.3,24.6,14.9,0.3,0.8,0
14909113,87.6,92,0,105,0,1,54,23,27,25.7,51.4,21.9,0,1,0
14909114,36.3,175,0,482,1,10,133,76,262,54.4,27.6,15.8,0.2,2.1,0
14909115,37.2,226,0,608,4,8,233,87,276,45.4,38.3,14.3,0.7,1.3,0
14909200,0,0,0,8,0,0,2,1,5,62.5,25,12.5,0,0,0
14910001,15.4,52,0,338,1,0,6,47,284,84,1.8,13.9,0.3,0,0
14910041,25.8,50,0,194,0,3,4,35,152,78.4,2.1,18,0,1.5,0
14910101,37.2,175,8,471,0,1,6,108,356,75.6,1.3,22.9,0,0.2,1.7
14910102,25.1,48,0,191,1,2,2,37,149,78,1,19.4,0.5,1,0
15901001,13.5,171,17,1268,5,7,31,307,918,72.4,2.4,24.2,0.4,0.6,1.3
15901041,15.6,149,20,957,0,5,17,211,724,75.7,1.8,22,0,0.5,2.1
15901101,20.3,161,23,794,0,2,13,170,609,76.7,1.6,21.4,0,0.3,2.9
15901102,15.5,54,27,349,1,1,15,97,235,67.3,4.3,27.8,0.3,0.3,7.7
15901104,24.3,167,17,686,3,8,19,178,478,69.7,2.8,25.9,0.4,1.2,2.5
15904001,64.7,1194,129,1845,2,0,4,1776,63,3.4,0.2,96.3,0.1,0,7
15904002,49.4,776,75,1570,3,7,10,1354,196,12.5,0.6,86.2,0.2,0.4,4.8
15904003,78.2,68,0,87,0,0,2,73,12,13.8,2.3,83.9,0,0,0
15904004,54.3,44,0,81,0,0,0,74,7,8.6,0,91.4,0,0,0
15904006,0,0,0,6,0,0,0,6,0,0,0,100,0,0,0
15904041,82.4,792,56,961,1,0,3,899,58,6,0.3,93.5,0.1,0,5.8
15904042,80.8,643,137,796,2,0,0,784,10,1.3,0,98.5,0.3,0,17.2
15904043,83.3,720,57,864,2,1,3,759,99,11.5,0.3,87.8,0.2,0.1,6.6
15904044,74.6,548,40,735,0,7,7,604,117,15.9,1,82.2,0,1,5.4
15904101,88.8,435,111,490,0,0,0,460,30,6.1,0,93.9,0,0,22.7
15904102,78.7,465,68,591,0,0,5,500,86,14.6,0.8,84.6,0,0,11.5
15904103,92.6,439,112,474,0,0,0,459,15,3.2,0,96.8,0,0,23.6
15904104,96.1,544,168,566,0,0,0,555,11,1.9,0,98.1,0,0,29.7
15904105,91.9,442,166,481,0,0,0,472,9,1.9,0,98.1,0,0,34.5
15904106,95.2,746,123,784,0,0,8,748,28,3.6,1,95.4,0,0,15.7
15904107,91.6,500,99,546,0,1,1,496,48,8.8,0.2,90.8,0,0.2,18.1
15904108,78.6,508,57,646,0,3,1,547,95,14.7,0.2,84.7,0,0.5,8.8
15904109,88.1,446,126,506,0,0,1,477,28,5.5,0.2,94.3,0,0,24.9
15904110,91.4,446,83,488,0,1,0,453,34,7,0,92.8,0,0.2,17
15904111,86.7,346,47,399,1,2,3,322,71,17.8,0.8,80.7,0.3,0.5,11.8
15904112,96.9,310,134,320,0,0,0,320,0,0,0,100,0,0,41.9
15904113,91.4,500,114,547,2,0,0,522,23,4.2,0,95.4,0.4,0,20.8
15904114,88.4,367,67,415,0,0,0,386,29,7,0,93,0,0,16.1
15904115,91.4,32,8,35,0,0,3,23,9,25.7,8.6,65.7,0,0,22.9
15904116,90.8,536,128,590,0,1,11,551,27,4.6,1.9,93.4,0,0.2,21.7
15904216,62.5,15,0,24,0,0,0,22,2,8.3,0,91.7,0,0,0
15905001,88.3,544,239,616,1,0,14,598,3,0.5,2.3,97.1,0.2,0,38.8
15905002,77.9,1067,207,1370,3,1,24,1312,30,2.2,1.8,95.8,0.2,0.1,15.1
15905003,85.4,946,244,1108,0,0,27,1073,8,0.7,2.4,96.8,0,0,22
15905006,21.1,26,0,123,0,0,1,120,2,1.6,0.8,97.6,0,0,0
15905041,88.7,625,86,705,0,4,14,647,40,5.7,2,91.8,0,0.6,12.2
15905042,90.7,39,0,43,0,0,1,40,2,4.7,2.3,93,0,0,0
15905044,94.6,491,96,519,1,0,21,493,4,0.8,4,95,0.2,0,18.5
15905045,95.3,490,150,514,0,0,2,509,3,0.6,0.4,99,0,0,29.2
15905046,97.9,610,173,623,0,1,3,616,3,0.5,0.5,98.9,0,0.2,27.8
15905047,94.2,129,27,137,0,0,6,127,4,2.9,4.4,92.7,0,0,19.7
15905101,92.5,467,70,505,0,2,1,489,13,2.6,0.2,96.8,0,0.4,13.9
15905102,98.1,506,249,516,0,0,10,504,2,0.4,1.9,97.7,0,0,48.3
15905104,98.9,470,114,475,0,0,4,466,5,1.1,0.8,98.1,0,0,24
15905105,98.2,665,237,677,1,2,0,669,5,0.7,0,98.8,0.1,0.3,35
15905106,96.7,651,178,673,0,0,6,663,4,0.6,0.9,98.5,0,0,26.4
15905107,96.9,588,134,607,0,0,1,603,3,0.5,0.2,99.3,0,0,22.1
15905108,97.2,583,100,600,0,0,1,594,5,0.8,0.2,99,0,0,16.7
15905109,96.9,528,130,545,0,0,55,485,5,0.9,10.1,89,0,0,23.9
15905110,99.1,454,152,458,0,0,3,448,7,1.5,0.7,97.8,0,0,33.2
15905112,96.1,804,171,837,0,0,3,829,5,0.6,0.4,99,0,0,20.4
15905113,99.7,394,131,395,0,0,2,390,3,0.8,0.5,98.7,0,0,33.2
15905114,98.3,635,141,646,0,0,18,621,7,1.1,2.8,96.1,0,0,21.8
15905115,98.4,634,132,644,1,0,0,639,4,0.6,0,99.2,0.2,0,20.5
15905116,90.3,658,72,729,5,11,58,536,119,16.3,8,73.5,0.7,1.5,9.9
15905117,97.8,438,101,448,2,0,19,427,0,0,4.2,95.3,0.4,0,22.5
15905118,97.3,72,1,74,0,0,3,66,5,6.8,4.1,89.2,0,0,1.4
15906001,13.4,31,2,231,2,10,42,27,150,64.9,18.2,11.7,0.9,4.3,0.9
15906041,26.2,55,1,210,1,7,33,20,149,71,15.7,9.5,0.5,3.3,0.5
15906101,45.5,255,2,561,7,26,95,64,369,65.8,16.9,11.4,1.2,4.6,0.4
15907001,74.6,1550,75,2078,1,8,194,1774,101,4.9,9.3,85.4,0,0.4,3.6
15907002,82.6,1205,73,1459,1,2,4,1421,31,2.1,0.3,97.4,0.1,0.1,5
15907003,74.5,1297,112,1742,0,9,26,1618,89,5.1,1.5,92.9,0,0.5,6.4
15907004,77.3,1152,91,1491,0,11,128,1318,34,2.3,8.6,88.4,0,0.7,6.1
15907005,66.4,1376,38,2071,2,5,219,1522,323,15.6,10.6,73.5,0.1,0.2,1.8
15907006,82.8,1043,15,1259,0,6,837,364,52,4.1,66.5,28.9,0,0.5,1.2
15907007,64.9,1305,79,2011,0,11,44,1804,152,7.6,2.2,89.7,0,0.5,3.9
15907008,80.5,1257,50,1561,1,1,5,1541,13,0.8,0.3,98.7,0.1,0.1,3.2
15907009,89.4,76,1,85,0,0,12,69,4,4.7,14.1,81.2,0,0,1.2
15907010,98.5,65,0,66,0,0,9,51,6,9.1,13.6,77.3,0,0,0
15907014,80.9,55,0,68,0,0,2,63,3,4.4,2.9,92.6,0,0,0
15907015,88.9,8,0,9,0,0,1,8,0,0,11.1,88.9,0,0,0
15907017,81.3,13,0,16,0,0,0,16,0,0,0,100,0,0,0
15907041,92.1,666,15,723,0,0,47,605,71,9.8,6.5,83.7,0,0,2.1
15907042,97,523,112,539,1,0,4,528,6,1.1,0.7,98,0.2,0,20.8
15907043,79.7,889,8,1115,0,8,542,481,84,7.5,48.6,43.1,0,0.7,0.7
15907046,96.4,623,73,646,0,4,210,419,13,2,32.5,64.9,0,0.6,11.3
15907047,95.7,622,82,650,2,0,1,635,12,1.8,0.2,97.7,0.3,0,12.6
15907049,95.1,977,37,1027,0,1,26,991,9,0.9,2.5,96.5,0,0.1,3.6
15907050,80.5,763,38,948,1,8,29,845,65,6.9,3.1,89.1,0.1,0.8,4
15907051,87.8,542,29,617,2,2,2,604,7,1.1,0.3,97.9,0.3,0.3,4.7
15907052,81.3,594,47,731,1,2,23,665,40,5.5,3.1,91,0.1,0.3,6.4
15907053,94.5,736,81,779,0,1,31,720,27,3.5,4,92.4,0,0.1,10.4
15907054,93.6,721,95,770,0,1,131,606,32,4.2,17,78.7,0,0.1,12.3
15907055,95.4,537,39,563,0,2,1,556,4,0.7,0.2,98.8,0,0.4,6.9
15907056,96.4,486,11,504,0,1,311,187,5,1,61.7,37.1,0,0.2,2.2
15907057,77.5,711,27,918,0,5,79,670,164,17.9,8.6,73,0,0.5,2.9
15907058,88.1,859,101,975,3,5,44,876,47,4.8,4.5,89.8,0.3,0.5,10.4
15907059,87.4,745,80,852,0,0,11,789,52,6.1,1.3,92.6,0,0,9.4
15907061,83.9,1057,123,1260,0,1,13,1182,64,5.1,1,93.8,0,0.1,9.8
15907101,80.3,327,55,407,1,0,8,341,57,14,2,83.8,0.2,0,13.5
15907102,97.8,219,95,224,0,0,4,215,5,2.2,1.8,96,0,0,42.4
15907103,94.2,392,75,416,0,0,9,382,25,6,2.2,91.8,0,0,18
15907104,99.7,339,90,340,0,0,0,334,6,1.8,0,98.2,0,0,26.5
15907105,81.6,324,28,397,0,2,26,292,77,19.4,6.5,73.6,0,0.5,7.1
15907106,97.7,513,150,525,0,1,5,500,19,3.6,1,95.2,0,0.2,28.6
15907107,94.4,334,110,354,0,1,5,328,20,5.6,1.4,92.7,0,0.3,31.1
15907108,96.8,421,160,435,0,0,5,425,5,1.1,1.1,97.7,0,0,36.8
15907109,96.1,342,24,356,0,0,204,133,19,5.3,57.3,37.4,0,0,6.7
15907110,99.3,808,232,814,0,2,10,787,15,1.8,1.2,96.7,0,0.2,28.5
15907111,98.4,558,163,567,0,0,0,560,7,1.2,0,98.8,0,0,28.7
15907112,96,430,146,448,0,0,1,442,5,1.1,0.2,98.7,0,0,32.6
15907113,99.6,490,126,492,2,0,77,399,14,2.8,15.7,81.1,0.4,0,25.6
15907114,91,213,4,234,0,0,190,36,8,3.4,81.2,15.4,0,0,1.7
15907115,98.7,449,131,455,0,1,5,445,4,0.9,1.1,97.8,0,0.2,28.8
15907116,94.2,710,118,754,0,2,2,741,9,1.2,0.3,98.3,0,0.3,15.6
15907117,88.1,429,151,487,0,8,7,443,29,6,1.4,91,0,1.6,31
15907118,99.1,886,397,894,0,3,31,856,4,0.4,3.5,95.7,0,0.3,44.4
15907119,97.5,345,104,354,0,0,81,269,4,1.1,22.9,76,0,0,29.4
15907121,96.4,611,269,634,0,1,0,629,4,0.6,0,99.2,0,0.2,42.4
15907123,92,357,72,388,0,1,7,368,12,3.1,1.8,94.8,0,0.3,18.6
15907124,88,346,28,393,0,0,25,326,42,10.7,6.4,83,0,0,7.1
15907125,87.8,502,40,572,0,2,48,424,98,17.1,8.4,74.1,0,0.3,7
15907126,96.7,505,149,522,2,1,5,471,43,8.2,1,90.2,0.4,0.2,28.5
15907127,97.6,600,18,615,0,1,431,174,9,1.5,70.1,28.3,0,0.2,2.9
15907129,91.8,716,135,780,4,0,3,758,15,1.9,0.4,97.2,0.5,0,17.3
15907131,93.8,319,64,340,0,1,4,327,8,2.4,1.2,96.2,0,0.3,18.8
15907132,99.4,491,162,494,0,0,100,385,9,1.8,20.2,77.9,0,0,32.8
15907134,88.5,693,54,783,1,1,50,602,129,16.5,6.4,76.9,0.1,0.1,6.9
15907135,91.8,662,79,721,0,2,30,620,69,9.6,4.2,86,0,0.3,11
15907136,96.4,618,131,641,0,0,0,611,30,4.7,0,95.3,0,0,20.4
15907137,83.8,358,28,427,0,0,188,198,41,9.6,44,46.4,0,0,6.6
15907139,93.7,419,44,447,0,1,7,420,19,4.3,1.6,94,0,0.2,9.8
15907140,96.9,372,116,384,1,2,0,376,5,1.3,0,97.9,0.3,0.5,30.2
15907141,92.9,486,84,523,0,0,12,473,38,7.3,2.3,90.4,0,0,16.1
15907143,96.8,299,40,309,0,0,0,305,4,1.3,0,98.7,0,0,12.9
15907144,97.5,510,105,523,2,0,4,509,8,1.5,0.8,97.3,0.4,0,20.1
15907145,97.3,257,97,264,0,0,1,258,5,1.9,0.4,97.7,0,0,36.7
15907146,96.1,324,76,337,1,9,62,220,45,13.4,18.4,65.3,0.3,2.7,22.6
15907147,96.3,575,113,597,0,0,130,447,20,3.4,21.8,74.9,0,0,18.9
15907148,87.6,525,93,599,3,0,7,562,27,4.5,1.2,93.8,0.5,0,15.5
15907149,95.9,448,198,467,1,0,3,463,0,0,0.6,99.1,0.2,0,42.4
15907150,79.4,450,42,567,0,5,11,478,73,12.9,1.9,84.3,0,0.9,7.4
