DISTRICT,D20GR13N,D20GR13R,D30GR13N,D30GR13R,D40GR13N,D40GR13R,DA0GH13N,DA0GH13R,DA0GM13N,DA0GM13R,DA0GR13N,DA0GR13R,DB0GR13N,DB0GR13R,DH0GR13N,DH0GR13R,DI0GR13N,DI0GR13R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR13N,DS0GR13R,DW0GR13N,DW0GR13R
"001902",3,6.1,0,0,0,0,39,79.6,10,20.4,49,100,8,16.3,2,4.1,0,0,553,6,1.1,27,4.9,2,0.3,210,38,39,7.1,0,0,2,0.4,343,62,0,0,204,36.9,30,5.4,451,81.6,8,16.3,36,73.5
"001903",3,3.8,1,1.3,0,0,58,72.5,22,27.5,80,100,5,6.3,7,8.8,0,0,1207,12,1,51,4.2,3,0.2,622,51.5,109,9,2,0.2,12,1,585,48.5,2,0.2,501,41.5,38,3.1,993,82.3,5,6.3,64,80
"001904",4,8,0,0,0,0,45,90,5,10,50,100,8,16,4,8,0,0,762,2,0.3,93,12.2,5,0.6,445,58.4,66,8.7,3,0.4,15,2,317,41.6,0,0,323,42.4,27,3.5,571,74.9,6,12,34,68
"001906",1,5.3,0,0,0,0,14,73.7,5,26.3,19,100,2,10.5,0,0,0,0,389,2,0.5,25,6.4,5,1.1,150,38.6,42,10.8,0,0,3,0.8,239,61.4,0,0,128,32.9,6,1.5,314,80.7,2,10.5,16,84.2
"001907",0,0,4,2,0,0,188,94,12,6,200,100,56,28,77,38.5,0,0,3263,24,0.7,914,28,116,3.1,2476,75.9,1260,38.6,44,1.3,443,13.6,787,24.1,1,0,2053,62.9,73,2.2,947,29,14,7,63,31.5
"001908",2,2.2,2,2.2,0,0,73,82,16,18,89,100,22,24.7,16,18,1,1.1,1602,9,0.6,281,17.5,23,1.3,988,61.7,353,22,5,0.3,84,5.2,614,38.3,3,0.2,745,46.5,66,4.1,885,55.2,12,13.5,46,51.7
"001909",1,4,0,0,0,0,21,84,4,16,25,100,0,0,1,4,0,0,412,0,0,7,1.7,2,0.4,197,47.8,22,5.3,1,0.2,1,0.2,215,52.2,0,0,141,34.2,13,3.2,369,89.6,3,12,23,92
"002901",1,0.6,0,0,0,0,134,75.7,43,24.3,177,100,6,3.4,109,61.6,2,1.1,3758,13,0.3,53,1.4,40,1,1580,42,2493,66.3,11,0.3,443,11.8,2178,58,1,0,1595,42.4,59,1.6,1128,30,18,10.2,59,33.3
"003801",0,0,0,0,0,0,18,90,2,10,20,100,0,0,2,10,0,0,701,16,2.3,122,17.4,0,0,344,49.1,107,15.3,1,0.1,21,3,357,50.9,1,0.1,250,35.7,10,1.4,444,63.3,2,10,18,90
"003902",3,1.8,3,1.8,0,0,134,80.7,32,19.3,166,100,6,3.6,23,13.9,2,1.2,2774,27,1,160,5.8,57,1.9,1496,53.9,647,23.3,27,1,190,6.8,1278,46.1,1,0,1016,36.6,44,1.6,1868,67.3,15,9,129,77.7
"003903",11,2.1,8,1.5,1,0.2,432,81.8,96,18.2,528,100,128,24.2,168,31.8,1,0.2,8383,122,1.5,2393,28.5,407,4.4,6164,73.5,3332,39.7,19,0.2,1533,18.3,2219,26.5,10,0.1,5122,61.1,160,1.9,2347,28,67,12.7,211,40
"003904",2,1.8,0,0,0,0,58,50.9,56,49.1,114,100,3,2.6,3,2.6,0,0,1760,3,0.2,47,2.7,30,1.6,916,52,103,5.9,7,0.4,16,0.9,844,48,0,0,814,46.3,42,2.4,1558,88.5,20,17.5,106,93
