DISTRICT,D20GR13N,D20GR13R,D30GR13N,D30GR13R,D40GR13N,D40GR13R,DA0GH13N,DA0GH13R,DA0GM13N,DA0GM13R,DA0GR13N,DA0GR13R,DB0GR13N,DB0GR13R,DH0GR13N,DH0GR13R,DI0GR13N,DI0GR13R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR13N,DS0GR13R,DW0GR13N,DW0GR13R
"003905",4,3.1,1,0.8,0,0,87,67.4,42,32.6,129,100,19,14.7,49,38,0,0,1982,6,0.3,234,11.8,39,1.8,1499,75.6,1065,53.7,2,0.1,371,18.7,483,24.4,0,0,1061,53.5,24,1.2,651,32.8,18,14,56,43.4
"003906",3,9.7,0,0,0,0,27,87.1,4,12.9,31,100,0,0,2,6.5,0,0,410,0,0,3,0.7,0,0,242,59,15,3.7,2,0.5,0,0,168,41,0,0,150,36.6,6,1.5,384,93.7,2,6.5,26,83.9
"003907",0,0,0,0,0,0,73,68.9,33,31.1,106,100,1,0.9,11,10.4,1,0.9,1592,1,0.1,107,6.7,35,2.1,853,53.6,292,18.3,5,0.3,49,3.1,739,46.4,0,0,743,46.7,20,1.3,1167,73.3,17,16,93,87.7
"004901",2,1,6,3,0,0,181,89.6,21,10.4,202,100,1,0.5,76,37.6,0,0,3212,78,2.4,37,1.2,148,4.2,1785,55.6,1316,41,12,0.4,121,3.8,1427,44.4,0,0,1361,42.4,66,2.1,1703,53,20,9.9,117,57.9
"005901",4,11.1,0,0,0,0,28,77.8,8,22.2,36,100,0,0,0,0,1,2.8,487,0,0,2,0.4,9,1.7,188,38.6,43,8.8,3,0.6,6,1.2,299,61.4,0,0,187,38.4,26,5.3,413,84.8,2,5.6,31,86.1
"005902",0,0,0,0,0,0,45,69.2,20,30.8,65,100,1,1.5,3,4.6,0,0,892,1,0.1,3,0.3,7,0.7,243,27.2,71,8,7,0.8,1,0.1,649,72.8,0,0,309,34.6,13,1.5,797,89.3,4,6.2,61,93.8
"005904",0,0,0,0,0,0,29,93.5,2,6.5,31,100,0,0,6,19.4,0,0,461,0,0,0,0,0,0,186,40.3,136,29.5,5,1.1,39,8.5,275,59.7,0,0,206,44.7,1,0.2,319,69.2,3,9.7,25,80.6
"006902",0,0,0,0,0,0,22,95.7,1,4.3,23,100,1,4.3,1,4.3,0,0,369,0,0,8,2.2,3,0.8,150,40.7,43,11.7,2,0.5,3,0.8,219,59.3,0,0,148,40.1,10,2.7,306,82.9,2,8.7,21,91.3
"007901",0,0,1,3.6,0,0,20,71.4,8,28.6,28,100,0,0,21,75,0,0,534,0,0,0,0,9,1.6,381,71.3,449,84.1,1,0.2,30,5.6,153,28.7,0,0,362,67.8,3,0.6,81,15.2,3,10.7,6,21.4
"007902",0,0,0,0,0,0,50,67.6,24,32.4,74,100,0,0,38,51.4,0,0,1552,3,0.2,11,0.7,22,1.3,870,56.1,913,58.8,4,0.3,35,2.3,682,43.9,1,0.1,659,42.5,17,1.1,603,38.9,2,2.7,36,48.6
"007904",1,0.9,0,0,0,0,102,94.4,6,5.6,108,100,2,1.9,80,74.1,0,0,1762,0,0,13,0.7,41,2.2,1259,71.5,1408,79.9,7,0.4,143,8.1,503,28.5,3,0.2,965,54.8,6,0.3,325,18.4,2,1.9,25,23.1
"007905",1,0.5,0,0,0,0,185,84.9,33,15.1,218,100,2,0.9,147,67.4,2,0.9,3517,15,0.4,13,0.4,82,2.1,2149,61.1,2452,69.7,7,0.2,112,3.2,1368,38.9,0,0,1701,48.4,27,0.8,1003,28.5,27,12.4,66,30.3
"007906",0,0,0,0,0,0,92,89.3,11,10.7,103,100,0,0,79,76.7,0,0,1758,2,0.1,6,0.3,60,3.1,1439,81.9,1484,84.4,2,0.1,71,4,319,18.1,1,0.1,1030,58.6,10,0.6,253,14.4,9,8.7,24,23.3
"008901",2,1.2,0,0,0,0,128,75.7,41,24.3,169,100,13,7.7,28,16.6,0,0,2121,5,0.2,227,10.7,28,1.3,971,45.8,578,27.3,7,0.3,174,8.2,1150,54.2,0,0,937,44.2,55,2.6,1249,58.9,18,10.7,126,74.6
"008902",2,1,0,0,0,0,162,82.2,35,17.8,197,100,28,14.2,76,38.6,0,0,2766,8,0.3,277,10,27,0.9,1536,55.5,1296,46.9,6,0.2,328,11.9,1230,44.5,2,0.1,1318,47.7,49,1.8,1128,40.8,19,9.6,91,46.2
"008903",0,0,0,0,0,0,36,75,12,25,48,100,7,14.6,23,47.9,0,0,822,6,0.7,75,9.1,18,2,464,56.4,408,49.6,0,0,98,11.9,358,43.6,0,0,313,38.1,19,2.3,314,38.2,6,12.5,18,37.5
"009901",0,0,1,1.1,0,0,72,82.8,15,17.2,87,100,1,1.1,69,79.3,0,0,1461,9,0.6,4,0.3,27,1.7,1232,84.3,1198,82,0,0,278,19,229,15.7,0,0,840,57.5,1,0.1,249,17,7,8,16,18.4
"010901",0,0,0,0,0,0,16,53.3,14,46.7,30,100,1,3.3,8,26.7,0,0,270,0,0,4,1.5,7,2.1,151,55.9,71,26.3,1,0.4,19,7,119,44.1,0,0,100,37,6,2.2,188,69.6,7,23.3,21,70
"010902",6,3.6,1,0.6,0,0,132,78.6,36,21.4,168,100,0,0,39,23.2,3,1.8,2369,12,0.5,12,0.5,61,2.3,1211,51.1,726,30.6,14,0.6,90,3.8,1158,48.9,1,0,1027,43.4,35,1.5,1569,66.2,13,7.7,119,70.8
"011901",7,1.1,1,0.2,1,0.2,444,72,173,28,617,100,52,8.4,286,46.4,1,0.2,9546,55,0.6,513,5.4,322,3.2,6531,68.4,5527,57.9,46,0.5,2068,21.7,3015,31.6,3,0,5848,61.3,244,2.6,3158,33.1,76,12.3,269,43.6
"011902",7,2.9,1,0.4,0,0,204,85.4,35,14.6,239,100,35,14.6,105,43.9,0,0,4178,16,0.4,533,12.8,122,2.7,2997,71.7,2373,56.8,8,0.2,793,19,1181,28.3,2,0,2520,60.3,99,2.4,1147,27.5,23,9.6,91,38.1
"011904",2,1.3,0,0,0,0,116,73,43,27,159,100,18,11.3,32,20.1,0,0,1799,7,0.4,141,7.8,44,2.3,1049,58.3,480,26.7,9,0.5,74,4.1,750,41.7,2,0.1,770,42.8,60,3.3,1100,61.1,16,10.1,107,67.3
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210,0,0,1,0.5,0,0,156,74.3,113,53.8,0,0,56,26.7,54,25.7,0,0,133,63.3,1,0.5,95,45.2,.,.,.,.
"012901",2,5.6,0,0,0,0,26,72.2,10,27.8,36,100,1,2.8,7,19.4,0,0,570,2,0.4,13,2.3,1,0.2,303,53.2,114,20,3,0.5,0,0,267,46.8,0,0,178,31.2,19,3.3,419,73.5,4,11.1,26,72.2
"013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,434,13,3,5,1.2,0,0,333,76.7,350,80.6,0,0,2,0.5,101,23.3,0,0,206,47.5,4,0.9,62,14.3,.,.,.,.
"013901",0,0,1,0.4,0,0,250,99.6,1,0.4,251,100,7,2.8,193,76.9,0,0,3364,14,0.4,72,2.1,73,1.9,2500,74.3,2788,82.9,8,0.2,119,3.5,864,25.7,2,0.1,2206,65.6,23,0.7,457,13.6,27,10.8,50,19.9
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,164,0,0,0,0,0,0,89,54.3,127,77.4,0,0,1,0.6,75,45.7,0,0,62,37.8,2,1.2,35,21.3,.,.,.,.
"013903",0,0,0,0,0,0,14,51.9,13,48.1,27,100,1,3.7,18,66.7,0,0,438,1,0.2,10,2.3,10,2.1,262,59.8,273,62.3,0,0,3,0.7,176,40.2,0,0,269,61.4,8,1.8,146,33.3,5,18.5,8,29.6
"013905",1,1.4,0,0,0,0,64,91.4,6,8.6,70,100,2,2.9,37,52.9,0,0,789,4,0.5,8,1,11,1.2,440,55.8,512,64.9,7,0.9,11,1.4,349,44.2,2,0.3,336,42.6,2,0.3,254,32.2,4,5.7,30,42.9
"014801",3,4.8,1,1.6,0,0,23,36.5,40,63.5,63,100,23,36.5,13,20.6,0,0,132,1,0.8,49,37.1,0,0,90,68.2,45,34.1,0,0,1,0.8,42,31.8,2,1.5,111,84.1,6,4.5,29,22,8,12.7,23,36.5
"014802",2,6.9,0,0,0,0,1,3.4,28,96.6,29,100,13,44.8,7,24.1,0,0,91,1,1.1,38,41.8,0,0,62,68.1,32,35.2,0,0,0,0,29,31.9,1,1.1,90,98.9,3,3.3,16,17.6,3,10.3,7,24.1
"014803",1,6.7,0,0,0,0,12,80,3,20,15,100,1,6.7,3,20,0,0,885,10,1.1,145,16.4,0,0,463,52.3,223,25.2,2,0.2,1,0.1,422,47.7,0,0,118,13.3,48,5.4,457,51.6,1,6.7,10,66.7
"014804",5,9.4,0,0,0,0,37,69.8,16,30.2,53,100,0,0,11,20.8,0,0,1206,22,1.8,66,5.5,0,0,307,25.5,246,20.4,7,0.6,15,1.2,899,74.5,1,0.1,497,41.2,28,2.3,836,69.3,1,1.9,37,69.8
"014901",1,1.3,0,0,0,0,55,68.8,25,31.3,80,100,2,2.5,21,26.3,0,0,1270,8,0.6,29,2.3,9,0.7,461,36.3,277,21.8,9,0.7,57,4.5,809,63.7,4,0.3,435,34.3,32,2.5,911,71.7,8,10,56,70
"014902",1,2.6,0,0,0,0,27,69.2,12,30.8,39,100,3,7.7,28,71.8,0,0,395,0,0,45,11.4,8,1.7,288,72.9,244,61.8,1,0.3,44,11.1,107,27.1,0,0,249,63,8,2,97,24.6,8,20.5,7,17.9
"014903",15,2.4,6,1,0,0,447,72.8,167,27.2,614,100,51,8.3,182,29.6,4,0.7,10305,160,1.6,672,6.5,159,1.4,5195,50.4,3350,32.5,75,0.7,711,6.9,5110,49.6,24,0.2,4637,45,384,3.7,5640,54.7,72,11.7,356,58
"014905",1,2.6,0,0,0,0,21,55.3,17,44.7,38,100,1,2.6,13,34.2,0,0,630,3,0.5,19,3,4,0.6,320,50.8,196,31.1,1,0.2,19,3,310,49.2,0,0,213,33.8,7,1.1,404,64.1,5,13.2,23,60.5
"014906",88,4.3,88,4.3,19,0.9,1409,69.6,615,30.4,2024,100,800,39.5,485,24,5,0.2,41336,1078,2.6,13904,33.6,982,2.1,23697,57.3,11633,28.1,275,0.7,3455,8.4,17639,42.7,655,1.6,21666,52.4,2867,6.9,10924,26.4,240,11.9,539,26.6
"014907",0,0,1,1.5,0,0,52,80,13,20,65,100,0,0,8,12.3,1,1.5,862,4,0.5,23,2.7,13,1.5,428,49.7,237,27.5,4,0.5,31,3.6,434,50.3,1,0.1,342,39.7,7,0.8,586,68,6,9.2,55,84.6
"014908",2,1.7,1,0.9,0,0,99,85.3,17,14.7,116,100,0,0,20,17.2,1,0.9,1465,13,0.9,14,1,9,0.6,403,27.5,294,20.1,13,0.9,101,6.9,1062,72.5,1,0.1,485,33.1,31,2.1,1099,75,11,9.5,92,79.3
"014909",13,2.5,14,2.7,0,0,372,72.1,144,27.9,516,100,131,25.4,173,33.5,6,1.2,8644,136,1.6,2408,27.9,246,2.5,6636,76.8,3484,40.3,40,0.5,798,9.2,2008,23.2,7,0.1,5094,58.9,258,3,2311,26.7,105,20.3,179,34.7
"014910",1,1.2,0,0,0,0,74,87.1,11,12.9,85,100,0,0,16,18.8,2,2.4,1434,8,0.6,22,1.5,14,0.9,688,48,340,23.7,7,0.5,39,2.7,746,52,2,0.1,532,37.1,17,1.2,1038,72.4,6,7.1,66,77.6
"015801",0,0,0,0,0,0,42,44.2,53,55.8,95,100,1,1.1,90,94.7,0,0,303,0,0,8,2.6,0,0,211,69.6,270,89.1,0,0,1,0.3,92,30.4,0,0,197,65,2,0.7,23,7.6,14,14.7,4,4.2
"015802",0,0,0,0,0,0,33,78.6,9,21.4,42,100,21,50,18,42.9,0,0,1313,6,0.5,395,30.1,0,0,1283,97.7,829,63.1,1,0.1,276,21,30,2.3,1,0.1,1148,87.4,21,1.6,60,4.6,1,2.4,3,7.1
"015803",0,0,0,0,0,0,2,100,0,0,2,100,0,0,1,50,0,0,485,0,0,65,13.4,0,0,459,94.6,402,82.9,2,0.4,48,9.9,26,5.4,1,0.2,81,16.7,5,1,10,2.1,0,0,1,50
"015805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,615,0,0,8,1.3,0,0,549,89.3,592,96.3,0,0,70,11.4,66,10.7,0,0,454,73.8,1,0.2,14,2.3,.,.,.,.
"015806",0,0,0,0,0,0,34,82.9,7,17.1,41,100,12,29.3,28,68.3,0,0,1384,2,0.1,437,31.6,0,0,1281,92.6,865,62.5,0,0,177,12.8,103,7.4,5,0.4,974,70.4,27,2,48,3.5,3,7.3,1,2.4
"015807",2,1.9,0,0,0,0,51,48.1,55,51.9,106,100,17,16,71,67,1,0.9,627,1,0.2,72,11.5,20,2.6,483,77,512,81.7,0,0,77,12.3,144,23,0,0,501,79.9,3,0.5,39,6.2,10,9.4,15,14.2
"015808",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,489,1,0.2,115,23.5,0,0,489,100,176,36,8,1.6,27,5.5,0,0,1,0.2,489,100,14,2.9,174,35.6,.,.,.,.
"015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,505,2,0.4,22,4.4,0,0,177,35,461,91.3,0,0,102,20.2,328,65,0,0,385,76.2,1,0.2,19,3.8,.,.,.,.
"015814",0,0,0,0,0,0,13,35.1,24,64.9,37,100,1,2.7,36,97.3,0,0,183,0,0,3,1.6,0,0,164,89.6,175,95.6,0,0,4,2.2,19,10.4,0,0,165,90.2,1,0.5,4,2.2,2,5.4,0,0
"015815",0,0,0,0,0,0,18,94.7,1,5.3,19,100,0,0,18,94.7,0,0,556,12,2.2,58,10.4,0,0,421,75.7,387,69.6,0,0,89,16,135,24.3,0,0,424,76.3,21,3.8,78,14,2,10.5,1,5.3
"015816",0,0,0,0,0,0,22,81.5,5,18.5,27,100,3,11.1,20,74.1,0,0,182,0,0,19,10.4,0,0,52,28.6,139,76.4,2,1.1,8,4.4,130,71.4,0,0,114,62.6,0,0,22,12.1,6,22.2,4,14.8
"015819",0,0,0,0,0,0,17,85,3,15,20,100,2,10,1,5,0,0,798,4,0.5,267,33.5,0,0,558,69.9,215,26.9,3,0.4,26,3.3,240,30.1,2,0.3,546,68.4,36,4.5,271,34,3,15,17,85
"015820",0,0,0,0,0,0,24,88.9,3,11.1,27,100,0,0,18,66.7,0,0,408,2,0.5,13,3.2,0,0,368,90.2,337,82.6,1,0.2,0,0,40,9.8,0,0,372,91.2,4,1,51,12.5,7,25.9,9,33.3
"015822",1,2.7,0,0,0,0,30,81.1,7,18.9,37,100,0,0,30,81.1,0,0,2991,15,0.5,173,5.8,0,0,2277,76.1,2528,84.5,0,0,648,21.7,714,23.9,1,0,1747,58.4,21,0.7,253,8.5,5,13.5,6,16.2
"015823",0,0,0,0,0,0,19,65.5,10,34.5,29,100,0,0,29,100,0,0,62,1,1.6,1,1.6,0,0,57,91.9,58,93.5,0,0,4,6.5,5,8.1,0,0,56,90.3,0,0,2,3.2,3,10.3,0,0
"015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,247,0,0,12,4.9,0,0,222,89.9,220,89.1,0,0,63,25.5,25,10.1,0,0,145,58.7,0,0,15,6.1,.,.,.,.
"015826",0,0,0,0,0,0,61,95.3,3,4.7,64,100,3,4.7,60,93.8,0,0,1485,2,0.1,41,2.8,0,0,1276,85.9,1407,94.7,0,0,322,21.7,209,14.1,0,0,630,42.4,5,0.3,30,2,4,6.3,1,1.6
"015827",0,0,9,20.5,0,0,44,100,0,0,44,100,4,9.1,23,52.3,0,0,855,30,3.5,118,13.8,0,0,464,54.3,480,56.1,0,0,51,6,391,45.7,1,0.1,265,31,33,3.9,193,22.6,0,0,8,18.2
"015828",0,0,0,0,0,0,45,100,0,0,45,100,0,0,34,75.6,0,0,2266,34,1.5,211,9.3,0,0,1483,65.4,1664,73.4,7,0.3,260,11.5,783,34.6,2,0.1,913,40.3,34,1.5,314,13.9,1,2.2,11,24.4
"015830",0,0,0,0,0,0,65,92.9,5,7.1,70,100,3,4.3,61,87.1,0,0,1509,11,0.7,28,1.9,0,0,874,57.9,1332,88.3,3,0.2,111,7.4,635,42.1,0,0,362,24,4,0.3,131,8.7,9,12.9,6,8.6
"015831",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1014,52,5.1,70,6.9,0,0,598,59,691,68.1,2,0.2,76,7.5,416,41,1,0.1,295,29.1,11,1.1,187,18.4,.,.,.,.
"015832",0,0,0,0,1,14.3,6,85.7,1,14.3,7,100,2,28.6,4,57.1,0,0,144,0,0,11,7.6,0,0,131,91,131,91,0,0,28,19.4,13,9,0,0,74,51.4,0,0,2,1.4,0,0,0,0
"015833",1,1.6,1,1.6,0,0,57,91.9,5,8.1,62,100,3,4.8,48,77.4,0,0,181,0,0,4,2.2,0,0,69,38.1,153,84.5,3,1.7,3,1.7,112,61.9,1,0.6,99,54.7,1,0.6,19,10.5,2,3.2,9,14.5
"015834",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,508,110,21.7,14,2.8,0,.,28,5.5,203,40,1,0.2,0,0,480,94.5,1,0.2,0,0,21,4.1,158,31.1,.,.,.,.
"015836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,196,1,0.5,2,1,0,.,22,11.2,91,46.4,0,0,5,2.6,174,88.8,0,0,11,5.6,10,5.1,92,46.9,.,.,.,.
"015901",2,0.6,9,2.5,0,0,314,88.5,41,11.5,355,100,4,1.1,126,35.5,1,0.3,4815,107,2.2,73,1.5,78,1.5,966,20.1,1895,39.4,8,0.2,231,4.8,3849,79.9,1,0,1270,26.4,94,2,2637,54.8,7,2,213,60
"015904",0,0,1,0.1,0,0,668,79.3,174,20.7,842,100,4,0.5,815,96.8,1,0.1,15316,14,0.1,54,0.4,412,2.5,13511,88.2,14908,97.3,10,0.1,2571,16.8,1805,11.8,0,0,10498,68.5,19,0.1,311,2,89,10.6,21,2.5
"015905",2,0.4,1,0.2,0,0,439,80,110,20,549,100,1,0.2,543,98.9,1,0.2,12059,10,0.1,120,1,304,2.3,11904,98.7,11854,98.3,6,0,2221,18.4,155,1.3,1,0,9001,74.6,16,0.1,52,0.4,83,15.1,1,0.2
"015906",10,11.9,1,1.2,0,0,79,94,5,6,84,100,14,16.7,14,16.7,1,1.2,1177,33,2.8,208,17.7,2,0.2,115,9.8,249,21.2,3,0.3,4,0.3,1062,90.2,10,0.8,187,15.9,125,10.6,549,46.6,3,3.6,44,52.4
"015907",8,0.3,2,0.1,1,0,2069,76.8,624,23.2,2693,100,161,6,2466,91.6,2,0.1,53811,108,0.2,3413,6.3,898,1.5,50271,93.4,49051,91.2,43,0.1,10255,19.1,3540,6.6,21,0,38599,71.7,201,0.4,974,1.8,365,13.6,53,2
"015908",0,0,0,0,1,0.2,372,86.3,59,13.7,431,100,7,1.6,417,96.8,2,0.5,10007,7,0.1,115,1.1,193,1.7,8976,89.7,9692,96.9,8,0.1,1434,14.3,1031,10.3,5,0,7344,73.4,17,0.2,163,1.6,41,9.5,4,0.9
"015909",2,1,0,0,3,1.4,195,92.9,15,7.1,210,100,1,0.5,175,83.3,1,0.5,3934,3,0.1,27,0.7,71,1.6,3075,78.2,3391,86.2,10,0.3,517,13.1,859,21.8,5,0.1,2321,59,32,0.8,466,11.8,15,7.1,28,13.3
"015910",148,3.2,160,3.5,6,0.1,3782,81.6,852,18.4,4634,100,363,7.8,2334,50.4,15,0.3,67986,2425,3.6,4818,7.1,1173,1.6,31643,46.5,38652,56.9,176,0.3,6509,9.6,36343,53.5,122,0.2,24550,36.1,1989,2.9,19804,29.1,319,6.9,1608,34.7
"015911",7,1,1,0.1,5,0.7,593,88.8,75,11.2,668,100,75,11.2,405,60.6,0,0,9689,29,0.3,775,8,142,1.3,6394,66,6904,71.3,12,0.1,798,8.2,3295,34,5,0.1,5627,58.1,106,1.1,1858,19.2,56,8.4,175,26.2
"015912",4,0.6,3,0.4,0,0,585,81.4,134,18.6,719,100,19,2.6,649,90.3,1,0.1,13275,51,0.4,388,2.9,344,2.4,11149,84,12014,90.5,13,0.1,1850,13.9,2126,16,12,0.1,9339,70.4,101,0.8,696,5.2,68,9.5,43,6
"015913",4,10.5,0,0,0,0,34,89.5,4,10.5,38,100,13,34.2,8,21.1,0,0,931,27,2.9,153,16.4,7,0.6,330,35.4,252,27.1,3,0.3,32,3.4,601,64.6,8,0.9,214,23,106,11.4,382,41,7,18.4,13,34.2
"015914",4,5.3,4,5.3,0,0,64,84.2,12,15.8,76,100,20,26.3,15,19.7,0,0,1542,35,2.3,304,19.7,16,0.9,507,32.9,431,28,10,0.6,57,3.7,1035,67.1,18,1.2,406,26.3,140,9.1,604,39.2,5,6.6,33,43.4
"015915",209,3.5,170,2.8,15,0.2,5102,84.5,936,15.5,6038,100,439,7.3,3910,64.8,12,0.2,101549,3053,3,6198,6.1,1446,1.3,53111,52.3,69915,68.8,143,0.1,7477,7.4,48438,47.7,268,0.3,43286,42.6,2860,2.8,19112,18.8,534,8.8,1283,21.2
"015916",30,2.3,29,2.2,4,0.3,1097,82.4,235,17.6,1332,100,358,26.9,674,50.6,2,0.2,22928,413,1.8,5327,23.2,426,1.7,16165,70.5,12572,54.8,65,0.3,1884,8.2,6763,29.5,65,0.3,14816,64.6,735,3.2,3751,16.4,110,8.3,235,17.6
"015917",1,0.3,4,1.4,1,0.3,255,88.9,32,11.1,287,100,4,1.4,241,84,0,0,5150,14,0.3,47,0.9,143,2.5,4126,80.1,4653,90.3,2,0,759,14.7,1024,19.9,0,0,3449,67,19,0.4,415,8.1,40,13.9,36,12.5
"016901",0,0,0,0,0,0,37,77.1,11,22.9,48,100,0,0,8,16.7,2,4.2,707,2,0.3,1,0.1,1,0.1,274,38.8,196,27.7,5,0.7,34,4.8,433,61.2,0,0,253,35.8,16,2.3,487,68.9,6,12.5,38,79.2
"016902",0,0,0,0,0,0,68,91.9,6,8.1,74,100,1,1.4,23,31.1,0,0,970,0,0,10,1,26,2.5,498,51.3,359,37,3,0.3,51,5.3,472,48.7,0,0,320,33,17,1.8,581,59.9,5,6.8,50,67.6
"017901",0,0,0,0,0,0,14,87.5,2,12.5,16,100,0,0,5,31.3,0,0,256,0,0,2,0.8,0,0,60,23.4,39,15.2,4,1.6,2,0.8,196,76.6,0,0,37,14.5,16,6.3,195,76.2,1,6.3,11,68.8
"018901",0,0,0,0,0,0,66,94.3,4,5.7,70,100,1,1.4,13,18.6,0,0,1039,10,1,29,2.8,14,1.3,623,60,342,32.9,8,0.8,77,7.4,416,40,0,0,568,54.7,38,3.7,612,58.9,5,7.1,56,80
"018902",2,5.3,0,0,0,0,34,89.5,4,10.5,38,100,2,5.3,10,26.3,0,0,523,2,0.4,21,4,9,1.6,322,61.6,168,32.1,1,0.2,27,5.2,201,38.4,0,0,256,48.9,19,3.6,312,59.7,4,10.5,24,63.2
"018903",0,0,0,0,0,0,6,75,2,25,8,100,0,0,4,50,0,0,117,0,0,0,0,0,0,112,95.7,76,65,2,1.7,19,16.2,5,4.3,0,0,78,66.7,7,6,32,27.4,1,12.5,4,50
"018904",0,0,0,0,0,0,44,77.2,13,22.8,57,100,1,1.8,9,15.8,0,0,618,3,0.5,21,3.4,8,1.2,346,56,138,22.3,4,0.6,41,6.6,272,44,0,0,172,27.8,17,2.8,435,70.4,11,19.3,47,82.5
"018905",1,6.7,0,0,0,0,8,53.3,7,46.7,15,100,0,0,8,53.3,0,0,174,0,0,0,0,6,2.6,151,86.8,103,59.2,0,0,30,17.2,23,13.2,0,0,123,70.7,1,0.6,70,40.2,6,40,6,40
