DISTRICT,D20GR14N,D20GR14R,D30GR14N,D30GR14R,D40GR14N,D40GR14R,DA0GF14N,DA0GF14P,DA0GH14N,DA0GH14P,DA0GM14N,DA0GM14P,DA0GR14N,DA0GR14R,DB0GR14N,DB0GR14R,DH0GR14N,DH0GR14R,DI0GR14N,DI0GR14R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR14N,DS0GR14R,DW0GR14N,DW0GR14R
"034907",0,0,0,0,0,0,0,0,63,95.5,3,4.5,66,100,12,18.2,0,0,0,0,1033,5,0.5,137,13.3,21,1.9,564,54.6,28,2.7,9,0.9,1,0.1,469,45.4,0,0,484,46.9,41,4,813,78.7,5,7.6,54,81.8
"034909",1,5.6,0,0,0,0,0,0,17,94.4,1,5.6,18,100,0,0,0,0,1,5.6,276,4,1.4,11,4,1,0.3,163,59.1,8,2.9,6,2.2,3,1.1,113,40.9,0,0,95,34.4,1,0.4,246,89.1,2,11.1,16,88.9
"035901",0,0,1,1.8,0,0,0,0,54,96.4,2,3.6,56,100,1,1.8,47,83.9,0,0,1233,5,0.4,16,1.3,16,1.2,1084,87.9,1056,85.6,2,0.2,236,19.1,149,12.1,0,0,751,60.9,3,0.2,151,12.2,1,1.8,7,12.5
"035902",0,0,0,0,0,0,0,0,16,88.9,2,11.1,18,100,0,0,18,100,0,0,246,0,0,4,1.6,2,0.7,223,90.7,234,95.1,0,0,16,6.5,23,9.3,0,0,161,65.4,2,0.8,6,2.4,2,11.1,0,0
"035903",0,0,0,0,0,0,0,0,11,100,0,0,11,100,0,0,2,18.2,0,0,227,0,0,2,0.9,0,0,42,18.5,24,10.6,2,0.9,6,2.6,185,81.5,0,0,48,21.1,1,0.4,198,87.2,0,0,9,81.8
"036901",3,4.6,2,3.1,0,0,0,0,53,81.5,12,18.5,65,100,13,20,14,21.5,0,0,1219,25,2.1,157,12.9,22,1.7,648,53.2,381,31.3,7,0.6,109,8.9,571,46.8,0,0,492,40.4,34,2.8,615,50.5,6,9.2,33,50.8
"036902",7,2.1,3,0.9,0,0,0,0,311,93.7,21,6.3,332,100,13,3.9,53,16,1,0.3,4900,33,0.7,153,3.1,46,0.9,951,19.4,1037,21.2,31,0.6,123,2.5,3949,80.6,0,0,1292,26.4,108,2.2,3538,72.2,11,3.3,255,76.8
"036903",1,1.1,2,2.2,0,0,0,0,76,83.5,15,16.5,91,100,7,7.7,29,31.9,0,0,1419,13,0.9,118,8.3,12,0.8,801,56.4,562,39.6,1,0.1,310,21.8,618,43.6,0,0,631,44.5,23,1.6,702,49.5,7,7.7,52,57.1
"037901",0,0,0,0,0,0,0,0,21,63.6,12,36.4,33,100,11,33.3,8,24.2,0,0,646,2,0.3,172,26.6,5,0.7,406,62.8,200,31,0,0,99,15.3,240,37.2,0,0,368,57,27,4.2,245,37.9,6,18.2,14,42.4
"037904",2,0.8,2,0.8,0,0,0,0,206,83.7,40,16.3,246,100,42,17.1,117,47.6,1,0.4,4976,23,0.5,840,16.9,97,1.8,3973,79.8,2463,49.5,18,0.4,1279,25.7,1003,20.2,3,0.1,3332,67,126,2.5,1503,30.2,28,11.4,82,33.3
"037907",4,3.1,2,1.6,0,0,0,0,80,62.5,48,37.5,128,100,16,12.5,14,10.9,1,0.8,2207,4,0.2,301,13.6,31,1.3,1284,58.2,332,15,7,0.3,118,5.3,923,41.8,0,0,1027,46.5,61,2.8,1502,68.1,16,12.5,91,71.1
"037908",0,0,0,0,0,0,0,0,26,100,0,0,26,100,2,7.7,24,92.3,0,0,539,3,0.6,21,3.9,9,1.6,514,95.4,431,80,1,0.2,205,38,25,4.6,0,0,345,64,3,0.6,80,14.8,4,15.4,0,0
"037909",1,4.8,0,0,0,0,0,0,13,61.9,8,38.1,21,100,3,14.3,2,9.5,0,0,299,0,0,23,7.7,14,3.9,181,60.5,33,11,0,0,16,5.4,118,39.5,0,0,194,64.9,11,3.7,232,77.6,2,9.5,15,71.4
"038901",2,2.7,2,2.7,0,0,10,13.5,51,68.9,13,17.6,74,100,6,8.1,28,37.8,0,0,1148,17,1.5,50,4.4,26,2.1,592,51.6,442,38.5,11,1,32,2.8,556,48.4,1,0.1,428,37.3,20,1.7,607,52.9,10,13.5,36,48.6
"039902",2,3.9,0,0,0,0,0,0,43,84.3,8,15.7,51,100,0,0,2,3.9,0,0,983,1,0.1,8,0.8,3,0.3,420,42.7,78,7.9,16,1.6,3,0.3,563,57.3,1,0.1,361,36.7,39,4,840,85.5,3,5.9,47,92.2
"039903",1,2.7,0,0,0,0,0,0,30,81.1,7,18.9,37,100,0,0,4,10.8,0,0,519,0,0,4,0.8,3,0.5,258,49.7,59,11.4,12,2.3,3,0.6,261,50.3,0,0,114,22,16,3.1,428,82.5,6,16.2,32,86.5
"039904",0,0,0,0,0,0,0,0,7,53.8,6,46.2,13,100,0,0,0,0,1,7.7,146,0,0,1,0.7,0,0,71,48.6,9,6.2,1,0.7,0,0,75,51.4,0,0,56,38.4,13,8.9,122,83.6,2,15.4,12,92.3
"039905",0,0,0,0,0,0,0,0,7,87.5,1,12.5,8,100,0,0,0,0,0,0,97,0,0,0,0,1,0.9,35,36.1,4,4.1,0,0,0,0,62,63.9,0,0,23,23.7,0,0,93,95.9,1,12.5,8,100
"040901",0,0,0,0,0,0,4,14.3,20,71.4,4,14.3,28,100,0,0,22,78.6,0,0,433,0,0,12,2.8,14,2.8,403,93.1,378,87.3,0,0,77,17.8,30,6.9,0,0,288,66.5,3,0.7,40,9.2,4,14.3,6,21.4
"040902",1,4.2,0,0,0,0,0,0,19,79.2,5,20.8,24,100,0,0,8,33.3,0,0,362,0,0,9,2.5,2,0.5,177,48.9,161,44.5,1,0.3,14,3.9,185,51.1,4,1.1,143,39.5,7,1.9,180,49.7,2,8.3,15,62.5
"041901",0,0,0,0,0,0,0,0,12,66.7,6,33.3,18,100,0,0,5,27.8,0,0,274,1,0.4,0,0,3,1,131,47.8,96,35,0,0,6,2.2,143,52.2,0,0,93,33.9,0,0,177,64.6,3,16.7,13,72.2
"041902",0,0,0,0,0,0,0,0,11,73.3,4,26.7,15,100,0,0,4,26.7,0,0,275,0,0,1,0.4,6,2.2,167,60.7,92,33.5,0,0,4,1.5,108,39.3,0,0,106,38.5,7,2.5,175,63.6,2,13.3,11,73.3
"042901",0,0,0,0,0,0,0,0,45,73.8,16,26.2,61,100,2,3.3,13,21.3,0,0,925,8,0.9,29,3.1,19,1.9,583,63,248,26.8,6,0.6,18,1.9,342,37,0,0,444,48,23,2.5,611,66.1,7,11.5,46,75.4
"042903",0,0,0,0,0,0,0,0,13,86.7,2,13.3,15,100,0,0,6,40,0,0,265,0,0,11,4.2,0,0,183,69.1,70,26.4,3,1.1,0,0,82,30.9,0,0,139,52.5,9,3.4,172,64.9,1,6.7,9,60
"042905",0,0,0,0,0,0,0,0,6,66.7,3,33.3,9,100,0,0,3,33.3,0,0,144,0,0,0,0,0,0,97,67.4,30,20.8,0,0,0,0,47,32.6,0,0,10,6.9,3,2.1,111,77.1,3,33.3,6,66.7
"043801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1097,237,21.6,104,9.5,0,0,85,7.7,161,14.7,14,1.3,31,2.8,1012,92.3,2,0.2,122,11.1,51,4.6,528,48.1,.,.,.,.
"043901",54,3.8,152,10.8,3,0.2,0,0,1241,88.2,166,11.8,1407,100,149,10.6,212,15.1,10,0.7,20554,3396,16.5,2338,11.4,130,0.6,3115,15.2,2582,12.6,115,0.6,1290,6.3,17439,84.8,64,0.3,4908,23.9,849,4.1,11210,54.5,114,8.1,827,58.8
"043902",0,0,3,2.2,0,0,0,0,117,84.2,22,15.8,139,100,13,9.4,38,27.3,0,0,2858,23,0.8,254,8.9,22,0.7,1216,42.5,890,31.1,20,0.7,319,11.2,1642,57.5,3,0.1,977,34.2,94,3.3,1574,55.1,14,10.1,85,61.2
"043903",8,6,1,0.7,0,0,0,0,125,93.3,9,6.7,134,100,6,4.5,25,18.7,0,0,2198,19,0.9,69,3.1,22,1,637,29,553,25.2,24,1.1,133,6.1,1561,71,0,0,526,23.9,77,3.5,1456,66.2,9,6.7,94,70.1
"043904",1,1,0,0,0,0,0,0,71,74,25,26,96,100,2,2.1,25,26,1,1,1542,9,0.6,60,3.9,20,1.2,811,52.6,490,31.8,12,0.8,114,7.4,731,47.4,0,0,457,29.6,27,1.8,944,61.2,3,3.1,67,69.8
"043905",63,2.6,266,11.1,1,0,0,0,2131,89.2,257,10.8,2388,100,321,13.4,374,15.7,13,0.5,49485,8873,17.9,5191,10.5,170,0.4,5558,11.2,7068,14.3,292,0.6,2323,4.7,43927,88.8,47,0.1,9528,19.3,1601,3.2,26413,53.4,140,5.9,1350,56.5
"043907",40,2.5,52,3.3,1,0.1,0,0,1446,91.9,127,8.1,1573,100,214,13.6,357,22.7,12,0.8,24653,914,3.7,3190,12.9,276,1.1,7607,30.9,6864,27.8,137,0.6,2611,10.6,17046,69.1,69,0.3,7055,28.6,683,2.8,12796,51.9,115,7.3,897,57
"043908",5,3.8,1,0.8,0,0,0,0,112,86.2,18,13.8,130,100,11,8.5,22,16.9,0,0,2110,15,0.7,113,5.4,10,0.5,365,17.3,382,18.1,27,1.3,84,4,1745,82.7,3,0.1,496,23.5,58,2.7,1512,71.7,12,9.2,91,70
"043910",104,2.7,798,21,4,0.1,5,0.1,3060,80.6,731,19.3,3796,100,409,10.8,665,17.5,9,0.2,54398,12085,22.2,6382,11.7,306,0.5,15619,28.7,12687,23.3,155,0.3,7166,13.2,38779,71.3,55,0.1,14042,25.8,1914,3.5,21120,38.8,240,6.3,1807,47.6
"043911",1,0.4,2,0.9,0,0,0,0,172,77.1,51,22.9,223,100,18,8.1,73,32.7,0,0,3787,19,0.5,212,5.6,40,1,2225,58.8,1593,42.1,25,0.7,623,16.5,1562,41.2,4,0.1,1610,42.5,105,2.8,1829,48.3,34,15.2,129,57.8
"043912",10,2.9,4,1.2,0,0,0,0,326,95,17,5,343,100,34,9.9,53,15.5,1,0.3,7060,206,2.9,531,7.5,39,0.6,587,8.3,903,12.8,51,0.7,258,3.7,6473,91.7,12,0.2,1217,17.2,280,4,5077,71.9,17,5,241,70.3
"043914",12,1.5,49,6.2,2,0.3,0,0,671,84.5,123,15.5,794,100,121,15.2,162,20.4,1,0.1,13978,1127,8.1,1945,13.9,139,1,3810,27.3,3055,21.9,104,0.7,1482,10.6,10168,72.7,35,0.3,4614,33,414,3,7298,52.2,60,7.6,447,56.3
"043917",0,0,0,0,0,0,0,0,31,83.8,6,16.2,37,100,0,0,6,16.2,0,0,719,1,0.1,5,0.7,3,0.4,397,55.2,132,18.4,6,0.8,45,6.3,322,44.8,0,0,214,29.8,16,2.2,559,77.7,5,13.5,31,83.8
"043918",0,0,1,1,0,0,0,0,93,90.3,10,9.7,103,100,8,7.8,17,16.5,0,0,1826,20,1.1,92,5,23,1.2,775,42.4,509,27.9,12,0.7,223,12.2,1051,57.6,1,0.1,862,47.2,40,2.2,1152,63.1,10,9.7,77,74.8
"043919",8,2.9,18,6.5,0,0,0,0,263,95.6,12,4.4,275,100,5,1.8,18,6.5,1,0.4,3810,197,5.2,72,1.9,3,0.1,115,3,326,8.6,21,0.6,33,0.9,3695,97,3,0.1,386,10.1,155,4.1,3036,79.7,13,4.7,225,81.8
"044902",0,0,0,0,0,0,0,0,34,89.5,4,10.5,38,100,3,7.9,13,34.2,0,0,602,0,0,24,4,0,0,371,61.6,297,49.3,2,0.3,49,8.1,231,38.4,0,0,255,42.4,8,1.3,271,45,4,10.5,22,57.9
"045902",1,0.9,1,0.9,0,0,1,0.9,86,74.1,29,25,116,100,14,12.1,23,19.8,0,0,1613,11,0.7,206,12.8,24,1.3,984,61,651,40.4,3,0.2,166,10.3,629,39,0,0,865,53.6,20,1.2,722,44.8,9,7.8,77,66.4
"045903",1,1.4,0,0,0,0,0,0,51,71.8,20,28.2,71,100,14,19.7,32,45.1,0,0,1255,3,0.2,257,20.5,41,3.1,933,74.3,684,54.5,2,0.2,141,11.2,322,25.7,0,0,578,46.1,17,1.4,292,23.3,12,16.9,24,33.8
"045905",0,0,0,0,0,0,0,0,33,82.5,7,17.5,40,100,8,20,14,35,0,0,635,1,0.2,90,14.2,1,0.2,337,53.1,266,41.9,0,0,98,15.4,298,46.9,0,0,297,46.8,19,3,259,40.8,8,20,18,45
"046802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,490,0,0,85,17.3,0,0,488,99.6,197,40.2,0,0,65,13.3,2,0.4,0,0,489,99.8,14,2.9,194,39.6,.,.,.,.
"046901",8,1.5,2,0.4,1,0.2,0,0,459,84.2,86,15.8,545,100,13,2.4,231,42.4,4,0.7,8441,64,0.8,136,1.6,89,1,3095,36.7,3995,47.3,39,0.5,741,8.8,5346,63.3,8,0.1,3224,38.2,129,1.5,4070,48.2,35,6.4,286,52.5
"046902",33,2.6,10,0.8,1,0.1,0,0,1148,90.9,115,9.1,1263,100,33,2.6,434,34.4,8,0.6,20264,255,1.3,474,2.3,246,1.2,6205,30.6,7677,37.9,57,0.3,1136,5.6,14059,69.4,34,0.2,7984,39.4,498,2.5,11269,55.6,77,6.1,744,58.9
"047901",1,1.5,1,1.5,0,0,0,0,52,78.8,14,21.2,66,100,0,0,28,42.4,0,0,1259,6,0.5,3,0.2,11,0.8,823,65.4,638,50.7,5,0.4,151,12,436,34.6,0,0,545,43.3,10,0.8,597,47.4,5,7.6,36,54.5
"047902",2,5,0,0,0,0,0,0,32,80,8,20,40,100,2,5,11,27.5,0,0,634,3,0.5,4,0.6,1,0.1,354,55.8,208,32.8,2,0.3,19,3,280,44.2,0,0,306,48.3,12,1.9,405,63.9,3,7.5,25,62.5
"047903",1,5,0,0,0,0,0,0,18,90,2,10,20,100,0,0,12,60,0,0,221,0,0,0,0,0,0,183,82.8,140,63.3,1,0.5,68,30.8,38,17.2,0,0,122,55.2,3,1.4,77,34.8,2,10,7,35
"047905",0,0,0,0,0,0,0,0,4,100,0,0,4,100,0,0,0,0,0,0,152,0,0,0,0,0,0,100,65.8,30,19.7,1,0.7,0,0,52,34.2,0,0,56,36.8,0,0,121,79.6,0,0,4,100
"048901",0,0,0,0,0,0,0,0,12,80,3,20,15,100,0,0,11,73.3,0,0,247,0,0,0,0,0,0,168,68,159,64.4,0,0,6,2.4,79,32,0,0,136,55.1,1,0.4,87,35.2,1,6.7,4,26.7
"048903",0,0,0,0,0,0,0,0,7,77.8,2,22.2,9,100,0,0,5,55.6,0,0,211,0,0,0,0,3,1.1,158,74.9,97,46,0,0,8,3.8,53,25.1,0,0,110,52.1,6,2.8,108,51.2,1,11.1,4,44.4
"049901",6,3.9,1,0.7,0,0,0,0,141,92.2,12,7.8,153,100,11,7.2,69,45.1,1,0.7,2853,31,1.1,201,7,81,2.6,2267,79.5,1613,56.5,18,0.6,605,21.2,586,20.5,4,0.1,1594,55.9,132,4.6,854,29.9,11,7.2,65,42.5
"049902",0,0,1,2.8,0,0,0,0,27,75,9,25,36,100,0,0,1,2.8,0,0,491,4,0.8,1,0.2,0,0,81,16.5,15,3.1,5,1,2,0.4,410,83.5,1,0.2,96,19.6,5,1,460,93.7,3,8.3,34,94.4
"049903",1,2.1,2,4.2,0,0,1,2.1,43,89.6,4,8.3,48,100,0,0,1,2.1,1,2.1,743,8,1.1,0,0,2,0.3,387,52.1,167,22.5,2,0.3,67,9,356,47.9,0,0,289,38.9,11,1.5,555,74.7,3,6.3,43,89.6
"049905",2,2.5,0,0,0,0,0,0,74,91.4,7,8.6,81,100,0,0,9,11.1,0,0,1145,2,0.2,7,0.6,21,1.7,513,44.8,142,12.4,16,1.4,22,1.9,632,55.2,0,0,329,28.7,17,1.5,961,83.9,7,8.6,70,86.4
"049906",1,4.2,0,0,0,0,0,0,21,87.5,3,12.5,24,100,0,0,3,12.5,1,4.2,472,1,0.2,1,0.2,0,0,169,35.8,54,11.4,5,1.1,3,0.6,303,64.2,0,0,127,26.9,13,2.8,398,84.3,1,4.2,19,79.2
"049907",0,0,0,0,0,0,0,0,33,100,0,0,33,100,0,0,2,6.1,1,3,506,9,1.8,1,0.2,1,0.2,47,9.3,15,3,2,0.4,0,0,459,90.7,0,0,112,22.1,6,1.2,473,93.5,0,0,30,90.9
"049908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,0,0,0,0,0,0,64,72.7,11,12.5,0,0,0,0,24,27.3,0,0,29,33,1,1.1,76,86.4,.,.,.,.
"049909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,0,0,0,0,0,0,40,64.5,5,8.1,2,3.2,0,0,22,35.5,0,0,40,64.5,0,0,55,88.7,.,.,.,.
"050901",0,0,0,0,0,0,0,0,12,80,3,20,15,100,0,0,4,26.7,1,6.7,258,0,0,1,0.4,2,0.7,170,65.9,62,24,1,0.4,13,5,88,34.1,0,0,53,20.5,5,1.9,189,73.3,2,13.3,10,66.7
"050902",9,4.7,0,0,0,0,0,0,137,72.1,53,27.9,190,100,8,4.2,32,16.8,1,0.5,2806,17,0.6,63,2.2,48,1.6,1378,49.1,610,21.7,16,0.6,115,4.1,1428,50.9,0,0,987,35.2,110,3.9,1990,70.9,38,20,140,73.7
"050904",0,0,0,0,0,0,0,0,10,83.3,2,16.7,12,100,0,0,2,16.7,0,0,184,0,0,0,0,4,2,122,66.3,53,28.8,0,0,9,4.9,62,33.7,0,0,97,52.7,5,2.7,126,68.5,1,8.3,10,83.3
"050909",1,8.3,0,0,0,0,0,0,11,91.7,1,8.3,12,100,1,8.3,1,8.3,0,0,190,0,0,1,0.5,6,2.8,91,47.9,23,12.1,0,0,2,1.1,99,52.1,0,0,7,3.7,4,2.1,162,85.3,1,8.3,9,75
"050910",40,8,6,1.2,6,1.2,0,0,430,85.8,71,14.2,501,100,121,24.2,78,15.6,8,1.6,7826,112,1.4,1461,18.7,100,1.1,4033,51.5,1874,23.9,51,0.7,247,3.2,3793,48.5,137,1.8,3553,45.4,696,8.9,3495,44.7,39,7.8,242,48.3
"051901",0,0,0,0,0,0,0,0,14,93.3,1,6.7,15,100,0,0,6,40,0,0,205,0,0,25,12.2,1,0.4,134,65.4,73,35.6,3,1.5,0,0,71,34.6,0,0,129,62.9,5,2.4,99,48.3,1,6.7,9,60
"052901",0,0,0,0,0,0,0,0,52,89.7,6,10.3,58,100,2,3.4,33,56.9,0,0,1162,1,0.1,26,2.2,14,1.1,471,40.5,876,75.4,2,0.2,196,16.9,691,59.5,1,0.1,657,56.5,5,0.4,251,21.6,6,10.3,23,39.7
"053001",0,0,0,0,0,0,5,10.6,32,68.1,10,21.3,47,100,0,0,39,83,0,0,864,3,0.3,3,0.3,33,3.6,536,62,643,74.4,7,0.8,147,17,328,38,0,0,523,60.5,2,0.2,206,23.8,7,14.9,8,17
"054901",0,0,0,0,0,0,0,0,17,77.3,5,22.7,22,100,0,0,18,81.8,0,0,363,0,0,17,4.7,0,0,265,73,258,71.1,0,0,2,0.6,98,27,0,0,183,50.4,1,0.3,87,24,1,4.5,4,18.2
"054902",0,0,0,0,0,0,1,8.3,9,75,2,16.7,12,100,1,8.3,11,91.7,0,0,284,0,0,8,2.8,8,2.4,249,87.7,228,80.3,0,0,17,6,35,12.3,0,0,193,68,1,0.4,47,16.5,2,16.7,0,0
"054903",0,0,0,0,0,0,3,10.3,23,79.3,3,10.3,29,100,0,0,24,82.8,0,0,585,1,0.2,7,1.2,7,1.2,477,81.5,438,74.9,1,0.2,6,1,108,18.5,0,0,332,56.8,3,0.5,135,23.1,7,24.1,5,17.2
"055901",0,0,0,0,0,0,2,5.9,28,82.4,4,11.8,34,100,0,0,30,88.2,0,0,431,4,0.9,0,0,6,1.2,320,74.2,388,90,1,0.2,30,7,111,25.8,2,0.5,264,61.3,4,0.9,32,7.4,4,11.8,4,11.8
"056901",1,0.9,1,0.9,2,1.7,0,0,94,81.7,21,18.3,115,100,1,0.9,48,41.7,1,0.9,1760,11,0.6,21,1.2,6,0.3,1030,58.5,938,53.3,4,0.2,146,8.3,730,41.5,0,0,824,46.8,19,1.1,767,43.6,8,7,61,53
"056902",0,0,0,0,0,0,0,0,9,81.8,2,18.2,11,100,0,0,4,36.4,1,9.1,180,1,0.6,4,2.2,0,0,124,68.9,88,48.9,2,1.1,34,18.9,56,31.1,0,0,97,53.9,0,0,85,47.2,1,9.1,6,54.5
"057802",0,0,0,0,0,0,0,0,28,90.3,3,9.7,31,100,8,25.8,23,74.2,0,0,662,2,0.3,139,21,0,0,573,86.6,496,74.9,0,0,279,42.1,89,13.4,1,0.2,521,78.7,6,0.9,18,2.7,3,9.7,0,0
"057803",2,1.7,57,47.1,0,0,0,0,120,99.2,1,0.8,121,100,6,5,26,21.5,0,0,2724,946,34.7,180,6.6,0,0,1035,38,1125,41.3,4,0.1,420,15.4,1689,62,1,0,982,36,97,3.6,371,13.6,3,2.5,30,24.8
"057804",6,0.4,6,0.4,0,0,0,0,851,60.4,557,39.6,1408,100,380,27,969,68.8,4,0.3,4158,19,0.5,1280,30.8,0,0,3941,94.8,2713,65.2,12,0.3,640,15.4,217,5.2,1,0,3967,95.4,13,0.3,120,2.9,81,5.8,43,3.1
"057805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,272,3,1.1,7,2.6,0,0,170,62.5,197,72.4,0,0,124,45.6,102,37.5,0,0,135,49.6,12,4.4,53,19.5,.,.,.,.
"057806",1,2.7,0,0,0,0,0,0,36,97.3,1,2.7,37,100,4,10.8,21,56.8,1,2.7,1633,20,1.2,304,18.6,0,0,1209,74,998,61.1,3,0.2,422,25.8,424,26,4,0.2,1115,68.3,26,1.6,278,17,4,10.8,10,27
"057807",1,0.7,2,1.4,0,0,0,0,128,90.1,14,9.9,142,100,60,42.3,41,28.9,1,0.7,5026,37,0.7,2418,48.1,0,0,2776,55.2,1597,31.8,17,0.3,484,9.6,2250,44.8,6,0.1,2285,45.5,148,2.9,803,16,18,12.7,37,26.1
"057808",0,0,0,0,0,0,0,0,12,100,0,0,12,100,10,83.3,2,16.7,0,0,1790,886,49.5,304,17,0,0,704,39.3,546,30.5,12,0.7,486,27.2,1086,60.7,0,0,521,29.1,15,0.8,27,1.5,0,0,0,0
"057809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,224,0,0,94,42,0,0,214,95.5,125,55.8,0,0,85,37.9,10,4.5,0,0,146,65.2,0,0,5,2.2,.,.,.,.
"057810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,644,0,0,507,78.7,0,0,565,87.7,131,20.3,0,0,68,10.6,79,12.3,0,0,348,54,0,0,6,0.9,.,.,.,.
"057811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,716,1,0.1,685,95.7,0,.,706,98.6,22,3.1,1,0.1,0,0,10,1.4,0,0,8,1.1,0,0,7,1,.,.,.,.
"057813",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1840,29,1.6,33,1.8,0,0,1673,90.9,1760,95.7,5,0.3,1263,68.6,167,9.1,0,0,1495,81.3,2,0.1,11,0.6,.,.,.,.
