DISTRICT,D20GR14N,D20GR14R,D30GR14N,D30GR14R,D40GR14N,D40GR14R,DA0GF14N,DA0GF14P,DA0GH14N,DA0GH14P,DA0GM14N,DA0GM14P,DA0GR14N,DA0GR14R,DB0GR14N,DB0GR14R,DH0GR14N,DH0GR14R,DI0GR14N,DI0GR14R,DPETALLC,DPETASIC,DPETASIP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DS0GR14N,DS0GR14R,DW0GR14N,DW0GR14R
"232903",0,0,3,1.3,0,0,0,0,190,81.2,44,18.8,234,100,0,0,197,84.2,0,0,4737,22,0.5,11,0.2,131,2.5,3639,76.8,4244,89.6,9,0.2,298,6.3,1098,23.2,6,0.1,2715,57.3,11,0.2,434,9.2,16,6.8,34,14.5
"232904",0,0,0,0,0,0,0,0,11,73.3,4,26.7,15,100,0,0,1,6.7,0,0,205,0,0,2,1,2,0.9,93,45.4,40,19.5,0,0,11,5.4,112,54.6,0,0,72,35.1,2,1,161,78.5,1,6.7,14,93.3
"233901",1,0.2,1,0.2,0,0,0,0,501,89.1,61,10.9,562,100,5,0.9,508,90.4,0,0,10643,24,0.2,95,0.9,123,1.1,8073,75.9,9829,92.4,20,0.2,1844,17.3,2570,24.1,4,0,5940,55.8,26,0.2,645,6.1,57,10.1,47,8.4
"233903",0,0,0,0,0,0,0,0,14,93.3,1,6.7,15,100,0,0,6,40,1,6.7,206,2,1,0,0,0,0,54,26.2,90,43.7,1,0.5,2,1,152,73.8,0,0,10,4.9,2,1,111,53.9,1,6.7,8,53.3
"234801",0,0,0,0,0,0,0,0,14,51.9,13,48.1,27,100,4,14.8,2,7.4,0,0,114,2,1.8,11,9.6,0,0,66,57.9,9,7.9,1,0.9,0,0,48,42.1,1,0.9,104,91.2,2,1.8,88,77.2,2,7.4,21,77.8
"234902",5,3.6,0,0,0,0,0,0,105,75.5,34,24.5,139,100,4,2.9,10,7.2,3,2.2,2060,13,0.6,41,2,16,0.7,758,36.8,221,10.7,23,1.1,61,3,1302,63.2,3,0.1,734,35.6,50,2.4,1709,83,6,4.3,117,84.2
"234903",3,4.3,0,0,0,0,0,0,57,81.4,13,18.6,70,100,2,2.9,3,4.3,0,0,915,2,0.2,43,4.7,12,1.2,428,46.8,92,10.1,5,0.5,19,2.1,487,53.2,0,0,326,35.6,37,4,736,80.4,15,21.4,62,88.6
"234904",0,0,0,0,0,0,0,0,58,81.7,13,18.3,71,100,0,0,13,18.3,0,0,1100,5,0.5,7,0.6,12,1,692,62.9,292,26.5,7,0.6,115,10.5,408,37.1,0,0,561,51,17,1.5,772,70.2,7,9.9,58,81.7
"234905",0,0,0,0,0,0,0,0,23,79.3,6,20.7,29,100,1,3.4,4,13.8,1,3.4,513,1,0.2,10,1.9,3,0.6,245,47.8,102,19.9,2,0.4,46,9,268,52.2,1,0.2,181,35.3,7,1.4,390,76,4,13.8,23,79.3
"234906",0,0,0,0,0,0,0,0,130,85.5,22,14.5,152,100,1,0.7,24,15.8,0,0,2333,8,0.3,68,2.9,24,0.9,1229,52.7,444,19,21,0.9,139,6,1104,47.3,3,0.1,1029,44.1,55,2.4,1734,74.3,14,9.2,127,83.6
"234907",10,5.9,0,0,0,0,0,0,148,87.1,22,12.9,170,100,9,5.3,22,12.9,1,0.6,2429,8,0.3,124,5.1,44,1.6,1543,63.5,536,22.1,21,0.9,166,6.8,886,36.5,2,0.1,1212,49.9,79,3.3,1659,68.3,14,8.2,128,75.3
"234909",0,0,1,4.3,0,0,0,0,19,82.6,4,17.4,23,100,0,0,4,17.4,0,0,392,2,0.5,4,1,3,0.7,240,61.2,39,9.9,1,0.3,8,2,152,38.8,0,0,263,67.1,23,5.9,323,82.4,4,17.4,18,78.3
"235901",1,2.4,0,0,0,0,0,0,37,90.2,4,9.8,41,100,2,4.9,33,80.5,0,0,918,0,0,43,4.7,21,2,764,83.2,777,84.6,1,0.1,135,14.7,154,16.8,0,0,617,67.2,17,1.9,80,8.7,2,4.9,5,12.2
"235902",7,0.9,10,1.3,0,0,57,7.6,578,77,116,15.4,751,100,55,7.3,388,51.7,2,0.3,14411,136,0.9,1055,7.3,454,2.9,9006,62.5,9275,64.4,22,0.2,726,5,5405,37.5,7,0,6297,43.7,193,1.3,3723,25.8,72,9.6,289,38.5
"235904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118,0,0,7,5.9,0,0,53,44.9,56,47.5,0,0,8,6.8,65,55.1,0,0,51,43.2,3,2.5,52,44.1,.,.,.,.
"236801",0,0,0,0,0,0,0,0,3,42.9,4,57.1,7,100,2,28.6,2,28.6,0,0,72,0,0,20,27.8,0,0,72,100,26,36.1,0,0,6,8.3,0,0,0,0,72,100,2,2.8,24,33.3,1,14.3,3,42.9
"236901",2,3.9,0,0,0,0,0,0,28,54.9,23,45.1,51,100,6,11.8,5,9.8,0,0,964,0,0,185,19.2,17,1.7,508,52.7,135,14,8,0.8,31,3.2,456,47.3,0,0,379,39.3,46,4.8,590,61.2,6,11.8,38,74.5
"236902",0,0,10,2.4,0,0,0,0,359,87.1,53,12.9,412,100,89,21.6,104,25.2,1,0.2,6433,60,0.9,1627,25.3,185,2.5,3775,58.7,2070,32.2,20,0.3,831,12.9,2658,41.3,5,0.1,3180,49.4,142,2.2,2509,39,42,10.2,208,50.5
"237902",3,3.4,0,0,0,0,0,0,67,75.3,22,24.7,89,100,20,22.5,40,44.9,0,0,1483,8,0.5,381,25.7,38,2.2,1047,70.6,848,57.2,1,0.1,333,22.5,436,29.4,0,0,961,64.8,19,1.3,226,15.2,10,11.2,26,29.2
